Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Barre;770001;SOM;1945;1947;1990;1990;2;3;1;1;0;5;0;M575026;1945;1960;1999;x
Burzagli;770002;SOM;1938;1946;1990;1990;3;4;16;1;0;4;0;L6012;1938;1960;1999;x
de Simone;770003;SOM;1930;1937;1990;1990;2;4;128;1;0;5;0;L6058;1930;1960;1999;x
Gherzi;770004;SOM;1938;1990;1990;1990;3;3;0;0;0;4;0;L6079;1938;1960;1999;x
Graziani;770005;SOM;1930;1930;1930;1937;0;5;1;2;0;5;0;L6084;1930;1945;1999;x
Greenacre;770006;SOM;1941;1990;1990;1990;3;5;256;0;0;5;0;L1147;1941;1960;1999;x
Hill;770007;SOM;1942;1990;1990;1990;3;5;4;0;0;5;0;L1162;1942;1960;1999;x
Johnson;770008;SOM;1939;1990;1990;1990;3;5;514;1;0;5;0;L1177;1939;1945;1999;x
McCreery;770009;SOM;1939;1943;1946;1990;2;6;128;3;0;5;0;L1216;1939;1960;1999;x
Orlando;770010;SOM;1938;1943;1990;1990;2;4;0;1;0;5;0;L6111;1938;1960;1999;x
Pesenti;770011;SOM;1930;1930;1990;1990;2;5;768;1;0;5;0;M575006;1930;1946;1999;x
Romero;770012;SOM;1930;1940;1990;1990;2;3;0;1;0;4;0;L6127;1930;1960;1999;x
Sandford;770013;SOM;1942;1990;1990;1990;3;7;16;1;0;5;0;M575019;1942;1960;1999;x
Soames;770014;SOM;1939;1942;1990;1990;2;5;0;1;0;5;0;L1283;1939;1960;1999;x
Trezzani;770015;SOM;1930;1938;1945;1990;1;5;4;2;0;4;0;L6138;1930;1960;1999;x
Burrogh;770016;SOM;1939;1943;1990;1990;2;6;1024;1;0;5;1;L1330;1939;1960;1999;x
Gasparri;770017;SOM;1930;1938;1990;1990;2;3;4096;1;0;4;1;L6171;1930;1960;1999;x
Gould-Bradford;770018;SOM;1941;1990;1990;1990;3;5;0;0;0;5;1;L1349;1941;1960;1999;x
Mascherpa;770019;SOM;1930;1939;1990;1990;2;4;8192;1;0;5;1;L6179;1930;1960;1999;x
Whitby;770020;SOM;1940;1990;1990;1990;3;5;0;0;0;5;1;L1405;1940;1960;1999;x
Vaccarella;770021;SOM;1938;1990;1990;1990;3;3;0;0;0;5;1;L6192;1938;1960;1999;x
di Ferro;770022;SOM;1930;1943;1990;1990;3;3;131072;1;0;3;2;L6206;1930;1960;1999;x
Fairweather;770023;SOM;1941;1990;1990;1990;3;5;0;0;0;5;2;L1439;1941;1960;1999;x
Glenlay;770024;SOM;1941;1990;1990;1990;3;3;4096;0;0;5;2;L575023;1941;1960;1999;x
Oxland;770025;SOM;1939;1942;1990;1990;3;5;0;1;0;5;2;L1466;1939;1960;1999;x
Rezza;770026;SOM;1930;1938;1990;1990;2;3;0;1;0;5;2;L6228;1930;1945;1999;x
Rostron;770027;SOM;1939;1944;1990;1990;3;6;16384;1;0;5;2;L1476;1939;1960;1999;x
Santini;770028;SOM;1930;1930;1941;1990;1;4;0;1;0;3;2;L6232;1930;1960;1999;x
Silvestri;770029;SOM;1937;1945;1990;1990;2;5;65536;1;0;4;2;L6234;1937;1960;1999;x
Visconti;770030;SOM;1940;1990;1990;1990;3;5;4096;0;0;5;2;L6237;1940;1960;1999;x
