Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Armstrong;425001;SAF;1940;1990;1990;1990;3;5;1;1;0;5;0;L450000;1940;1960;1999;x
Bester;425002;SAF;1945;1990;1990;1990;3;5;1;1;0;5;0;L450001;1945;1960;1999;x
Beyers;425003;SAF;1930;1930;1940;1990;1;6;513;2;0;5;0;L450002;1930;1945;1999;x
Borain;425004;SAF;1940;1990;1990;1990;3;4;0;1;0;5;0;L450003;1940;1943;1999;x
Botha;425005;SAF;1940;1942;1990;1990;2;6;128;2;0;5;0;L450004;1940;1960;1999;x
Brink  A.J.E.;425006;SAF;1930;1930;1930;1990;1;7;768;2;0;5;0;L450005;1930;1946;1999;x
Brink  G.E.;425007;SAF;1939;1941;1946;1990;2;6;1;3;0;5;0;L450006;1939;1960;1999;x
Buchanan;425008;SAF;1940;1990;1990;1990;3;4;0;1;0;5;0;L450007;1940;1942;1999;x
Cooper;425009;SAF;1938;1990;1990;1990;3;5;4;1;0;5;0;L450008;1938;1942;1999;x
de Villiers;425010;SAF;1939;1943;1990;1990;3;5;2;2;0;5;0;L450009;1939;1946;1999;x
de Weenburg du Toit;425011;SAF;1942;1946;1990;1990;3;7;128;2;0;5;0;L450010;1942;1960;1999;x
Furstenburg;425012;SAF;1940;1946;1990;1990;3;6;128;2;0;5;0;L450011;1940;1960;1999;x
Gilbert;425013;SAF;1944;1990;1990;1990;3;5;256;1;0;5;0;L450012;1944;1946;1999;x
Hartshorn;425014;SAF;1942;1990;1990;1990;3;4;0;1;0;4;0;L450013;1942;1945;1999;x
Hayton;425015;SAF;1941;1990;1990;1990;3;5;1;1;0;5;0;L450014;1941;1944;1999;x
Hoare;425016;SAF;1930;1930;1990;1990;2;5;514;1;0;5;0;L450015;1930;1938;1999;x
Johnston-Collyer;425017;SAF;1930;1930;1990;1990;2;6;514;1;0;5;0;L450016;1930;1941;1999;x
Klopper;425018;SAF;1942;1944;1946;1990;2;5;4;3;0;5;0;L450017;1942;1960;1999;x
Kriegler;425019;SAF;1941;1990;1990;1990;3;5;4;1;0;5;0;L450018;1941;1943;1999;x
Mitchell-Baker;425020;SAF;1930;1930;1990;1990;2;4;513;1;0;5;0;L450019;1930;1945;1999;x
Newton-King;425021;SAF;1943;1990;1990;1990;3;6;128;1;0;5;0;L450020;1943;1960;1999;x
Palmer;425022;SAF;1942;1945;1990;1990;3;6;1;2;0;5;0;L450021;1942;1960;1999;x
Pienaar;425023;SAF;1938;1990;1990;1990;3;5;4;1;0;5;0;L450022;1938;1942;1999;x
Poole;425024;SAF;1939;1943;1990;1990;2;7;128;2;0;5;0;L450023;1939;1960;1999;x
Ray;425025;SAF;1942;1945;1990;1990;3;6;32;2;0;5;0;L450024;1942;1960;1999;x
Senescall;425026;SAF;1942;1990;1990;1990;3;5;129;1;0;5;0;L450025;1942;1946;1999;x
Smuts;425027;SAF;1930;1930;1930;1930;0;7;772;3;0;5;0;L450026;1930;1960;1999;x
Theron;425028;SAF;1930;1940;1943;1990;1;7;4;2;0;5;0;L450027;1930;1960;1999;x
Thompson;425029;SAF;1944;1990;1990;1990;3;4;0;1;0;5;0;L450028;1944;1960;1999;x
van Blankenroode;425030;SAF;1942;1990;1990;1990;3;6;257;2;0;5;0;L450029;1942;1946;1999;x
van der Spuy;425031;SAF;1941;1945;1990;1990;3;5;0;2;0;5;0;L450030;1941;1947;1999;x
Wakefield;425032;SAF;1930;1930;1990;1990;2;5;513;1;0;5;0;L450031;1930;1939;1999;x
Breedt;425033;SAF;1943;1990;1990;1990;3;5;1024;1;0;5;1;L450032;1943;1960;1999;x
Davis;425034;SAF;1930;1940;1990;1990;2;6;2048;2;0;5;1;L450033;1930;1944;1999;x
de la Tourier;425035;SAF;1944;1947;1990;1990;3;5;0;2;0;5;1;L450034;1944;1960;1999;x
Groenenwald;425036;SAF;1943;1946;1990;1990;3;5;0;2;0;5;1;L450035;1943;1960;1999;x
Oliver-Knoll;425037;SAF;1930;1930;1939;1990;1;6;2048;2;0;5;1;L450036;1930;1946;1999;x
van Osterkemp;425038;SAF;1941;1990;1990;1990;3;5;0;1;0;5;1;L450037;1941;1943;1999;x
van den Huizenklopper;425039;SAF;1943;1946;1990;1990;3;5;0;2;0;5;1;L450038;1943;1960;1999;x
van Zuigenbrogge;425040;SAF;1940;1944;1990;1990;3;6;1024;2;0;5;1;L450039;1940;1960;1999;x
Frost;425041;SAF;1942;1990;1990;1990;3;6;32768;1;0;5;2;L450040;1942;1946;1999;x
Larsen;425042;SAF;1945;1990;1990;1990;3;4;0;1;0;5;2;L450041;1945;1960;1999;x
Le Roux;425043;SAF;1940;1990;1990;1990;3;5;16384;1;0;5;2;L450042;1940;1960;1999;x
Malan;425044;SAF;1941;1945;1990;1990;3;6;4096;2;0;5;2;L450043;1941;1960;1999;x
Reynolds;425045;SAF;1942;1944;1947;1990;3;5;0;3;0;5;2;L450044;1942;1960;1999;x
St.John Pattle;425046;SAF;1940;1990;1990;1990;3;6;4096;1;0;5;2;L450045;1940;1946;1999;x
van der Spuy;425047;SAF;1941;1945;1990;1990;3;5;0;2;0;5;2;L450046;1941;1947;1999;x
van Osterkemp;425048;SAF;1945;1990;1990;1990;3;5;131072;1;0;5;2;L450047;1945;1960;1999;x
Venter;425049;SAF;1930;1940;1990;1990;2;6;0;2;0;5;2;L450048;1930;1946;1999;x
van Ryneveld;425050;SAF;1930;1930;1938;1990;1;6;0;3;0;5;2;L450049;1930;1960;1999;x
Botha L.;425051;SAF;1897;1900;1902;1932;1;6;16;2;15;5;0;1162;1897;1932;1999;x
Lukin;425052;SAF;1908;1932;1932;1932;3;5;0;2;0;4;0;1163;1908;1932;1999;x
Smuts J.C.;425053;SAF;1901;1915;1917;1932;1;7;0;2;10;4;0;1164;1901;1932;1999;x
Van Deventer;425054;SAF;1902;1916;1932;1932;2;6;16;2;0;3;0;7751;1902;1932;1999;x
Wallace;425055;SAF;1912;1932;1932;1932;3;3;0;0;0;5;2;unknownleader;1912;1932;1999;x
Brink A.J.E.;425056;SAF;1908;1915;1932;1932;2;5;0;2;0;5;0;1165;1908;1932;1999;x
Quintin-Brand;425057;SAF;1912;1932;1932;1932;3;3;0;0;0;5;2;1166;1912;1932;1999;x
Beauchamp-Proctor;425058;SAF;1912;1932;1932;1932;3;3;0;0;0;5;2;1167;1912;1932;1999;x
Brits;425059;SAF;1901;1932;1932;1932;3;5;512;2;0;5;0;unknownleader;1901;1932;1999;x
Delarey;425060;SAF;1897;1901;1932;1932;3;6;16;3;15;3;0;1168;1897;1932;1999;x
Maritz;425061;SAF;1901;1932;1932;1932;3;6;16;3;15;3;0;1169;1901;1932;1999;x
Fourie;425062;SAF;1897;1932;1932;1932;3;5;0;2;15;5;0;7750;1897;1932;1999;x
de Wet;425063;SAF;1897;1901;1932;1932;2;7;16;4;15;3;0;1170;1897;1932;1999;x
Kemp;425064;SAF;1900;1932;1932;1932;3;5;0;2;10;3;0;7752;1908;1932;1999;x
