Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Absaliamov;30001;SOV;1940;1990;1990;1990;2;4;0;1;0;5;0;L9800;1940;1967;1999;x
Afanasiev;30002;SOV;1940;1990;1990;1990;3;4;0;1;0;5;0;L9801;1940;1946;1999;x
Afrosimov;30003;SOV;1930;1990;1990;1990;3;6;64;1;0;5;0;L9802;1930;1942;1999;x
Ahlyustin;30004;SOV;1937;1990;1990;1990;3;5;0;1;0;5;0;L9803;1939;1941;1999;x
Ahmanov;30005;SOV;1940;1944;1990;1990;2;5;0;2;0;5;0;L9804;1940;1949;1999;x
Alekhin;30006;SOV;1930;1990;1990;1990;3;8;524;1;0;5;0;L9805;1930;1945;1999;x
Alekseev;30007;SOV;1939;1943;1990;1990;2;6;128;2;0;5;0;L9806;1939;1944;1999;x
Alekseenko;30008;SOV;1939;1990;1990;1990;3;6;0;1;0;5;0;L9807;1939;1941;1999;x
Alexandrov;30009;SOV;1939;1990;1990;1990;3;6;64;1;0;5;0;L9808;1939;1945;1999;x
Andreev;30010;SOV;1942;1945;1990;1990;3;6;0;2;0;5;0;L9809;1942;1970;1999;x
Anisimov;30011;SOV;1942;1944;1946;1990;2;6;0;3;0;5;0;L9810;1942;1970;1999;x
Anikushkin;30012;SOV;1942;1990;1990;1990;3;6;128;1;0;5;0;L9811;1942;1944;1999;x
Antonov  A.I.;30013;SOV;1940;1942;1943;1990;1;7;0;3;0;5;0;L9812;1940;1962;1999;x
Antonov  V.S.;30014;SOV;1943;1990;1990;1990;3;4;0;1;0;5;0;L9813;1943;1964;1999;x
Apanasenko;30015;SOV;1919;1930;1941;1990;1;6;0;2;0;5;0;L9814;1919;1943;1999;x
Argunov;30016;SOV;1942;1944;1990;1990;2;7;24;2;0;5;0;L9815;1944;1957;1999;x
Artemenko;30017;SOV;1937;1990;1990;1990;3;4;2;1;0;5;0;L9816;1937;1950;1999;x
Artijushenko;30018;SOV;1941;1990;1990;1990;3;5;0;1;0;5;0;L9817;1941;1970;1999;x
Aseichev;30019;SOV;1940;1990;1990;1990;3;5;1;1;0;5;0;L9818;1940;1942;1999;x
Aslanov;30020;SOV;1944;1990;1990;1990;3;4;128;1;0;5;0;L9819;1944;1945;1999;x
Babadzhanian;30021;SOV;1945;1947;1990;1990;3;7;128;2;0;5;0;L9820;1945;1970;1999;x
Babayan;30022;SOV;1944;1990;1990;1990;3;4;0;1;0;5;0;L9821;1944;1970;1999;x
Badanov;30023;SOV;1940;1942;1944;1990;2;7;128;3;0;5;0;L9822;1940;1970;1999;x
Bagramian I.K.;30024;SOV;1940;1942;1943;1955;2;7;5;3;0;5;0;L9823;1940;1968;1999;x
Baharov;30025;SOV;1942;1990;1990;1990;3;5;0;1;0;5;0;L9824;1942;1944;1999;x
Bahmetiev;30026;SOV;1942;1945;1990;1990;3;6;128;2;0;5;0;L9825;1942;1970;1999;x
Bakunin;30027;SOV;1940;1941;1990;1990;2;6;32;2;0;5;0;L9826;1940;1970;1999;x
Baranov  S.V.;30028;SOV;1939;1990;1990;1990;2;5;0;1;0;5;0;L9827;1939;1941;1999;x
Baranov  V.I.;30029;SOV;1940;1944;1990;1990;3;8;128;2;0;5;0;L9828;1940;1970;1999;x
Barinov;30030;SOV;1940;1943;1946;1990;2;6;4;3;0;5;0;L9829;1940;1970;1999;x
Batitskij;30031;SOV;1941;1946;1953;1968;2;6;0;2;0;5;0;L9830;1941;1978;1999;x
Batiuk;30032;SOV;1941;1990;1990;1990;3;4;8;1;0;5;0;L9831;1941;1943;1999;x
Batiuna;30033;SOV;1942;1944;1945;1990;2;6;1;3;0;5;0;L9832;1942;1970;1999;x
Batov;30034;SOV;1937;1941;1944;1990;2;7;256;3;0;5;0;L9833;1937;1970;1999;x
Beletsko;30035;SOV;1944;1990;1990;1990;3;4;0;1;0;5;0;L9834;1944;1970;1999;x
Belik;30036;SOV;1944;1947;1990;1990;3;5;0;2;0;5;0;L9835;1944;1970;1999;x
Beloborodov;30037;SOV;1941;1944;1945;1990;2;6;0;3;0;5;0;L9836;1941;1970;1999;x
Belous;30038;SOV;1930;1990;1990;1990;3;6;8;1;0;5;0;L9837;1930;1946;1999;x
Belov  E.E.;30039;SOV;1943;1944;1990;1990;2;6;0;2;0;5;0;L9838;1943;1970;1999;x
Belov  I.P.;30040;SOV;1930;1930;1930;1990;1;6;0;1;0;5;0;L9839;1930;1943;1999;x
Belov  P.A.;30041;SOV;1940;1942;1944;1990;2;6;1;3;0;5;0;L9840;1940;1970;1999;x
Belov  S.I.;30042;SOV;1930;1930;1990;1990;2;6;128;1;0;5;0;L9841;1930;1944;1999;x
Berezin;30043;SOV;1943;1990;1990;1990;3;4;0;1;0;5;0;L9842;1943;1970;1999;x
Berman;30044;SOV;1930;1930;1990;1990;2;6;4;1;0;5;0;L9843;1930;1944;1999;x
Berzarin;30045;SOV;1930;1938;1943;1990;1;7;4;3;0;5;0;L9844;1930;1945;1999;x
Bikzhanov;30046;SOV;1940;1942;1990;1990;2;4;0;2;0;5;0;L9845;1940;1970;1999;x
Biriuzov S.S.;30047;SOV;1939;1943;1944;1955;1;7;2;3;0;5;0;L9846;1939;1964;1999;x
Biryukov;30048;SOV;1940;1942;1944;1990;2;6;1;3;0;5;0;L9847;1940;1947;1999;x
Blagodatov;30049;SOV;1941;1944;1990;1990;3;6;1;2;0;5;0;L9848;1941;1970;1999;x
Blücher;30050;SOV;1918;1921;1929;1935;0;5;516;1;0;3;0;L9849;1918;1943;1999;x
Bochenkov;30051;SOV;1930;1938;1990;1990;2;5;2;2;0;5;0;L9850;1930;1942;1999;x
Bogdanov  I.A.;30052;SOV;1938;1941;1990;1990;3;5;0;2;0;5;0;L9851;1938;1942;1999;x
Bogdanov  S.I.;30053;SOV;1942;1943;1944;1945;1;9;128;4;0;5;0;L9852;1942;1970;1999;x
Boldin;30054;SOV;1937;1940;1944;1990;2;7;0;3;0;5;0;L9853;1937;1970;1999;x
Bolotnikov;30055;SOV;1940;1942;1990;1990;3;4;128;2;0;5;0;L9854;1940;1943;1999;x
Bondarev;30056;SOV;1939;1943;1990;1990;2;6;16;2;0;5;0;L9855;1939;1970;1999;x
Borisov;30057;SOV;1939;1990;1990;1990;3;4;0;1;0;5;0;L9856;1939;1941;1999;x
Borzikov;30058;SOV;1940;1990;1990;1990;3;6;128;1;0;5;0;L9857;1940;1943;1999;x
Borzilov;30059;SOV;1939;1990;1990;1990;3;6;640;1;0;5;0;L9858;1939;1941;1999;x
Brezhnev L.I.;30060;SOV;1944;1953;1976;1990;3;5;0;1;0;5;0;L9859;1944;1946;1999;x
Briukov;30061;SOV;1942;1945;1990;1990;3;6;256;2;0;5;0;L9860;1942;1970;1999;x
Budennij;30062;SOV;1919;1920;1924;1935;0;5;512;1;0;5;0;L9861;1919;1970;1999;x
Budyho;30063;SOV;1939;1990;1990;1990;3;5;0;1;0;5;0;L9862;1939;1941;1999;x
Bulatov;30064;SOV;1939;1990;1990;1990;3;3;0;1;0;5;0;L9863;1939;1970;1999;x
Bulganin N.A.;30065;SOV;1941;1942;1944;1947;1;4;0;4;0;5;0;L9864;1941;1960;1999;x
Bunjashin;30066;SOV;1943;1990;1990;1990;3;4;0;1;0;5;0;L9865;1943;1970;1999;x
Burkov;30067;SOV;1942;1943;1990;1990;2;4;0;2;0;5;0;L9866;1942;1970;1999;x
Butkov;30068;SOV;1942;1943;1990;1990;2;6;128;2;0;5;0;L9867;1942;1970;1999;x
Chepurkin;30069;SOV;1944;1946;1990;1990;3;4;1;2;0;5;0;L9868;1944;1970;1999;x
Cheremisov;30070;SOV;1940;1945;1990;1990;2;6;4;2;0;5;0;L9869;1940;1970;1999;x
Cherepanov;30071;SOV;1930;1938;1990;1990;2;6;0;2;0;5;0;L9870;1940;1970;1999;x
Cherevichenko;30072;SOV;1930;1939;1941;1990;1;6;1;3;0;5;0;L9871;1930;1970;1999;x
Cherniaev;30073;SOV;1940;1990;1990;1990;3;4;2;1;0;5;0;L9872;1940;1942;1999;x
Cherniakhovskij;30074;SOV;1942;1943;1944;1990;2;8;0;3;0;5;0;L9873;1942;1945;1999;x
Chernoburov;30075;SOV;1943;1990;1990;1990;3;6;32;1;0;5;0;L9874;1943;1945;1999;x
Chernov;30076;SOV;1940;1990;1990;1990;3;4;0;1;0;5;0;L9875;1940;1945;1999;x
Chernyak;30077;SOV;1930;1940;1990;1990;2;6;0;2;0;5;0;L9876;1930;1970;1999;x
Cherokmanov;30078;SOV;1941;1945;1990;1990;3;6;4;2;0;5;0;L9877;1941;1970;1999;x
Chibisov;30079;SOV;1939;1940;1943;1990;1;7;16;3;0;5;0;L9878;1939;1970;1999;x
Chistyakov M.N.;30080;SOV;1940;1941;1942;1944;1;8;0;4;0;5;0;L9879;1940;1970;1999;x
Chistyakov V.I.;30081;SOV;1939;1990;1990;1990;3;4;0;1;0;5;0;L9880;1939;1941;1999;x
Chuikov V.I.;30082;SOV;1938;1940;1943;1955;1;9;11;4;0;5;0;L9881;1938;1964;1999;x
Dalmatov;30083;SOV;1941;1990;1990;1990;3;7;256;1;0;5;0;L9882;1941;1970;1999;x
Dedaev;30084;SOV;1939;1990;1990;1990;3;4;2;1;0;5;0;L9883;1939;1941;1999;x
Deev;30085;SOV;1930;1990;1990;1990;3;5;256;1;0;5;0;L9884;1930;1944;1999;x
Dement'ev;30086;SOV;1930;1939;1990;1990;3;5;64;2;0;5;0;L9885;1930;1942;1999;x
Denisenko;30087;SOV;1943;1990;1990;1990;3;5;4;1;0;5;0;L9886;1943;1970;1999;x
Denisov;30088;SOV;1941;1990;1990;1990;3;5;128;1;0;5;0;L9887;1941;1943;1999;x
Devyatov;30089;SOV;1941;1990;1990;1990;3;4;4;1;0;5;0;L9888;1941;1943;1999;x
Dobroserdov;30090;SOV;1939;1990;1990;1990;3;4;0;1;0;5;0;L9889;1939;1941;1999;x
Dratvin;30091;SOV;1940;1943;1990;1990;2;6;16;2;0;5;0;L9890;1940;1970;1999;x
Dubovoy;30092;SOV;1943;1990;1990;1990;3;5;0;1;0;5;0;L9891;1943;1970;1999;x
Dudarev;30093;SOV;1942;1990;1990;1990;3;6;256;1;0;5;0;L9892;1942;1945;1999;x
Dukhov;30094;SOV;1945;1990;1990;1990;3;6;128;1;0;5;0;L9893;1945;1970;1999;x
Dybenko;30095;SOV;1930;1930;1990;1990;2;6;513;1;0;5;0;L9894;1930;1943;1999;x
Efremov;30096;SOV;1930;1940;1990;1990;2;6;0;2;0;5;0;L9895;1930;1942;1999;x
Egorov  A.I.;30097;SOV;1930;1930;1930;1930;0;8;514;2;0;5;0;L9896;1930;1943;1999;x
Egorov  E.A.;30098;SOV;1939;1990;1990;1990;3;4;4;1;0;5;0;L9897;1939;1941;1999;x
Egorov  D.G.;30099;SOV;1940;1990;1990;1990;3;5;0;1;0;5;0;L9898;1940;1942;1999;x
Egorov  P.G.;30100;SOV;1939;1990;1990;1990;3;4;0;1;0;5;0;L9899;1939;1941;1999;x
Eideman;30101;SOV;1930;1930;1930;1990;1;6;9;1;0;5;0;L9900;1930;1943;1999;x
Eliseev;30102;SOV;1930;1990;1990;1990;3;5;64;1;0;5;0;L9901;1930;1942;1999;x
Erastov;30103;SOV;1940;1944;1990;1990;2;6;4;2;0;5;0;L9902;1940;1970;1999;x
Eremenko A.I.;30104;SOV;1937;1940;1941;1955;1;8;0;3;0;5;0;L9903;1937;1958;1999;x
Eremin;30105;SOV;1941;1990;1990;1990;3;4;0;1;0;5;0;L9904;1941;1945;1999;x
Ermakov;30106;SOV;1940;1944;1990;1990;3;6;4;2;0;5;0;L9905;1940;1970;1999;x
Ershakov;30107;SOV;1930;1938;1990;1990;2;5;0;2;0;5;0;L9906;1930;1941;1999;x
Fabricius;30108;SOV;1930;1930;1930;1990;1;4;514;1;0;5;0;L9907;1930;1943;1999;x
Fediuninski;30109;SOV;1941;1943;1945;1990;2;7;1;3;0;5;0;L9908;1941;1970;1999;x
Fediunkin;30110;SOV;1942;1945;1990;1990;3;5;4;2;0;5;0;L9909;1942;1947;1999;x
Fedko;30111;SOV;1930;1930;1990;1990;2;5;2;1;0;5;0;L9910;1930;1943;1999;x
Fedorenko;30112;SOV;1937;1940;1943;1944;1;7;0;4;0;5;0;L9911;1937;1947;1999;x
Fedorov  I.E.;30113;SOV;1943;1990;1990;1990;3;5;128;1;0;5;0;L9912;1943;1970;1999;x
Fedorov  J.M.;30114;SOV;1930;1941;1990;1990;2;5;513;2;0;5;0;L9913;1930;1944;1999;x
Fedyun;30115;SOV;1944;1990;1990;1990;3;4;2;1;0;5;0;L9914;1944;1970;1999;x
Feklenko;30116;SOV;1940;1943;1990;1990;2;5;0;2;0;5;0;L9915;1940;1970;1999;x
Fesin;30117;SOV;1943;1990;1990;1990;3;4;0;1;0;5;0;L9916;1943;1970;1999;x
Fetisov;30118;SOV;1943;1946;1990;1990;3;6;8;2;0;5;0;L9917;1943;1970;1999;x
Fiksel;30119;SOV;1941;1990;1990;1990;3;7;4;1;0;5;0;L9918;1941;1943;1999;x
Filatov;30120;SOV;1930;1938;1990;1990;2;5;0;2;0;5;0;L9919;1930;1941;1999;x
Filippovsky;30121;SOV;1940;1945;1990;1990;3;6;0;2;0;5;0;L9920;1940;1970;1999;x
Firin;30122;SOV;1930;1990;1990;1990;3;6;8;1;0;5;0;L9921;1930;1944;1999;x
Fogel;30123;SOV;1942;1990;1990;1990;3;4;0;1;0;5;0;L9922;1942;1944;1999;x
Fokanov;30124;SOV;1942;1943;1990;1990;2;5;256;2;0;5;0;L9923;1942;1946;1999;x
Fomenko  N.M.;30125;SOV;1944;1990;1990;1990;3;5;4;1;0;5;0;L9924;1944;1970;1999;x
Fomenko  P.I.;30126;SOV;1940;1944;1990;1990;2;7;24;2;0;5;0;L9925;1940;1970;1999;x
Fomin;30127;SOV;1930;1990;1990;1990;3;5;1;1;0;5;0;L9926;1930;1944;1999;x
Frenkel;30128;SOV;1938;1941;1990;1990;2;4;0;2;0;5;0;L9927;1938;1945;1999;x
Frolov;30129;SOV;1930;1930;1938;1990;1;7;10;2;0;5;0;L9928;1930;1970;1999;x
Gagen;30130;SOV;1941;1943;1990;1990;2;5;8;2;0;5;0;L9929;1941;1970;1999;x
Gaj;30131;SOV;1930;1930;1990;1990;2;6;1;1;0;5;0;L9930;1930;1935;1999;x
