Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abboud;775001;SUD;1940;1943;1990;1990;2;3;1;1;0;5;0;M555030;1940;1960;1999;x
Bennett;775002;SUD;1939;1943;1990;1990;2;4;128;1;0;5;0;M555032;1939;1960;1999;x
Campbell;775003;SUD;1930;1990;1990;1990;3;3;2;0;0;5;0;L555002;1930;1960;1999;x
Craddock;775004;SUD;1930;1940;1943;1990;1;5;0;2;0;5;0;M555031;1930;1960;1999;x
Drummond Burton;775005;SUD;1939;1942;1990;1990;2;4;4;1;0;5;0;M555029;1939;1960;1999;x
Duffield Wright;775006;SUD;1930;1990;1990;1990;3;3;0;0;0;5;0;L555005;1930;1942;1999;x
Fitzclarence;775007;SUD;1930;1990;1990;1990;3;3;64;0;0;5;0;L555006;1930;1944;1999;x
Flemming-Sanders;775008;SUD;1930;1990;1990;1990;3;4;128;0;0;5;0;L555007;1930;1945;1999;x
Harris;775009;SUD;1930;1990;1990;1990;3;3;32;0;0;5;0;L555008;1930;1943;1999;x
Horwood;775010;SUD;1939;1990;1990;1990;3;4;256;0;0;5;0;L555009;1939;1960;1999;x
Lynch;775011;SUD;1930;1990;1990;1990;3;6;528;1;0;5;0;L555010;1930;1942;1999;x
Nimeri;775012;SUD;1945;1990;1990;1990;3;3;64;0;0;5;0;L555011;1945;1960;1999;x
Norman;775013;SUD;1930;1940;1990;1990;2;4;64;1;0;5;0;M555007;1930;1960;1999;x
Prendergast;775014;SUD;1930;1990;1990;1990;3;4;1;0;0;5;0;L555013;1930;1945;1999;x
Siwar al-Dhab;775015;SUD;1945;1990;1990;1990;3;2;1;0;0;5;0;L555014;1945;1960;1999;x
Stewart-Symes;775016;SUD;1930;1930;1930;1990;1;4;2;1;0;5;0;M555001;1930;1943;1999;x
Claydon;775017;SUD;1939;1990;1990;1990;3;3;2048;0;0;5;1;L310014;1939;1960;1999;x
Collins;775018;SUD;1930;1940;1990;1990;2;4;0;1;0;5;1;L410013;1930;1946;1999;x
Palliser;775019;SUD;1938;1990;1990;1990;3;5;1024;0;0;5;1;L1377;1938;1960;1999;x
Trelawny;775020;SUD;1930;1939;1990;1990;2;4;4096;1;0;5;1;L320016;1930;1960;1999;x
Bushell;775021;SUD;1938;1990;1990;1990;3;3;0;0;0;5;2;L555020;1938;1990;1999;x
Harris;775022;SUD;1940;1990;1990;1990;3;3;131072;0;0;5;2;L555021;1940;1960;1999;x
Horwood;775023;SUD;1939;1990;1990;1990;3;3;4096;0;0;5;2;L555009;1939;1960;1999;x
Robertson;775024;SUD;1930;1939;1990;1990;2;4;16384;1;0;5;2;M555010;1930;1960;1999;x
Rowland-Roupell;775025;SUD;1930;1940;1990;1990;2;4;0;1;0;5;2;L555024;1930;1960;1999;x
