Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Aakerhielm;40001;SWE;1941;1990;1990;1990;3;3;0;0;0;4;0;9827;1941;1960;1999;x
af Klercker;40002;SWE;1930;1930;1930;1990;1;4;514;1;0;5;0;L9001;1930;1939;1999;x
Andrén;40003;SWE;1930;1990;1990;1990;3;3;32;0;0;4;0;L9002;1930;1943;1999;x
Backlund;40004;SWE;1944;1990;1990;1990;3;4;1;0;0;5;0;L9003;1944;1960;1999;x
Bennedich;40005;SWE;1930;1990;1990;1990;3;3;64;0;0;4;0;L9004;1930;1940;1999;x
Bredberg;40006;SWE;1940;1942;1990;1990;2;4;0;1;0;5;0;L9005;1940;1960;1999;x
Cederskiöld;40007;SWE;1939;1990;1990;1990;3;4;0;0;0;5;0;L9006;1939;1960;1999;x
Douglas;40008;SWE;1930;1942;1944;1990;1;6;4;2;0;3;0;L9007;1930;1946;1999;x
Ehrensvärd CA.;40009;SWE;1939;1943;1945;1990;1;7;12;3;0;4;0;L9008;1939;1960;1999;x
Gadd  H.;40010;SWE;1930;1942;1990;1990;3;3;0;1;0;4;0;L9009;1930;1946;1999;x
Gadd  S.;40011;SWE;1944;1990;1990;1990;3;4;64;0;0;5;0;L9010;1944;1960;1999;x
Gyllenkrok;40012;SWE;1930;1990;1990;1990;3;4;2;0;0;3;0;L9011;1930;1940;1999;x
Hagelberg;40013;SWE;1938;1942;1990;1990;3;4;24;1;0;3;0;L9012;1938;1960;1999;x
Hamilton;40014;SWE;1930;1990;1990;1990;3;4;12;1;0;5;0;L9013;1930;1941;1999;x
Holmquist;40015;SWE;1930;1930;1990;1990;2;3;8;0;0;4;0;L9014;1930;1942;1999;x
Högberg;40016;SWE;1943;1990;1990;1990;3;4;0;0;0;5;0;L9015;1943;1960;1999;x
Jung;40017;SWE;1942;1944;1990;1990;1;5;12;0;0;4;0;L9016;1942;1960;1999;x
Malmberg;40018;SWE;1930;1990;1990;1990;3;3;0;0;0;4;0;L9017;1930;1941;1999;x
Nygren;40019;SWE;1930;1930;1930;1990;1;3;8;1;0;5;0;L9018;1930;1941;1999;x
Peyron;40020;SWE;1930;1930;1990;1990;2;4;576;1;0;4;0;L9019;1930;1940;1999;x
Rappe;40021;SWE;1939;1943;1990;1990;1;7;128;1;0;3;0;L9020;1939;1960;1999;x
Rosenblad;40022;SWE;1930;1930;1990;1990;2;4;520;1;0;5;0;L9021;1930;1943;1999;x
Staalhane;40023;SWE;1930;1930;1990;1990;2;3;520;1;0;5;0;L9022;1930;1939;1999;x
Sylvan;40024;SWE;1930;1930;1990;1990;2;4;0;0;0;5;0;L9023;1930;1942;1999;x
Thörnell;40025;SWE;1930;1936;1940;1990;1;3;9;3;0;5;0;L9024;1930;1944;1999;x
Tottie;40026;SWE;1938;1943;1990;1990;3;3;0;1;0;5;0;L9025;1938;1960;1999;x
von Rosen;40027;SWE;1930;1930;1990;1990;2;4;12;1;0;5;0;L9026;1930;1943;1999;x
Biörklund;40028;SWE;1942;1990;1990;1990;3;3;0;0;0;4;1;L9027;1942;1960;1999;x
de Champs;40029;SWE;1930;1930;1990;1990;2;3;0;0;0;4;1;L9028;1930;1944;1999;x
Dyrssen;40030;SWE;1930;1930;1990;1990;2;3;4608;0;0;5;1;L9029;1930;1941;1999;x
Ehrensvärd;40031;SWE;1930;1939;1943;1990;2;4;4096;2;0;4;1;L9030;1930;1960;1999;x
Grefberg;40032;SWE;1940;1990;1990;1990;3;3;1024;0;0;4;1;L9031;1940;1960;1999;x
Hamilton;40033;SWE;1930;1990;1990;1990;3;4;0;0;0;4;1;L9032;1930;1942;1999;x
Lindström;40034;SWE;1930;1930;1940;1990;1;4;0;1;0;3;1;L9033;1930;1946;1999;x
Strömbäck;40035;SWE;1939;1990;1990;1990;2;5;0;0;0;5;1;L9034;1939;1960;1999;x
Tamm;40036;SWE;1938;1942;1946;1990;2;4;0;2;0;4;1;L9035;1938;1960;1999;x
Friis;40037;SWE;1930;1930;1930;1990;1;3;0;1;0;4;2;L9036;1930;1945;1999;x
Iacobi;40038;SWE;1938;1941;1945;1990;2;4;65536;2;0;5;2;L9037;1938;1960;1999;x
Karlsson;40039;SWE;1943;1990;1990;1990;3;3;0;0;0;5;2;L9038;1943;1960;1999;x
Ljungdahl;40040;SWE;1938;1990;1990;1990;3;3;0;0;0;5;2;L9039;1938;1960;1999;x
Nordenskiöld;40041;SWE;1939;1941;1990;1990;2;5;0;1;0;3;2;L9040;1939;1960;1999;x
Salwen;40042;SWE;1940;1990;1990;1990;3;3;131072;0;0;5;2;L9041;1940;1944;1999;x
Tamm;40043;SWE;1945;1990;1990;1990;3;3;0;0;0;4;2;L9042;1945;1960;1999;x
Theler;40044;SWE;1940;1990;1990;1990;3;4;8192;0;0;4;2;L9043;1940;1960;1999;x
Örnberg;40045;SWE;1930;1939;1990;1990;3;3;4096;1;0;4;2;L9044;1930;1942;1999;x
Linder;40046;SWE;1930;1930;1990;1990;2;3;8;0;0;5;0;L9045;1930;1943;1999;x
Tingsten;40047;SWE;1912;1932;1932;1932;3;6;2;2;0;5;0;7743;1912;1932;1999;x
von Matern;40048;SWE;1908;1912;1932;1932;2;6;8;2;0;5;0;7951;1908;1932;1999;x
Fallenius;40049;SWE;1912;1932;1932;1932;3;7;0;3;0;5;0;7735;1912;1932;1999;x
Mörcke;40050;SWE;1912;1932;1932;1932;3;7;0;3;0;5;0;7737;1912;1932;1999;x
Nordenskjöld;40051;SWE;1908;1912;1932;1932;2;6;0;2;0;5;0;1197;1908;1932;1999;x
Uggla;40052;SWE;1908;1912;1932;1932;2;6;0;2;0;5;0;7745;1908;1932;1999;x
Hasselroth;40053;SWE;1912;1932;1932;1932;3;6;0;2;0;5;0;7736;1912;1932;1999;x
Rudenschöld;40054;SWE;1912;1932;1932;1932;3;7;0;3;0;5;0;unknownleader;1912;1932;1999;x
von Platen;40055;SWE;1912;1932;1932;1932;3;7;0;3;0;5;0;7952;1912;1932;1999;x
Munck;40056;SWE;1912;1932;1932;1932;3;6;0;2;0;5;0;7738;1912;1932;1999;x
Carleson;40057;SWE;1912;1932;1932;1932;3;6;0;2;0;5;0;7734;1912;1932;1999;x
Warberg;40058;SWE;1908;1912;1932;1932;2;6;0;2;0;5;0;9269;1908;1932;1999;x
Jungstedt;40059;SWE;1912;1932;1932;1932;3;6;0;2;0;5;0;8152;1912;1932;1999;x
Wrangel;40060;SWE;1912;1932;1932;1932;3;6;0;2;0;5;0;7748;1912;1932;1999;x
Toll;40061;SWE;1912;1932;1932;1932;3;7;0;3;0;5;0;7744;1912;1932;1999;x
Nyström;40062;SWE;1912;1932;1932;1932;3;7;0;3;0;5;0;7739;1912;1932;1999;x
Wikander;40063;SWE;1908;1912;1932;1932;2;6;8;2;0;5;0;7747;1908;1932;1999;x
Bergström;40064;SWE;1912;1932;1932;1932;3;6;0;2;0;5;0;7933;1912;1932;1999;x
Hammarskjöld;40065;SWE;1912;1932;1932;1932;3;6;0;2;0;5;0;7941;1912;1932;1999;x
Bergenzaum;40066;SWE;1912;1932;1932;1932;3;6;8;2;0;5;0;unknownleader;1912;1932;1999;x
Schmidt;40067;SWE;1912;1932;1932;1932;3;6;2;2;0;5;0;7741;1912;1932;1999;x
