Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bircher;80001;SCH;1938;1990;1990;1990;3;4;0;0;0;3;0;L129000;1938;1946;1999;x
Borel;80002;SCH;1930;1990;1990;1990;3;4;0;0;0;5;0;L129001;1930;1941;1999;x
Brunner;80003;SCH;1941;1990;1990;1990;3;5;4;0;0;5;0;L129002;1941;1960;1999;x
Castelli;80004;SCH;1939;1990;1990;1990;3;4;128;0;0;5;0;L129003;1939;1960;1999;x
Constam;80005;SCH;1930;1930;1990;1990;2;7;0;1;0;5;0;L129004;1930;1944;1999;x
de Crousaz;80006;SCH;1930;1990;1990;1990;3;5;256;0;0;5;0;L129005;1930;1943;1999;x
Flückiger;80007;SCH;1937;1990;1990;1990;3;4;0;0;0;5;0;L129006;1937;1960;1999;x
Gugger;80008;SCH;1941;1990;1990;1990;3;4;0;0;0;5;0;L129007;1941;1960;1999;x
Guisan;80009;SCH;1930;1930;1930;1990;1;8;6;2;0;5;0;L129008;1930;1960;1999;x
Huber  J.;80010;SCH;1930;1990;1990;1990;3;5;0;0;0;5;0;L129009;1930;1940;1999;x
Huber  J.I.;80011;SCH;1938;1941;1943;1990;1;6;3;2;0;5;0;L129010;1938;1960;1999;x
Isler;80012;SCH;1930;1990;1990;1990;3;5;0;0;0;5;0;L129011;1930;1941;1999;x
Jahn;80013;SCH;1942;1990;1990;1990;3;4;0;0;0;5;0;L129012;1942;1960;1999;x
Jenne;80014;SCH;1944;1990;1990;1990;3;5;16;0;0;5;0;L129013;1944;1960;1999;x
Furrer;80015;SCH;1930;1930;1990;1990;2;3;0;1;0;5;0;L129014;1930;1943;1999;x
Kammel;80016;SCH;1940;1990;1990;1990;3;4;64;0;0;5;0;L129015;1940;1946;1999;x
Labhart;80017;SCH;1939;1943;1990;1990;2;4;0;1;0;5;0;L129016;1939;1960;1999;x
Lardelli;80018;SCH;1930;1939;1990;1990;2;4;0;1;0;5;0;L129017;1930;1943;1999;x
Le Pierre;80019;SCH;1944;1990;1990;1990;3;5;1;0;0;5;0;L129018;1944;1960;1999;x
Mamin;80020;SCH;1930;1990;1990;1990;3;4;2;0;0;5;0;L129019;1930;1941;1999;x
Marcaud;80021;SCH;1930;1990;1990;1990;3;6;514;1;0;5;0;L129020;1930;1939;1999;x
Masson;80022;SCH;1946;1990;1990;1990;3;4;0;0;0;5;0;L129021;1946;1960;1999;x
Matille;80023;SCH;1942;1990;1990;1990;3;4;0;0;0;5;0;L129022;1942;1960;1999;x
Mosimann;80024;SCH;1941;1946;1990;1990;3;5;2;1;0;5;0;L129023;1941;1960;1999;x
Müller;80025;SCH;1930;1990;1990;1990;3;6;8;0;0;5;0;L129024;1930;1943;1999;x
Nicola;80026;SCH;1940;1990;1990;1990;3;5;128;0;0;5;0;L129025;1940;1960;1999;x
Prisi;80027;SCH;1930;1930;1990;1990;2;4;0;1;0;5;0;L129026;1930;1942;1999;x
Roost;80028;SCH;1939;1942;1990;1990;2;5;32;1;0;5;0;L129027;1939;1960;1999;x
Rünzi;80029;SCH;1939;1990;1990;1990;3;5;256;0;0;5;0;L129028;1939;1947;1999;x
Scheibli;80030;SCH;1930;1930;1990;1990;2;6;513;1;0;5;0;L129029;1930;1943;1999;x
Scherrer;80031;SCH;1930;1990;1990;1990;3;4;256;0;0;5;0;L129030;1930;1940;1999;x
Schwarz;80032;SCH;1939;1990;1990;1990;3;4;2;0;0;5;0;L129031;1939;1960;1999;x
Sonderegger;80033;SCH;1930;1930;1990;1990;2;6;516;1;0;5;0;L129032;1930;1940;1999;x
Strickler;80034;SCH;1943;1945;1990;1990;3;5;0;1;0;5;0;L129033;1943;1960;1999;x
von Graffenried;80035;SCH;1939;1990;1990;1990;3;4;0;0;0;5;0;L129034;1939;1960;1999;x
Waibel;80036;SCH;1945;1990;1990;1990;3;4;0;0;0;5;0;L129035;1945;1960;1999;x
Wille;80037;SCH;1930;1930;1930;1990;1;5;514;1;0;5;0;L129036;1930;1939;1999;x
Flückiger;80038;SCH;1937;1990;1990;1990;3;4;0;0;0;5;1;L129037;1937;1960;1999;x
Prisi;80039;SCH;1930;1930;1990;1990;2;4;0;1;0;5;1;L129038;1930;1942;1999;x
