Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abrash;430001;SYR;1942;1990;1990;1990;3;2;0;0;0;5;0;M528054;1942;1960;1999;x
al-Aslan;430002;SYR;1943;1990;1990;1990;3;2;0;0;0;5;0;L528001;1943;1960;1999;x
al-Fiqri;430003;SYR;1943;1990;1990;1990;3;2;16;0;0;5;0;L528002;1943;1960;1999;x
al-Gawzi;430004;SYR;1930;1930;1930;1990;1;3;576;1;0;5;0;M528024;1930;1946;1999;x
al-Quawugji;430005;SYR;1930;1943;1990;1990;2;2;2;1;0;5;0;M528049;1930;1960;1999;x
al-Shishakli;430006;SYR;1937;1942;1945;1990;2;3;0;2;0;5;0;M528051;1937;1960;1999;x
al-Zaim;430007;SYR;1930;1942;1945;1990;2;3;0;2;0;5;0;M528047;1930;1949;1999;x
Amiel;430008;SYR;1930;1941;1944;1990;2;5;128;2;0;5;0;M528007;1930;1960;1999;x
Ballarin;430009;SYR;1930;1943;1990;1990;2;4;1;1;0;5;0;L528008;1930;1960;1999;x
Cambas;430010;SYR;1941;1990;1990;1990;3;5;1;0;0;5;0;M528046;1941;1960;1999;x
Carré de Lusancay;430011;SYR;1930;1939;1990;1990;2;5;1;1;0;5;0;M528009;1930;1960;1999;x
Catroux;430012;SYR;1930;1930;1930;1990;1;4;4;1;0;5;0;L24029;1930;1945;1999;x
Chakour;430013;SYR;1939;1944;1990;1990;2;2;2;1;0;5;0;L528012;1939;1960;1999;x
Chenailler;430014;SYR;1938;1942;1990;1990;2;4;256;1;0;5;0;L528013;1938;1960;1999;x
Duperier;430015;SYR;1930;1944;1990;1990;2;3;32;1;0;5;0;M528052;1930;1960;1999;x
Genin;430016;SYR;1930;1990;1990;1990;3;4;32;0;0;5;0;L528015;1930;1942;1999;x
Jourdier;430017;SYR;1942;1990;1990;1990;3;3;0;0;0;5;0;L528016;1942;1960;1999;x
Mangin;430018;SYR;1940;1990;1990;1990;3;3;4;0;0;5;0;L528017;1940;1960;1999;x
Morel-Delville;430019;SYR;1939;1943;1990;1990;2;4;128;1;0;5;0;L528018;1939;1960;1999;x
Puaux;430020;SYR;1930;1930;1990;1990;2;2;128;0;0;5;0;M528008;1930;1945;1999;x
Salvat;430021;SYR;1938;1940;1943;1990;2;3;0;2;0;5;0;M528036;1938;1960;1999;x
Sharba;430022;SYR;1943;1990;1990;1990;3;2;1;0;0;5;0;L528021;1943;1960;1999;x
Stahl;430023;SYR;1939;1990;1990;1990;3;4;256;0;0;5;0;L528022;1939;1960;1999;x
Tourkmani;430024;SYR;1944;1990;1990;1990;3;2;128;0;0;5;0;L528023;1944;1960;1999;x
Verheust;430025;SYR;1930;1990;1990;1990;3;5;257;0;0;5;0;L528024;1930;1960;1999;x
Abrash;430026;SYR;1942;1945;1990;1990;2;2;0;1;0;5;1;M528054;1942;1960;1999;x
al-Gawzi;430027;SYR;1930;1930;1930;1990;1;1;8704;0;0;5;1;M528024;1930;1946;1999;x
Carré de Lusancay;430028;SYR;1930;1990;1990;1990;3;2;0;0;0;5;1;M528009;1930;1960;1999;x
al-Shishakli;430029;SYR;1937;1942;1990;1990;2;2;0;1;0;5;2;M528051;1937;1960;1999;x
Amiel;430030;SYR;1930;1941;1990;1990;2;2;16384;1;0;5;2;M528007;1930;1960;1999;x
Coudray;430031;SYR;1930;1990;1990;1990;3;3;131072;0;0;5;2;M528010;1930;1942;1999;x
Duperier;430032;SYR;1930;1990;1990;1990;3;3;4096;0;0;5;2;M528052;1930;1960;1999;x
Jean;430033;SYR;1941;1943;1946;1990;1;5;0;2;0;5;2;L528032;1941;1960;1999;x
Johani;430034;SYR;1944;1990;1990;1990;3;2;0;0;0;5;2;L528033;1944;1960;1999;x
Silu;430035;SYR;1943;1946;1950;1990;1;4;2;2;0;5;0;M528061;1943;1960;1999;x
Hinnawi;430036;SYR;1942;1944;1990;1990;2;3;1;1;0;5;0;M528076;1942;1950;1999;x
al Razi;430037;SYR;1948;1951;1990;1990;2;2;0;1;0;5;2;M528077;1948;1960;1999;x
