Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Anger;530001;TAJ;1930;1990;1990;1990;3;3;128;0;0;5;0;L524000;1930;1960;1999;x
Baumgartner;530002;TAJ;1930;1990;1990;1990;3;3;256;0;0;5;0;L524001;1930;1960;1999;x
Ebner;530003;TAJ;1930;1990;1990;1990;3;3;32;0;0;5;0;L524002;1930;1960;1999;x
Friedrichs;530004;TAJ;1939;1990;1990;1990;3;5;128;0;0;5;0;L524003;1939;1960;1999;x
Gafurov;530005;TAJ;1930;1930;1940;1990;1;3;64;1;0;5;0;M524007;1930;1960;1999;x
Hoffmann;530006;TAJ;1930;1930;1941;1990;2;3;2;2;0;5;0;L524005;1930;1960;1999;x
Kazachestevo;530007;TAJ;1930;1939;1941;1990;2;4;9;2;0;5;0;M524041;1930;1960;1999;x
Kolb;530008;TAJ;1930;1941;1990;1990;2;3;2;1;0;5;0;L524007;1930;1960;1999;x
Kuttig;530009;TAJ;1930;1990;1990;1990;3;3;4;0;0;5;0;L524008;1930;1960;1999;x
Perminov;530010;TAJ;1930;1943;1990;1990;3;4;9;1;0;5;0;M524039;1930;1960;1999;x
Proskuriakov;530011;TAJ;1930;1930;1930;1990;1;3;8;1;0;5;0;M524042;1930;1960;1999;x
Protopopov;530012;TAJ;1930;1930;1941;1990;1;4;4;1;0;5;0;M524008;1930;1960;1999;x
Provotvorov;530013;TAJ;1930;1930;1943;1990;2;3;8;1;0;5;0;M524038;1930;1960;1999;x
Richter;530014;TAJ;1930;1941;1944;1990;2;3;2;3;0;5;0;L524013;1930;1960;1999;x
Shpigun;530015;TAJ;1930;1990;1990;1990;3;2;8;0;0;5;0;L524014;1930;1960;1999;x
Sinaiski;530016;TAJ;1930;1990;1990;1990;3;3;256;0;0;5;0;M524044;1930;1960;1999;x
Starikovich;530017;TAJ;1930;1990;1990;1990;3;2;0;0;0;5;0;L524016;1930;1960;1999;x
Teschner;530018;TAJ;1930;1990;1990;1990;3;3;32;0;0;5;0;L524017;1930;1960;1999;x
von Ammon;530019;TAJ;1930;1990;1990;1990;3;4;32;0;0;5;0;L524018;1930;1960;1999;x
von Behr;530020;TAJ;1930;1990;1990;1990;3;2;0;0;0;5;0;L524019;1930;1960;1999;x
von der Schulenburg;530021;TAJ;1930;1990;1990;1990;3;2;0;0;0;5;0;L524020;1930;1960;1999;x
von Renz;530022;TAJ;1930;1939;1941;1990;1;3;2;2;0;5;0;L524021;1930;1960;1999;x
Ryndenko;530023;TAJ;1930;1941;1990;1990;3;2;1024;1;0;5;1;M524009;1930;1960;1999;x
Sinaiski;530024;TAJ;1930;1990;1990;1990;3;2;4096;1;0;5;1;M524044;1930;1960;1999;x
Telasnikov;530025;TAJ;1930;1990;1990;1990;3;2;0;0;0;5;1;L524024;1930;1960;1999;x
Ushurov;530026;TAJ;1930;1930;1942;1990;2;3;0;1;0;5;1;M524003;1930;1960;1999;x
Barsukov;530027;TAJ;1930;1930;1942;1990;1;4;65536;1;0;5;2;M524010;1930;1960;1999;x
Ryndenko;530028;TAJ;1930;1943;1990;1990;2;3;8192;1;0;5;2;M524009;1930;1960;1999;x
Siess;530029;TAJ;1930;1990;1990;1990;3;3;4096;0;0;5;2;L524028;1930;1960;1999;x
Spiess;530030;TAJ;1930;1939;1990;1990;2;3;0;1;0;5;2;L524029;1930;1960;1999;x
Surén;530031;TAJ;1930;1939;1941;1990;2;2;0;2;0;5;2;M524047;1930;1960;1999;x
