Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Andruk Gonpo Tashi;440001;TIB;1930;1990;1990;1990;3;2;256;0;0;4;0;L150000;1930;1942;1999;x
Bapa Yeshe;440002;TIB;1943;1945;1990;1990;3;3;16;1;0;4;0;L150001;1943;1960;1999;x
Chaghoe Namgyal Dorje;440003;TIB;1930;1990;1990;1990;3;2;256;0;0;4;0;L150002;1930;1945;1999;x
Chama Samphe;440004;TIB;1944;1946;1990;1990;3;3;16;1;0;4;0;L150003;1944;1960;1999;x
Gyato Wangdu;440005;TIB;1942;1990;1990;1990;3;2;128;0;0;4;0;L150004;1942;1960;1999;x
Jampal Rabgyé Rinpoche;440006;TIB;1930;1930;1939;1990;1;2;0;1;0;4;0;L150005;1930;1944;1999;x
Kalsang Tsultrim;440007;TIB;1941;1990;1990;1990;3;2;32;0;0;4;0;L150006;1941;1960;1999;x
Khemey Sonam Wangdi;440008;TIB;1930;1930;1944;1990;2;3;1;1;0;4;0;L150007;1930;1960;1999;x
Lhalu Tsewang Dorje;440009;TIB;1945;1990;1990;1990;3;2;4;0;0;4;0;L150008;1945;1960;1999;x
Ngapoi Ngawang Jigme;440010;TIB;1942;1944;1946;1990;2;3;2;2;0;4;0;L150009;1942;1960;1999;x
Sampo Tsewang Rigzin;440011;TIB;1944;1990;1990;1990;3;2;16;0;0;4;0;L150010;1944;1960;1999;x
Tenpa Jamyang;440012;TIB;1930;1930;1930;1990;1;4;576;1;0;4;0;L150011;1930;1945;1999;x
Wangchuk Tharchin;440013;TIB;1930;1990;1990;1990;3;2;16;0;0;4;0;L150012;1930;1943;1999;x
Chaghoe Namgyal Dorje;440014;TIB;1930;1990;1990;1990;3;2;0;0;0;4;1;L150013;1930;1945;1999;x
Chama Samphe;440015;TIB;1944;1946;1990;1990;2;2;0;1;0;4;1;L150014;1944;1960;1999;x
Lhalu Tsewang Dorje;440016;TIB;1945;1990;1990;1990;3;2;0;0;0;4;1;L150015;1945;1960;1999;x
Bapa Yeshe;440017;TIB;1943;1990;1990;1990;3;1;0;0;0;4;2;L150016;1943;1960;1999;x
Gyato Wangdu;440018;TIB;1942;1990;1990;1990;3;2;0;0;0;4;2;L150017;1942;1960;1999;x
Khemey Sonam Wangdi;440019;TIB;1930;1930;1990;1990;2;1;0;0;0;4;2;L150018;1930;1943;1999;x
Sampo Tsewang Rigzin;440020;TIB;1944;1946;1990;1990;2;2;0;1;0;4;2;L150019;1944;1960;1999;x
Cuike;440021;TIB;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Gongran;440022;TIB;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Yutog;440023;TIB;1908;1932;1932;1932;1;5;0;4;3;5;0;1229;1908;1932;1999;x
Cedain;440024;TIB;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Dainda;440025;TIB;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Doje;440026;TIB;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Minglingba;440027;TIB;1908;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Tethong;440028;TIB;1908;1908;1932;1932;1;4;0;3;0;5;0;1230;1908;1932;1999;x
Zhamdui;440029;TIB;1908;1908;1932;1932;2;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Shapi;440030;TIB;1908;1908;1932;1932;2;3;0;2;0;5;0;unknownleader;1908;1932;1999;x
Tsarong Dzasa;440031;TIB;1908;1914;1917;1920;0;4;0;3;0;5;0;1231;1908;1932;1999;x
Changra Depsn;440032;TIB;1905;1914;1932;1932;3;3;0;2;0;5;0;1232;1905;1932;1999;x
Dingja;440033;TIB;1908;1932;1932;1932;3;3;0;2;0;5;0;1233;1908;1932;1999;x
Kalon Lama;440034;TIB;1900;1903;1908;1932;3;3;0;1;0;5;0;1234;1900;1920;1999;x
Khyungram Theji;440035;TIB;1910;1914;1932;1932;3;3;0;1;0;5;0;1235;1910;1932;1999;x
Ladingser;440036;TIB;1897;1903;1932;1932;3;3;0;2;0;5;0;1236;1897;1918;1999;x
Langserling;440037;TIB;1897;1903;1932;1932;3;3;0;1;0;5;0;1237;1897;1918;1999;x
Miru Gyalwa;440038;TIB;1910;1914;1932;1932;3;3;0;1;0;5;0;1238;1910;1932;1999;x
Neto;440039;TIB;1917;1920;1932;1932;3;3;0;1;0;5;0;1239;1917;1932;1999;x
Tendong Shappe;440040;TIB;1921;1932;1932;1932;3;3;0;2;0;5;0;1240;1921;1932;1999;x
Trimon Shappe;440041;TIB;1912;1914;1932;1932;3;3;0;0;0;5;0;1241;1912;1919;1999;x
Tsoko;440042;TIB;1914;1917;1932;1932;3;3;0;1;0;5;0;1242;1914;1932;1999;x
Lungshar Kusho;440043;TIB;1920;1932;1932;1932;3;3;0;2;0;5;0;unknownleader;1920;1932;1999;x
Doring Theji;440044;TIB;1917;1922;1932;1932;3;3;0;2;0;5;0;unknownleader;1917;1932;1999;x
Derge Se;440045;TIB;1910;1911;1932;1932;3;3;0;2;0;5;0;unknownleader;1910;1932;1999;x
