Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Alankup;45001;TUR;1939;1945;1990;1990;3;5;0;1;0;4;0;L61000;1939;1960;1999;x
Arikan;45002;TUR;1930;1939;1990;1990;2;5;1;1;0;4;0;L61001;1930;1943;1999;x
Artunkal;45003;TUR;1930;1940;1943;1990;2;7;2;2;0;5;0;L61002;1930;1947;1999;x
Ayguc;45004;TUR;1944;1946;1990;1990;3;5;128;1;0;5;0;L61003;1944;1960;1999;x
Baransel;45005;TUR;1943;1990;1990;1990;3;5;0;0;0;4;0;L61004;1943;1960;1999;x
Bözer;45006;TUR;1938;1990;1990;1990;3;4;32;0;0;5;0;L61005;1938;1944;1999;x
Cakmak;45007;TUR;1930;1930;1930;1930;0;6;2;1;0;4;0;L61006;1930;1945;1999;x
Calistar;45008;TUR;1930;1930;1990;1990;2;5;513;1;0;4;0;L61007;1930;1939;1999;x
Eldelhun;45009;TUR;1941;1944;1990;1990;2;5;128;1;0;4;0;L61008;1941;1960;1999;x
Gataly;45010;TUR;1930;1939;1990;1990;2;4;0;1;0;5;0;L61009;1930;1943;1999;x
Gürkan;45011;TUR;1945;1990;1990;1990;3;6;256;0;0;5;0;L61010;1945;1960;1999;x
Gürler;45012;TUR;1939;1943;1990;1990;2;4;256;1;0;4;0;L61011;1939;1960;1999;x
Gürman;45013;TUR;1941;1990;1990;1990;3;5;4;0;0;4;0;L61012;1941;1960;1999;x
Gürsel;45014;TUR;1944;1947;1990;1990;3;7;4;1;0;4;0;L61013;1944;1960;1999;x
Gürzlin;45015;TUR;1930;1990;1990;1990;3;4;0;0;0;5;0;L61014;1930;1939;1999;x
Inönu;45016;TUR;1930;1930;1930;1939;1;4;4;2;0;5;0;L61015;1930;1960;1999;x
Kanatli;45017;TUR;1938;1990;1990;1990;2;5;0;0;0;4;0;L61016;1938;1946;1999;x
Karabekir;45018;TUR;1930;1930;1930;1990;1;5;2;1;0;4;0;L61017;1930;1941;1999;x
Mengüc;45019;TUR;1943;1946;1990;1990;3;5;4;1;0;4;0;L61018;1943;1960;1999;x
Naci Tinaz;45020;TUR;1939;1941;1990;1990;2;4;0;1;0;5;0;L61019;1939;1946;1999;x
Namut;45021;TUR;1930;1930;1930;1990;1;6;2;1;0;4;0;L61020;1930;1940;1999;x
Noyan;45022;TUR;1940;1942;1990;1990;2;5;0;1;0;4;0;L61021;1940;1960;1999;x
Omurtak;45023;TUR;1942;1943;1946;1990;2;5;1;2;0;4;0;L61022;1942;1960;1999;x
Orbay;45024;TUR;1937;1940;1990;1990;2;5;32;1;0;4;0;L61023;1937;1945;1999;x
Selisik;45025;TUR;1943;1990;1990;1990;3;4;32;0;0;4;0;L61024;1943;1960;1999;x
Seven;45026;TUR;1942;1990;1990;1990;3;5;128;0;0;4;0;L61025;1942;1960;1999;x
Tagmac;45027;TUR;1944;1947;1990;1990;3;6;16;1;0;4;0;L61026;1944;1960;1999;x
Toüdemür;45028;TUR;1938;1942;1990;1990;2;5;4;1;0;4;0;L61027;1938;1947;1999;x
Tunaboylu;45029;TUR;1943;1990;1990;1990;3;4;0;0;0;4;0;L61028;1943;1960;1999;x
Tural;45030;TUR;1945;1990;1990;1990;3;5;256;0;0;4;0;L61029;1945;1960;1999;x
Türkes;45031;TUR;1938;1990;1990;1990;3;5;4;0;0;3;0;L61030;1938;1943;1999;x
Wehib Pasha;45032;TUR;1930;1930;1938;1990;2;6;546;1;0;5;0;L61031;1930;1940;1999;x
Yamut;45033;TUR;1939;1941;1990;1990;2;6;4;1;0;4;0;L61032;1939;1960;1999;x
Yazici;45034;TUR;1945;1990;1990;1990;3;6;256;0;0;4;0;L61033;1945;1960;1999;x
Öktem;45035;TUR;1943;1990;1990;1990;3;5;0;0;0;5;0;L61034;1943;1960;1999;x
