Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Bangerskis;545001;UKR;1933;1933;1990;1990;2;3;513;1;0;5;0;L518000;1933;1960;1999;x
Bergmann;545002;UKR;1933;1990;1990;1990;3;2;0;0;0;5;0;L518001;1933;1960;1999;x
Bezruchko;545003;UKR;1933;1939;1990;1990;2;3;8;1;0;5;0;L518002;1933;1960;1999;x
Blagoveschenski;545004;UKR;1933;1990;1990;1990;3;2;4;1;0;5;0;L518003;1933;1960;1999;x
Bogdanov;545005;UKR;1933;1990;1990;1990;3;5;16;0;0;5;0;L518004;1933;1960;1999;x
Borowietz;545006;UKR;1933;1942;1990;1990;2;4;0;1;0;5;0;L518005;1933;1960;1999;x
Boyarski;545007;UKR;1933;1990;1990;1990;3;3;64;0;0;5;0;L518006;1933;1960;1999;x
Breithaupt;545008;UKR;1933;1933;1940;1990;2;4;0;1;0;5;0;L518007;1933;1960;1999;x
Bunjatschenko;545009;UKR;1933;1938;1990;1990;2;3;0;1;0;5;0;L518008;1933;1960;1999;x
Drescher;545010;UKR;1933;1943;1990;1990;3;3;1;1;0;5;0;L518009;1933;1960;1999;x
Duda;545011;UKR;1933;1990;1990;1990;3;2;16;0;0;5;0;M518057;1933;1960;1999;x
Eckhardt;545012;UKR;1933;1942;1990;1990;3;4;1;1;0;5;0;L518011;1933;1960;1999;x
Falley;545013;UKR;1933;1943;1990;1990;3;3;32;1;0;5;0;L518012;1933;1960;1999;x
Fischer;545014;UKR;1933;1990;1990;1990;3;3;32;0;0;5;0;L518013;1933;1960;1999;x
Frank;545015;UKR;1933;1990;1990;1990;3;2;0;0;0;5;0;L518014;1933;1960;1999;x
Gall;545016;UKR;1933;1990;1990;1990;3;3;0;0;0;5;0;L518015;1933;1960;1999;x
Geiger;545017;UKR;1933;1944;1990;1990;3;3;128;1;0;5;0;L518016;1933;1960;1999;x
Gerok;545018;UKR;1933;1943;1990;1990;3;3;4;0;0;5;0;L518017;1933;1960;1999;x
Golovnev;545019;UKR;1933;1933;1943;1990;2;4;0;1;0;5;0;M518007;1933;1960;1999;x
