Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Beyris;695001;MAL;1930;1990;1990;1990;3;4;513;1;0;5;0;M539008;1930;1944;1999;x
Ceccaldi;695002;MAL;1941;1990;1990;1990;3;4;96;0;0;5;0;L539001;1941;1960;1999;x
Cournaire;695003;MAL;1930;1939;1944;1990;2;3;64;2;0;5;0;M534004;1930;1960;1999;x
de Vauille;695004;MAL;1944;1990;1990;1990;3;3;128;0;0;5;0;L539003;1944;1960;1999;x
Eggenspiller;695005;MAL;1940;1945;1990;1990;2;4;1;1;0;5;0;L539004;1940;1960;1999;x
Fall;695006;MAL;1945;1990;1990;1990;3;2;0;0;0;5;0;L539005;1945;1960;1999;x
Garbit;695007;MAL;1930;1990;1990;1990;3;3;1;0;0;5;0;L539006;1930;1942;1999;x
Leconnieré;695008;MAL;1944;1990;1990;1990;3;3;128;0;0;5;0;L539007;1944;1960;1999;x
Méric;695009;MAL;1930;1941;1944;1990;3;4;258;2;0;5;0;L539008;1930;1960;1999;x
Moguez;695010;MAL;1940;1990;1990;1990;3;3;32;0;0;5;0;M539038;1940;1960;1999;x
Rol-Tanguy;695011;MAL;1939;1990;1990;1990;3;4;256;0;0;5;0;M539043;1939;1960;1999;x
Soumare;695012;MAL;1943;1946;1990;1990;2;3;64;1;0;5;0;M539040;1943;1960;1999;x
Teissiere;695013;MAL;1940;1942;1990;1990;2;3;4;1;0;5;0;M539041;1940;1960;1999;x
Toure;695014;MAL;1930;1930;1930;1990;1;3;1;1;0;5;0;L539013;1930;1943;1999;x
Tourtet;695015;MAL;1930;1942;1990;1990;2;4;256;1;0;5;0;M539010;1930;1960;1999;x
Verdier;695016;MAL;1938;1990;1990;1990;3;3;6;0;0;5;0;M539042;1938;1960;1999;x
Wouli;695017;MAL;1930;1990;1990;1990;3;2;4;0;0;5;0;L539016;1930;1960;1999;x
Betbeze;695018;MAL;1941;1990;1990;1990;3;2;0;0;0;5;1;L539017;1941;1960;1999;x
Ponchardier;695019;MAL;1930;1930;1990;1990;2;3;8192;0;0;5;1;M539009;1930;1960;1999;x
Sall;695020;MAL;1945;1990;1990;1990;3;2;4096;0;0;5;1;M539045;1945;1960;1999;x
Betbeze;695021;MAL;1941;1990;1990;1990;3;3;0;0;0;5;2;L539017;1941;1960;1999;x
Mourier;695022;MAL;1939;1942;1990;1990;2;3;16384;1;0;5;2;M539046;1939;1960;1999;x
Ousseynou;695023;MAL;1945;1990;1990;1990;3;2;4096;0;0;5;2;M539048;1945;1960;1999;x
Tourtet;695024;MAL;1930;1942;1990;1990;2;3;0;1;0;5;2;M539010;1930;1960;1999;x
