Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Abelardo Schmitt;195001;URU;1944;1990;1990;1990;3;3;256;0;0;5;0;L470000;1944;1960;1999;x
Amancias Rodriguez;195002;URU;1939;1941;1990;1990;2;3;2;1;0;5;0;L470001;1939;1945;1999;x
Amato Masso;195003;URU;1930;1990;1990;1990;3;4;128;0;0;5;0;L470002;1930;1940;1999;x
Baldomir Ferrari;195004;URU;1930;1930;1930;1930;0;3;0;1;0;5;0;L470003;1930;1943;1999;x
Beñavides;195005;URU;1930;1990;1990;1990;3;3;128;0;0;5;0;L470004;1930;1939;1999;x
Cacares;195006;URU;1940;1942;1945;1990;1;4;0;2;0;5;0;L470005;1940;1960;1999;x
Daners Isasmendi;195007;URU;1944;1946;1990;1990;2;4;0;1;0;4;0;L470006;1944;1960;1999;x
de Lara Rivas;195008;URU;1930;1990;1990;1990;3;3;64;0;0;5;0;L470007;1930;1941;1999;x
Díaz Caminate;195009;URU;1943;1990;1990;1990;3;4;1;0;0;5;0;L470008;1943;1960;1999;x
Eloi Mendoza;195010;URU;1930;1930;1990;1990;2;3;2;0;0;5;0;L470009;1930;1941;1999;x
Escalona Vasquez;195011;URU;1939;1942;1990;1990;3;4;0;1;0;5;0;L470010;1939;1946;1999;x
Franki Franque;195012;URU;1942;1990;1990;1990;3;3;16;0;0;5;0;L470011;1942;1960;1999;x
Glockenberger;195013;URU;1942;1945;1990;1990;2;3;2;1;0;5;0;L470012;1942;1960;1999;x
Heinz Azpurua;195014;URU;1940;1942;1943;1990;1;3;2;2;0;5;0;L470013;1940;1960;1999;x
Lopez Camara;195015;URU;1930;1930;1990;1990;2;6;32;0;0;5;0;L470014;1930;1941;1999;x
Macías Alonso;195016;URU;1930;1930;1990;1990;2;5;514;1;0;5;0;L470015;1930;1939;1999;x
Moutisch;195017;URU;1945;1990;1990;1990;3;4;0;0;0;5;0;L470016;1945;1960;1999;x
Ojeto Varela;195018;URU;1943;1947;1990;1990;3;3;1;1;0;5;0;L470017;1943;1960;1999;x
Peres-Canizarés Saez;195019;URU;1945;1990;1990;1990;3;4;256;0;0;5;0;L470018;1945;1960;1999;x
Piraguy Trellés;195020;URU;1930;1930;1990;1990;2;3;1;0;0;5;0;L470019;1930;1942;1999;x
Quintero Salas;195021;URU;1943;1990;1990;1990;3;3;4;0;0;5;0;L470020;1943;1960;1999;x
Ronso Rodriguez;195022;URU;1939;1990;1990;1990;3;4;0;0;0;5;0;L470021;1939;1942;1999;x
Segundo Díaz;195023;URU;1942;1944;1990;1990;3;4;1;1;0;5;0;L470022;1942;1960;1999;x
Vadora;195024;URU;1930;1990;1990;1990;3;5;513;1;0;3;0;L470023;1930;1940;1999;x
Vio Valdéz;195025;URU;1939;1942;1990;1990;2;5;256;1;0;5;0;L470024;1939;1960;1999;x
Buzeta Miranda;195026;URU;1944;1990;1990;1990;3;3;0;0;0;5;1;L470025;1944;1960;1999;x
Coso da Roch;195027;URU;1941;1945;1990;1990;3;4;0;2;0;5;1;L470026;1941;1960;1999;x
Jackson Urribé;195028;URU;1937;1940;1941;1990;1;5;0;2;0;5;1;L470027;1937;1946;1999;x
Jansson Castañeta;195029;URU;1940;1945;1947;1990;2;4;0;2;0;5;1;L470028;1940;1960;1999;x
Martín de la Flores;195030;URU;1945;1990;1990;1990;3;3;0;0;0;5;1;L470029;1945;1960;1999;x
Neves Ochoa;195031;URU;1939;1990;1990;1990;3;4;1024;0;0;5;1;L470030;1939;1945;1999;x
Quintio Reyes;195032;URU;1930;1930;1990;1990;2;5;4608;1;0;5;1;L470031;1930;1940;1999;x
Santibanéz Carreras;195033;URU;1943;1946;1990;1990;3;4;0;1;0;5;1;L470032;1943;1960;1999;x
Suaréz Villablanco;195034;URU;1941;1944;1990;1990;2;3;2048;1;0;5;1;L470033;1941;1960;1999;x
Vio Valdéz;195035;URU;1939;1942;1990;1990;2;3;0;1;0;5;1;L470034;1939;1960;1999;x
Abelardo Schmitt;195036;URU;1944;1990;1990;1990;3;3;0;0;0;5;2;L470035;1944;1960;1999;x
Alvaréz Berisso;195037;URU;1930;1930;1938;1990;1;5;4096;1;0;5;2;L470036;1930;1943;1999;x
de la Fuente del Quillar;195038;URU;1943;1946;1990;1990;3;4;0;1;0;5;2;L470037;1943;1960;1999;x
Garcia Sanchéz;195039;URU;1944;1990;1990;1990;3;3;16384;0;0;5;2;L470038;1944;1960;1999;x
Gomez Villaverde;195040;URU;1930;1990;1990;1990;3;3;32768;0;0;5;2;L470039;1930;1939;1999;x
Martín de la Flores;195041;URU;1944;1946;1990;1990;2;4;131072;1;0;5;2;L470040;1944;1960;1999;x
Ojeto Varela;195042;URU;1944;1990;1990;1990;3;4;16384;0;0;5;2;L470041;1944;1960;1999;x
Peres-Canizarés Saez;195043;URU;1945;1990;1990;1990;3;3;0;0;0;5;2;L470042;1945;1960;1999;x
Redondo Galván;195044;URU;1940;1943;1945;1990;2;4;0;2;0;5;2;L470043;1940;1960;1999;x
Sanchez Elizondo;195045;URU;1930;1990;1990;1990;3;4;4096;0;0;5;2;L470044;1930;1938;1999;x
Zuluega Diáz;195046;URU;1930;1990;1990;1990;3;4;0;0;0;5;2;L470045;1930;1941;1999;x
Campos;195047;URU;1908;1912;1932;1932;2;4;0;2;0;5;0;unknownleader;1908;1932;1999;x
Viera;195048;URU;1912;1932;1932;1932;3;4;0;2;0;5;0;unknownleader;1912;1932;1999;x
Buquet;195049;URU;1904;1908;1912;1932;1;4;0;2;0;5;0;unknownleader;1904;1932;1999;x
Maeso;195050;URU;1908;1912;1932;1932;2;4;0;2;0;5;0;unknownleader;1908;1932;1999;x
Pereira;195051;URU;1912;1932;1932;1932;3;4;0;2;0;5;0;unknownleader;1912;1932;1999;x
Fabregat;195052;URU;1912;1932;1932;1932;3;4;0;2;0;5;0;unknownleader;1912;1932;1999;x
Cantón;195053;URU;1912;1932;1932;1932;3;4;0;2;0;5;0;unknownleader;1912;1932;1999;x
Marfetán;195054;URU;1912;1932;1932;1932;3;4;0;2;0;5;0;unknownleader;1912;1932;1999;x
Dos Santos;195055;URU;1912;1932;1932;1932;3;4;0;2;0;5;0;unknownleader;1912;1932;1999;x
Ruprecht;195056;URU;1904;1908;1912;1932;1;4;0;2;0;5;0;unknownleader;1904;1932;1999;x
Riverós;195057;URU;1908;1912;1932;1932;2;4;0;2;0;5;0;unknownleader;1908;1932;1999;x
Bazzano;195058;URU;1908;1912;1932;1932;2;4;0;2;0;5;0;unknownleader;1908;1932;1999;x
Sánchez;195059;URU;1908;1912;1932;1932;2;4;0;2;0;5;0;unknownleader;1908;1932;1999;x
Bernassa;195060;URU;1908;1912;1932;1932;2;4;0;2;0;5;0;unknownleader;1908;1932;1999;x
Lyons;195061;URU;1912;1932;1932;1932;3;4;0;2;0;5;1;unknownleader;1912;1932;1999;x
Bayley;195062;URU;1912;1932;1932;1932;3;4;0;2;0;5;1;unknownleader;1912;1932;1999;x
Balverde;195063;URU;1912;1932;1932;1932;3;4;0;2;0;5;1;unknownleader;1912;1932;1999;x
Ravia;195064;URU;1912;1932;1932;1932;3;4;0;2;0;5;1;unknownleader;1912;1932;1999;x
Magdaleno;195065;URU;1912;1932;1932;1932;3;4;0;2;0;5;1;unknownleader;1912;1932;1999;x
