Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Arnaud;230001;VIC;1939;1942;1990;1990;2;4;2;2;0;4;0;L380000;1939;1944;1999;x
Audet;230002;VIC;1930;1938;1943;1990;2;5;1;3;0;4;0;L380001;1930;1960;1999;x
Barrau;230003;VIC;1943;1990;1990;1990;3;4;0;1;0;4;0;L380002;1943;1946;1999;x
Barthélémy;230004;VIC;1942;1990;1990;1990;3;4;1;1;0;3;0;L380003;1942;1970;1999;x
Bridoux;230005;VIC;1930;1930;1990;1990;2;4;0;1;0;5;0;L380004;1930;1960;1999;x
Brocard;230006;VIC;1939;1990;1990;1990;3;5;128;1;0;5;0;L380005;1939;1943;1999;x
Carlès;230007;VIC;1930;1938;1990;1990;2;4;1;2;0;4;0;L380006;1930;1943;1999;x
Colson;230008;VIC;1930;1930;1930;1990;1;6;2;1;0;2;0;L380008;1930;1960;1999;x
de Cyvoct;230009;VIC;1939;1941;1990;1990;2;4;514;2;0;4;0;L380010;1939;1943;1999;x
de Griffolet de Laurimont;230010;VIC;1943;1990;1990;1990;3;4;256;1;0;3;0;L380011;1943;1945;1999;x
Debeney;230011;VIC;1937;1942;1990;1990;2;6;514;2;0;3;0;L380012;1937;1960;1999;x
Dentz;230012;VIC;1930;1930;1938;1990;1;4;256;3;0;3;0;L380013;1930;1945;1999;x
Desmazes;230013;VIC;1930;1939;1990;1990;2;4;0;2;0;4;0;L380014;1930;1960;1999;x
de Verdillac;230014;VIC;1930;1938;1941;1990;1;6;1;3;0;5;0;L380015;1930;1960;1999;x
Doumenc;230015;VIC;1930;1930;1930;1990;1;4;514;1;0;4;0;L380016;1930;1948;1999;x
Dubuisson;230016;VIC;1930;1930;1939;1990;1;4;0;2;0;3;0;L380017;1930;1960;1999;x
Falvy;230017;VIC;1938;1939;1990;1990;2;4;1;2;0;4;0;L380019;1938;1960;1999;x
Finot;230018;VIC;1941;1943;1990;1990;2;4;1;2;0;4;0;L380020;1941;1960;1999;x
Francois;230019;VIC;1937;1990;1990;1990;3;5;257;1;0;4;0;L380021;1937;1960;1999;x
Huntziger;230020;VIC;1930;1930;1930;1990;1;8;3;2;0;2;0;L380022;1930;1960;1999;x
Hupel;230021;VIC;1942;1990;1990;1990;3;4;0;1;0;4;0;L380023;1942;1960;1999;x
Keime;230022;VIC;1939;1990;1990;1990;3;4;1;1;0;4;0;L380024;1939;1960;1999;x
Laure;230023;VIC;1930;1930;1938;1990;1;5;2;2;0;5;0;L380025;1930;1946;1999;x
Lemonnier;230024;VIC;1937;1943;1990;1990;2;5;1;2;0;4;0;L380026;1937;1945;1999;x
Mer;230025;VIC;1938;1941;1990;1990;2;4;0;2;0;5;0;L380027;1938;1949;1999;x
Nogues;230026;VIC;1930;1930;1930;1990;1;5;514;1;0;4;0;L380028;1930;1960;1999;x
Pétain;230027;VIC;1930;1930;1930;1930;0;6;514;1;0;5;0;L380029;1930;1960;1999;x
Puaud;230028;VIC;1942;1990;1990;1990;3;6;3;1;0;5;0;L380030;1942;1945;1999;x
Sabattier;230029;VIC;1942;1944;1990;1990;3;5;1;2;0;4;0;L380031;1942;1960;1999;x
Weygand;230030;VIC;1930;1930;1930;1990;1;7;514;1;0;5;0;L380032;1930;1942;1999;x
Abrial;230031;VIC;1930;1939;1940;1990;2;5;4096;2;0;5;1;L380033;1930;1960;1999;x
Darlan;230032;VIC;1930;1930;1930;1941;1;7;4096;3;0;5;1;L380034;1930;1942;1999;x
Decoux;230033;VIC;1930;1939;1990;1990;2;6;1536;2;0;4;1;L380035;1930;1960;1999;x
