Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Adamocic;100001;YUG;1930;1938;1990;1990;2;5;0;0;0;3;0;L46000;1930;1960;1999;x
Bajolasic;100002;YUG;1942;1990;1990;1990;3;6;16;0;0;2;0;L46001;1942;1960;1999;x
Bozovic;100003;YUG;1939;1990;1990;1990;3;5;64;0;0;3;0;L46002;1939;1960;1999;x
Brasic;100004;YUG;1930;1930;1930;1990;1;5;514;1;0;5;0;L46003;1930;1960;1999;x
Broz Tito;100005;YUG;1930;1930;1943;1944;0;9;16;3;0;1;0;L46004;1942;1960;1999;x
Cincar-Markovic;100006;YUG;1930;1930;1990;1990;2;4;2;0;0;4;0;L46005;1930;1960;1999;x
Djujic;100007;YUG;1942;1990;1990;1990;3;6;16;0;0;3;0;L46006;1942;1946;1999;x
Dragicevic;100008;YUG;1930;1930;1990;1990;2;5;514;1;0;2;0;L46007;1930;1940;1999;x
Glisic;100009;YUG;1940;1943;1990;1990;3;6;4;1;0;4;0;L46008;1940;1960;1999;x
Glokovac;100010;YUG;1930;1990;1990;1990;3;4;64;0;0;5;0;L46009;1930;1943;1999;x
Ilic;100011;YUG;1930;1930;1941;1990;2;5;2;1;0;4;0;L46010;1930;1960;1999;x
Ivetic;100012;YUG;1939;1990;1990;1990;3;4;32;0;0;4;0;L46011;1939;1960;1999;x
Jankovic;100013;YUG;1940;1945;1990;1990;3;5;0;1;0;4;0;L46012;1940;1960;1999;x
Joksimovic;100014;YUG;1930;1990;1990;1990;3;4;0;0;0;3;0;L46013;1930;1960;1999;x
Jovanovic;100015;YUG;1942;1943;1944;1990;2;7;16;3;0;3;0;L46014;1942;1960;1999;x
Kosic;100016;YUG;1930;1930;1930;1990;1;5;2;1;0;4;0;L46015;1930;1960;1999;x
Kovac;100017;YUG;1942;1990;1990;1990;3;5;16;0;0;3;0;L46016;1942;1960;1999;x
Kukavicic;100018;YUG;1930;1938;1990;1990;2;5;0;1;0;3;0;L46017;1930;1960;1999;x
Laxa;100019;YUG;1930;1930;1930;1990;1;7;514;1;0;2;0;L46018;1930;1941;1999;x
Ljotie;100020;YUG;1940;1990;1990;1990;3;4;0;0;0;1;0;L46019;1940;1945;1999;x
Lukic;100021;YUG;1930;1939;1990;1990;2;5;0;1;0;3;0;L46020;1930;1941;1999;x
Majstorovic;100022;YUG;1940;1990;1990;1990;3;4;0;0;0;3;0;L46021;1940;1960;1999;x
Mihajlovic;100023;YUG;1930;1941;1990;1990;2;5;1;1;0;5;0;L46022;1930;1946;1999;x
Milicivic;100024;YUG;1938;1990;1990;1990;3;4;0;0;0;3;0;L46023;1938;1960;1999;x
Nadj;100025;YUG;1937;1943;1943;1990;1;7;16;2;0;3;0;L46024;1937;1960;1999;x
Nedeljkovic;100026;YUG;1930;1930;1990;1990;2;5;514;1;0;4;0;L46025;1930;1960;1999;x
Nedic, Milan;100027;YUG;1930;1930;1930;1940;1;5;1;1;0;3;0;8435;1930;1946;1999;x
Nikolic;100028;YUG;1930;1938;1990;1990;3;4;2;1;0;4;0;L46027;1930;1960;1999;x
Pavlovic;100029;YUG;1930;1939;1990;1990;3;5;0;1;0;3;0;L46028;1930;1960;1999;x
Petrovic;100030;YUG;1930;1930;1930;1990;1;4;0;1;0;4;0;L46029;1930;1960;1999;x
