Name;ID;Country;Rank 3 Year;Rank 2 Year;Rank 1 Year;Rank 0 Year;Ideal Rank;Max Skill;Traits;Skill;Experience;Loyalty;Type;Picture;Start Year;End Year;Retirement Year;x
Belovsky;615001;CYN;1930;1990;1990;1990;3;2;0;0;0;5;0;L501000;1930;1960;1999;x
Golpurchin;615002;CYN;1930;1930;1930;1990;1;2;0;1;0;5;0;L501001;1930;1960;1999;x
Krustin;615003;CYN;1930;1990;1990;1990;3;2;128;0;0;5;0;L501002;1930;1960;1999;x
Kurukikov;615004;CYN;1930;1990;1990;1990;3;2;8;0;0;5;0;L501003;1930;1960;1999;x
Liu Wen-hui;615005;CYN;1930;1938;1990;1990;2;3;2;1;0;2;0;L50218;1930;1960;1999;x
Lu Han;615006;CYN;1930;1930;1990;1990;2;2;2;0;0;3;0;L50228;1930;1943;1999;x
Long Yun;615007;CYN;1930;1930;1930;1990;1;3;16;1;0;2;0;L50232;1930;1960;1999;x
Mozh-Rüttel;615008;CYN;1930;1990;1990;1990;3;2;4;0;0;5;0;L501007;1930;1960;1999;x
Putelkin;615009;CYN;1930;1930;1990;1990;2;2;256;0;0;5;0;L501008;1930;1960;1999;x
Shaposchirtin;615010;CYN;1930;1930;1990;1990;2;2;1;0;0;5;0;L501009;1930;1960;1999;x
von Hesselkammer;615011;CYN;1930;1930;1990;1990;2;3;2;0;0;5;0;L501010;1930;1960;1999;x
Kurukikov;615012;CYN;1930;1990;1990;1990;3;1;0;0;0;5;1;L501003;1930;1960;1999;x
Long Yun;615013;CYN;1930;1930;1930;1990;1;1;0;0;0;2;1;L50232;1930;1960;1999;x
Putelkin;615014;CYN;1930;1930;1990;1990;2;2;0;0;0;5;1;L501008;1930;1960;1999;x
Bozenkov;615015;CYN;1930;1990;1990;1990;2;2;4096;0;0;5;2;L501014;1930;1960;1999;x
Krelnikov;615016;CYN;1930;1990;1990;1990;3;2;0;0;0;5;2;L501015;1930;1960;1999;x
Lu Han;615017;CYN;1930;1930;1990;1990;2;1;0;0;0;3;2;L50228;1930;1943;1999;x
Zhaprosenkov;615018;CYN;1930;1990;1990;1990;3;2;0;0;0;5;2;L501017;1930;1960;1999;x
Chen Shufan;615021;CYN;1910;1935;1935;1935;3;7;2;3;0;1;0;unknownleader;1908;1935;1999;x
Chen Jiongming;615022;CYN;1910;1935;1935;1935;3;7;2;3;0;1;0;2130;1908;1935;1999;x
Cai E;615023;CYN;1910;1911;1914;1935;3;7;2;3;0;1;0;2131;1908;1935;1999;x
