U10;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyality;Picture Name;X
;Replacements;;;;;;;;;X
865001;Head of State;Benjamin Boers;1933;1964;1999;ST;Insignificant Layman;High;M8040;X
865002;Head of State;Jan Dieters;1933;1964;1999;ST;Autocratic Charmer;High;M8041;X
865003;Head of State;Saul de Groot;1933;1964;1999;ST;Ruthless Powermonger;High;M8021;X
865004;Head of Government;Johan Albarda;1933;1964;1999;LWR;Happy Amateur;High;M8043;X
865005;Head of Government;Nicolaas Beuzemaker;1933;1964;1999;ST;Happy Amateur;High;M8054;X
865006;Head of Government;David Wijnkoop;1933;1964;1999;ST;Naive Optimist;High;M8022;X
865007;Head of Government;Daniel Goulooze;1933;1964;1999;ST;Smiling Oilman;High;M8025;X
865008;Foreign Minister;Servatius Baart;1933;1964;1999;LWR;Great Compromiser;Medium;M8057;X
865009;Foreign Minister;George van den Bergh;1933;1964;1999;LWR;Iron Fisted Brute;Medium;M8059;X
865010;Foreign Minister;Jan van Royen;1933;1964;1999;LWR;Biased Intellectual;Low;M8060;X
865011;Foreign Minister;Charles Guillaume Cramer;1933;1964;1999;LWR;The Cloak N Dagger Schemer;Very High;M8062;X
865012;Foreign Minister;Benjamin Boers;1933;1964;1999;ST;Great Compromiser;Medium;M8040;X
865013;Foreign Minister;Nicolaas Beuzemaker;1933;1964;1999;ST;The Cloak N Dagger Schemer;Very High;M8054;X
865014;Foreign Minister;David Wijnkoop;1933;1964;1999;ST;Biased Intellectual;Low;M8022;X
865015;Foreign Minister;Saul de Groot;1933;1964;1999;ST;Ideological Crusader;Low;M8021;X
865016;Foreign Minister;Willem van Ravesteyn;1933;1964;1999;ST;Apologetic Clerk;Medium;M8023;X
865017;Minister of Armament;Jacob van Gelderen;1933;1964;1999;LWR;laissez-faire capitalist;High;M8077;X
865018;Minister of Armament;Lambertus H. Mansholt;1933;1964;1999;LWR;Resource Industrialist;Medium;M8078;X
865019;Minister of Armament;Johan Albarda;1933;1964;1999;LWR;laissez-faire capitalist;High;M8043;X
865020;Minister of Armament;Jacques de Kadt;1933;1964;1999;LWR;Military Entrepreneur;High;M8081;X
865021;Minister of Armament;Charles Guillaume Cramer;1933;1964;1999;LWR;Air Superiority Proponent;Very High;M8062;X
