ARG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
165001;Head of State;Agustín P. Justo;1922;1934;1999;PA;Resigned Generalissimo;High;M35001;X
165002;Head of Government;Agustín P. Justo;1922;1934;1999;PA;Old General;High;M35001;X
165003;Foreign Minister;Carlos Saavedra Lamas;1933;1964;1999;PA;The Cloak N Dagger Schemer;High;M35003;X
165004;Minister of Armament;Alberto Hueyo;1933;1964;1999;PA;laissez-faire capitalist;High;M35004;X
165005;Minister of Security;Ramon Castillo;1933;1964;1999;PA;Prince of Terror;Medium;M35005;X
165006;Head of Military Intelligence;Jorge de la Torre;1933;1964;1999;PA;Industrial Specialist;Medium;M35006;X
165007;Chief of Staff;Manuel A. Rodriguez;1933;1964;1999;PA;School of Defence;Very High;M35007;X
165008;Chief of Army;Manuel A. Rodriguez;1933;1964;1999;PA;Decisive Battle Doctrine;Very High;M35007;X
165009;Chief of Navy;Pedro S. Casal;1933;1964;1999;PA;Base Control Doctrine;Medium;M35009;X
165010;Chief of Air Force;Antonio Parodi;1933;1964;1999;PA;Air Superiority Doctrine;Very High;M35010;X
165011;Head of State;Agustín P. Justo;1922;1933;1999;SC;Resigned Generalissimo;High;M35001;X
165012;Head of State;Luis Podesta Costa;1938;1964;1999;SC;Benevolent Gentleman;High;M35014;X
165013;Head of State;Ramon Castillo;1942;1964;1999;PA;Stern Imperialist;High;M35005;X
165014;Head of State;Manuel Maria de Iriondo;1946;1964;1999;SC;Insignificant Layman;High;M35034;X
165015;Head of State;Marcelo T. Alvear;1933;1964;1999;SL;Die-hard Reformer;High;M35035;X
165016;Head of State;Robustiano Patrón Costas;1942;1964;1999;SL;Popular Figurehead;High;M35036;X
165017;Head of State;Baldassare Baldí Jímenez;1933;1964;1999;SD;Weary Stiffneck;High;M35037;X
165018;Head of State;Gustavo Mendoza Curtín;1940;1964;1999;SD;Popular Figurehead;High;M35038;X
165019;Head of State;Roberto M. Ortiz;1933;1964;1999;PA;Pig-headed Isolationist;High;M35039;X
165020;Head of State;Julio A. Roca;1940;1964;1999;SC;Autocratic Charmer;High;M35040;X
165021;Head of State;Edelmiro Farrell;1944;1964;1999;SC;Resigned Generalissimo;High;M35041;X
165022;Head of State;Cesar Armeghino;1944;1964;1999;PA;Autocratic Charmer;High;M35042;X
165023;Head of State;Carlos Alberto Pueyrredon;1933;1964;1999;FA;Ruthless Powermonger;High;M35011;X
165024;Head of State;Juan Domingo Peron;1945;1964;1999;LWR;Autocratic Charmer;High;M35021;X
165025;Head of Government;Agustín P. Justo;1922;1933;1999;SC;Old General;High;M35001;X
165026;Head of Government;Luis Podesta Costa;1938;1964;1999;SC;Backroom Backstabber;High;M35014;X
165027;Head of Government;Ramon Castillo;1940;1964;1999;PA;Old General;High;M35005;X
165028;Head of Government;Manuel Maria de Iriondo;1946;1964;1999;SC;Silent Workhorse;High;M35034;X
165029;Head of Government;Marcelo T. Alvear;1933;1964;1999;SL;Naive Optimist;High;M35035;X
165030;Head of Government;Robustiano Patrón Costas;1942;1964;1999;SL;Smiling Oilman;High;M35036;X
165031;Head of Government;Baldassare Baldí Jímenez;1933;1964;1999;SD;Political Protege;High;M35037;X
165032;Head of Government;Gustavo Mendoza Curtín;1940;1964;1999;SD;Corporate Suit;High;M35038;X
165033;Head of Government;Roberto M. Ortiz;1933;1964;1999;PA;Flamboyant Tough Guy;High;M35039;X
165034;Head of Government;Julio A. Roca;1940;1964;1999;SC;Happy Amateur;High;M35040;X
165035;Head of Government;Pedro Pablo Ramirez;1943;1964;1999;PA;Old General;High;M35055;X
165036;Head of Government;Cesar Armeghino;1944;1964;1999;PA;Ambitious Union Boss;High;M35042;X
165037;Head of Government;Carlos Alberto Pueyrredon;1933;1964;1999;FA;Flamboyant Tough Guy;High;M35011;X
165038;Head of Government;Juan Domingo Peron;1945;1964;1999;LWR;Naive Optimist;High;M35021;X
165039;Foreign Minister;Alberto Hueyo;1938;1964;1999;SC;Apologetic Clerk;High;M35004;X
