AUS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
115001;Head of State;Wilhelm Miklas;1933;1964;1999;FA;Weary Stiffneck;High;8141;X
115002;Head of Government;Kurt Schuschnigg;1933;1964;1999;FA;Silent Workhorse;High;8594;X
115003;Foreign Minister;Egon Berger-Waldenegg;1933;1964;1999;FA;Apologetic Clerk;High;8596;X
115004;Minister of Armament;Julius Raab;1933;1964;1999;FA;Resource Industrialist;Medium;8597;X
115005;Minister of Security;Eduard Baar-Baarenfels;1933;1964;1999;FA;Man of the People;High;8623;X
115006;Head of Military Intelligence;Wilhelm Gebauer;1933;1964;1999;FA;Logistics Specialist;Medium;8626;X
115007;Chief of Staff;Alfred von Jansa;1933;1964;1999;FA;School of Defence;Medium;M23007;X
115008;Chief of Army;Wilhelm Zehner;1933;1964;1999;FA;Elastic Defence Doctrine;High;8627;X
115009;Chief of Navy;Paul von Hegedüs;1933;1964;1999;FA;Decisive Naval Battle Doctrine;High;M23009;X
115010;Chief of Air Force;Alexander Löhr;1933;1964;1999;NS;Army Aviation Doctrine;Medium;8628;X
115011;Head of State;Otto I;1933;1964;1999;PA;Autocratic Charmer;High;M23041;X
115012;Head of State;Josef Bürckel;1938;1964;1999;FA;Insignificant Layman;High;M23042;X
115013;Head of State;Arthur Seyss-Inquart;1938;1964;1999;NS;Die-hard Reformer;High;M23011;X
115014;Head of State;Karl Renner;1938;1964;1999;SD;Benevolent Gentleman;High;M23021;X
115015;Head of State;Leopold Figl;1945;1964;1999;SC;Pig-headed Isolationist;High;M23045;X
115016;Head of State;Otto Bauer;1938;1964;1999;LE;Insignificant Layman;High;M23031;X
115017;Head of State;Josef Teufl;1945;1964;1999;ST;Barking Buffoon;High;M23047;X
115018;Head of Government;O. Löwenfels-Aarengau;1945;1964;1999;PA;Smiling Oilman;High;M23048;X
115019;Head of Government;Albert Mendsdorff-Pouilly;1938;1964;1999;FA;Happy Amateur;High;M23049;X
115020;Head of Government;Edmund Glaise-Horstenau;1938;1964;1999;NS;Old General;High;M23050;X
115021;Head of Government;Wilhelm Wolff;1942;1964;1999;NS;Flamboyant Tough Guy;High;M23013;X
115022;Head of Government;Ludwig Hülgerth;1938;1964;1999;SC;Corporate Suit;High;M23052;X
115023;Head of Government;Adolf Schärf;1945;1964;1999;SD;Naive Optimist;High;M23022;X
115024;Head of Government;Willi Frank;1938;1964;1999;LE;Happy Amateur;High;M23035;X
115025;Head of Government;Josef Teufl;1945;1964;1999;ST;Backroom Backstabber;High;M23047;X
115026;Foreign Minister;O. Löwenfels-Aarengau;1945;1964;1999;PA;General Staffer;High;M23048;X
115027;Foreign Minister;Guido Schmidt;1933;1964;1999;FA;The Cloak N Dagger Schemer;High;M23057;X
115028;Foreign Minister;Eduard Baar-Baarenfels;1938;1964;1999;FA;Iron Fisted Brute;High;8623;X
115029;Foreign Minister;Albert Mendsdorff-Pouilly;1939;1964;1999;FA;Apologetic Clerk;Medium;M23049;X
115030;Foreign Minister;Wilhelm Wolff;1938;1964;1999;NS;Ideological Crusader;High;M23013;X
115031;Foreign Minister;Edmund Glaise-Horstenau;1942;1964;1999;NS;General Staffer;Medium;M23061;X
115032;Foreign Minister;Karl Gruber;1938;1964;1999;SC;Biased Intellectual;Low;M23023;X
115033;Foreign Minister;Leopold Figl;1945;1964;1999;ML;Great Compromiser;Medium;M23045;X
115034;Foreign Minister;Adolf Schärf;1945;1964;1999;ML;Biased Intellectual;Medium;M23022;X
115035;Foreign Minister;Alfred Klahr;1938;1964;1999;LE;Ideological Crusader;High;M23033;X
115036;Foreign Minister;Willi Frank;1945;1964;1999;ST;Iron Fisted Brute;Medium;M23035;X
115037;Minister of Armament;T. Winkler-Kreuth-Mautner;1945;1964;1999;PA;laissez-faire capitalist;High;M23067;X
115038;Minister of Armament;Albert Mendsdorff-Pouilly;1946;1964;1999;PA;Administrative Genius;Medium;M23049;X
115039;Minister of Armament;Josef Dobretsberger;1933;1964;1999;FA;laissez-faire capitalist;High;M23069;X
115040;Minister of Armament;Paul von Hegedüs;1938;1964;1999;FA;Battle Fleet Proponent;High;M23009;X
115041;Minister of Armament;Rudolf Neumayr;1938;1964;1999;NS;Resource Industrialist;Medium;M23014;X
115042;Minister of Armament;Hans Fischböck;1942;1964;1999;NS;Military Entrepreneur;High;M23072;X
115043;Minister of Armament;Alfred Maleta;1944;1964;1999;NS;Tank Proponent;Medium;M23073;X
115044;Minister of Armament;Eduard Heinl;1938;1964;1999;ML;Theoretical Scientist;Medium;M23024;X
115045;Minister of Armament;Karl Gruber;1942;1964;1999;ML;Air Superiority Proponent;Low;M23023;X
115046;Minister of Armament;Karl Renner;1945;1964;1999;SC;Strategic Air Proponent;Low;M23021;X
115047;Minister of Armament;Karl Tuppy;1945;1964;1999;SD;Corrupt Kleptocrat;Low;M23077;X
115048;Minister of Armament;Fritz Stöckinger;1946;1964;1999;SD;Air to Ground Proponent;High;M23078;X
