BOS;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
570001;Head of State;Ali Efendi Aganovic;1933;1964;1999;NS;Stern Imperialist;High;M546001;X
570002;Head of Government;Mehmed Alabegovic;1933;1964;1999;NS;Silent Workhorse;High;M546002;X
570003;Foreign Minister;Osman Kulenovic;1933;1964;1999;NS;The Cloak N Dagger Schemer;High;M546003;X
570004;Minister of Armament;Neshad Topcic;1933;1964;1999;NS;Air to Ground Proponent;Medium;M546004;X
570005;Minister of Security;Mohammed Hadzieffendic;1933;1964;1999;NS;Crooked Kleptocrat;Medium;M546005;X
570006;Head of Military Intelligence;Ibrahim Fejic;1933;1964;1999;NS;Political Specialist;Medium;M546006;X
570007;Chief of Staff;Hakija Hadzec;1933;1964;1999;NS;School of Fire Support;Medium;M546007;X
570008;Chief of Army;Desiderius Hampel;1933;1964;1999;NS;Guns and Butter Doctrine;Medium;M546008;X
570009;Chief of Navy;Walther Kinzel;1933;1964;1999;NS;Decisive Naval Battle Doctrine;Medium;M546009;X
570010;Chief of Air Force;Slavomir Tomic;1933;1964;1999;NS;Vertical Envelopment Doctrine;Medium;L46061;X
570011;Head of State;Esat Pasha Toptani;1933;1964;1999;SC;Resigned Generalissimo;High;M546011;X
570012;Head of State;Michel Yovanovic;1933;1964;1999;LWR;Barking Buffoon;High;M20056;X
570013;Head of Government;Osman Zulfikarpasic;1933;1964;1999;SC;Naive Optimist;High;M546013;X
570014;Head of Government;Aleksandar Rankovic;1933;1964;1999;LWR;Political Protege;High;M20026;X
570015;Foreign Minister;Mehmed Kapetanovic;1933;1964;1999;SC;Ideological Crusader;High;M546015;X
570016;Foreign Minister;Mehmed Dzemaludin;1942;1964;1999;SC;Apologetic Clerk;High;M546016;X
570017;Foreign Minister;Ivo Ljujic;1933;1964;1999;LWR;Iron Fisted Brute;High;M546017;X
570018;Minister of Armament;Adolf Wagner;1941;1964;1999;NS;Battle Fleet Proponent;Medium;M546018;X
570019;Minister of Armament;Abdulah Trivuncic;1933;1964;1999;SC;Administrative Genius;Medium;M546019;X
570020;Minister of Armament;Ali Livadic;1933;1964;1999;LWR;Infantry Proponent;Medium;M546020;X
570021;Minister of Armament;Nijaz Dudakovic;1941;1964;1999;LWR;Resource Industrialist;Medium;M546021;X
570022;Minister of Security;Ludwig Öhlhafen;1941;1964;1999;NS;Crime Fighter;Medium;M546022;X
570023;Minister of Security;Sulejman Effendi Kemura;1933;1964;1999;SC;Silent Lawyer;Medium;M546023;X
570024;Minister of Security;Serif Begic;1933;1964;1999;LWR;Efficient Sociopath;Medium;M546024;X
570025;Minister of Security;Fehim Effendi Spaho;1942;1964;1999;LWR;Compassionate Gentleman;Medium;M546025;X
570026;Head of Military Intelligence;Otto Nippolt;1942;1964;1999;NS;Logistics Specialist;Medium;M546026;X
570027;Head of Military Intelligence;Haris Merdanovic;1941;1964;1999;NS;Industrial Specialist;Medium;M546027;X
570028;Head of Military Intelligence;Drazen Subacic;1933;1964;1999;SC;Technical Specialist;Medium;M546028;X
570029;Head of Military Intelligence;Emin Hodzic;1933;1964;1999;LWR;Dismal Enigma;Medium;M546029;X
570030;Chief of Staff;Mihovil Vujicic;1933;1964;1999;SC;School of Defence;Medium;M546030;X
570031;Chief of Staff;Mihailo Lukic;1933;1964;1999;LWR;School of Mass Combat;Medium;L46020;X
570032;Chief of Army;Esat Pasha Toptani;1933;1964;1999;SC;Static Defence Doctrine;Medium;M546011;X
570033;Chief of Army;Draza Mihailovic;1933;1964;1999;LWR;Elastic Defence Doctrine;Medium;M20012;X
570034;Chief of Navy;Duro Jakcin;1933;1964;1999;SC;Indirect Approach Doctrine;High;L46044;X
570035;Chief of Navy;Josip Broz;1933;1964;1999;LWR;Base Control Doctrine;High;M20029;X
570036;Chief of Air Force;Branko Naumovic;1933;1964;1999;SC;Air Superiority Doctrine;Medium;L46056;X
570037;Chief of Air Force;Josip Broz;1933;1964;1999;LWR;Carpet Bombing Doctrine;Medium;M20028;X
