BRA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
160001;Head of State;Getulio Vargas;1933;1964;1999;PA;Autocratic Charmer;High;M34001;X
160002;Head of Government;Getulio Vargas;1933;1964;1999;PA;Naive Optimist;High;M34001;X
160003;Foreign Minister;José de Macedo Soares;1933;1964;1999;PA;Iron Fisted Brute;Medium;M34003;X
160004;Minister of Armament;Joao Café Filho;1933;1964;1999;SD;Military Entrepreneur;Low;M34004;X
160005;Minister of Security;Marcondes Filho;1933;1964;1999;SD;Crime Fighter;High;M34005;X
160006;Head of Military Intelligence;Filinto Muller;1933;1964;1999;SD;Political Specialist;Very High;M34006;X
160007;Chief of Staff;Eurico Gaspar Dutra;1933;1964;1999;PA;School of Defence;Medium;M34007;X
160008;Chief of Army;Joao Neves da Fontoura;1933;1964;1999;PA;Static Defence Doctrine;Medium;M34008;X
160009;Chief of Navy;Aristides Guilhem;1933;1964;1999;SD;Open Seas Doctrine;Medium;M34009;X
160010;Chief of Air Force;Salgado Filho;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M34010;X
160011;Head of State;Luis Carlos Prestes;1933;1964;1999;ST;Die-hard Reformer;High;M34051;X
160012;Head of State;Nero Fiuza de Castro;1945;1964;1999;SD;Benevolent Gentleman;High;M34031;X
160013;Head of State;Eduardo Gomes;1937;1964;1999;ML;Stern Imperialist;High;M34021;X
160014;Head of State;Washington Luis Pereira;1943;1964;1999;SC;Insignificant Layman;High;M34066;X
160015;Head of State;Eurico Gaspar Dutra;1945;1964;1999;SC;Weary Stiffneck;High;M34011;X
160016;Head of State;Plinio Salgado;1933;1964;1999;FA;Powerhungry Demagogue;High;M34041;X
160017;Head of Government;Luis Carlos Prestes;1933;1964;1999;ST;Smiling Oilman;High;M34051;X
160018;Head of Government;Nero Fiuza de Castro;1945;1964;1999;SD;Naive Optimist;High;M34031;X
160019;Head of Government;Eduardo Gomes;1937;1964;1999;ML;Flamboyant Tough Guy;High;M34021;X
160020;Head of Government;Washington Luis Pereira;1943;1964;1999;SC;Naive Optimist;High;M34066;X
160021;Head of Government;Eurico Gaspar Dutra;1945;1964;1999;PA;Old General;High;M34011;X
160022;Head of Government;Plinio Salgado;1933;1964;1999;FA;Backroom Backstabber;High;M34041;X
160023;Foreign Minister;Oswaldo Aranha;1938;1964;1999;LWR;Biased Intellectual;Medium;M34076;X
160024;Foreign Minister;Pedro Leão Veloso;1944;1964;1999;LWR;Great Compromiser;Medium;M34077;X
160025;Foreign Minister;Henry Berger;1939;1964;1999;ST;Ideological Crusader;Very Low;M34053;X
160026;Foreign Minister;Oscar Weinschenck;1942;1964;1999;LE;The Cloak N Dagger Schemer;High;M34079;X
160027;Foreign Minister;Mario Pimentel Brandão;1937;1964;1999;SD;The Cloak N Dagger Schemer;High;M34080;X
160028;Foreign Minister;Otavio Mangabeira;1945;1964;1999;SD;Great Compromiser;High;M34033;X
