COL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
175001;Head of State;Alfonso López Pumarejo;1933;1964;1999;SD;Weary Stiffneck;High;M37001;X
175002;Head of Government;Alfonso López Pumarejo;1933;1964;1999;SD;Silent Workhorse;High;M37001;X
175003;Foreign Minister;Ernesto Gonzalez Piedrahita;1933;1964;1999;SD;Ideological Crusader;Medium;M37003;X
175004;Minister of Armament;Benito Hernandez;1933;1964;1999;SD;Corrupt Kleptocrat;Medium;M37004;X
175005;Minister of Security;Jorge Roa Martinez;1933;1964;1999;SD;Compassionate Gentleman;Medium;M37005;X
175006;Head of Military Intelligence;Fernando Londono y Londono;1933;1964;1999;SD;Industrial Specialist;Medium;M37006;X
175007;Chief of Staff;Jorge Mercado Sanchez;1933;1964;1999;SD;School of Defence;Medium;M37007;X
175008;Chief of Army;Eduardo Poirier Escobar;1933;1964;1999;SD;Elastic Defence Doctrine;Medium;M37008;X
175009;Chief of Navy;Luis Acevedo;1933;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M37009;X
175010;Chief of Air Force;German Olano;1933;1964;1999;SD;Air Superiority Doctrine;Medium;M37010;X
175011;Head of State;Eduardo Santos Montejo;1938;1964;1999;SL;Autocratic Charmer;High;M37032;X
175012;Head of State;Alberto Lleras Camargo;1942;1964;1999;SL;Insignificant Layman;High;M37033;X
175013;Head of State;Gabriel Turbay Ayala;1946;1964;1999;SL;Benevolent Gentleman;High;M37034;X
175014;Head of State;Joaquin Fernandez;1938;1964;1999;SC;Popular Figurehead;High;M37035;X
175015;Head of State;Carlos Arango Vélez;1942;1964;1999;SC;Stern Imperialist;High;M37036;X
175016;Head of State;Jorge Eliecer Gaitan;1945;1964;1999;SC;Popular Figurehead;High;M37037;X
175017;Head of State;Mariano Ospina Pérez;1946;1964;1999;ML;Barking Buffoon;High;M37038;X
175018;Head of State;Julio Valdez;1938;1964;1999;FA;Resigned Generalissimo;High;M37011;X
175019;Head of State;Gustavo Rojas Pinilla;1945;1964;1999;PA;Resigned Generalissimo;High;M37040;X
175020;Head of State;Querista Sellor;1938;1964;1999;LE;Pig-headed Isolationist;High;M37021;X
175021;Head of State;Jorge Eliecer Gaitan;1946;1964;1999;LWR;Popular Figurehead;High;M37037;X
175022;Head of Government;Carlos Lozano y Lozano;1938;1964;1999;SD;Smiling Oilman;High;M37044;X
175023;Head of Government;Darío Echandía;1943;1964;1999;SD;Happy Amateur;High;M37045;X
175024;Head of Government;Eduardo Santos Montejo;1938;1964;1999;SL;Flamboyant Tough Guy;High;M37032;X
175025;Head of Government;Alberto Lleras Camargo;1942;1964;1999;SL;Political Protege;High;M37033;X
