CUB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
85001;Head of State;José Barnet y Vinageras;1933;1964;1999;ML;Insignificant Layman;High;M33001;X
85002;Head of Government;Miguel Gómez y Arias;1933;1964;1999;ML;Naive Optimist;High;M33002;X
85003;Foreign Minister;José Barnet y Vinageras;1933;1964;1999;ML;Iron Fisted Brute;Medium;M33001;X
85004;Minister of Armament;Carlos Prio;1933;1964;1999;ML;Administrative Genius;Low;M33004;X
85005;Minister of Security;Sergio Carbo;1933;1964;1999;ML;Compassionate Gentleman;Medium;M33005;X
85006;Head of Military Intelligence;Manuel Ferrara;1933;1964;1999;ML;Dismal Enigma;Medium;M33006;X
85007;Chief of Staff;Julio Sanguily;1933;1964;1999;ML;School of Defence;Medium;M33007;X
85008;Chief of Army;Salvador Castaneda Castro;1933;1964;1999;ML;Elastic Defence Doctrine;Medium;M33008;X
85009;Chief of Navy;Rodrigo A. Fuentes;1933;1964;1999;ML;Open Seas Doctrine;Medium;M33009;X
85010;Chief of Air Force;Domingo R. del Toro;1933;1964;1999;ML;Army Aviation Doctrine;High;M33010;X
85011;Head of State;Miguel Gómez y Arias;1933;1964;1999;ML;Benevolent Gentleman;High;M33002;X
85012;Head of State;Gerardo Machado;1925;1939;1999;ML;Die-hard Reformer;High;M33032;X
85013;Head of State;Federico Laredo Brú;1933;1964;1999;SD;Insignificant Layman;High;M33014;X
85014;Head of State;Fulgencio Batista;1940;1964;1999;SC;Resigned Generalissimo;High;M33034;X
85015;Head of State;Ramón Grau San Martín;1944;1964;1999;PA;Popular Figurehead;High;M33011;X
85016;Head of State;Juan Martines-Villera;1933;1964;1999;LWR;Powerhungry Demagogue;High;M33021;X
85017;Head of State;Carlos Prio;1944;1964;1999;LWR;Popular Figurehead;High;M33004;X
85018;Head of Government;Gerardo Machado;1925;1939;1999;ML;Silent Workhorse;High;M33032;X
85019;Head of Government;Eduardo Chibas;1940;1964;1999;ML;Political Protege;High;M33013;X
85020;Head of Government;Eugenio Molinet Castro;1944;1964;1999;ML;Corporate Suit;High;M33040;X
85021;Head of Government;Fulgencio Batista;1933;1964;1999;SD;Old General;High;M33034;X
85022;Head of Government;Carlos Mendieta;1933;1960;1999;SC;Flamboyant Tough Guy;High;M33042;X
85023;Head of Government;Fulgencio Batista;1944;1964;1999;PA;Old General;High;M33034;X
85024;Head of Government;Antonio G. Holmes;1933;1964;1999;LWR;Naive Optimist;High;M33022;X
85025;Head of Government;José Irrisari;1941;1964;1999;LWR;Political Protege;High;M33023;X
85026;Foreign Minister;Jorge Luis Echarte;1933;1964;1999;ML;The Cloak N Dagger Schemer;High;M33046;X
85027;Foreign Minister;Eduardo Chibas;1940;1964;1999;ML;Biased Intellectual;High;M33013;X
85028;Foreign Minister;Carlos Mendieta;1944;1964;1999;ML;Iron Fisted Brute;Medium;M33042;X
85029;Foreign Minister;José Manuel Cortina;1933;1964;1999;SD;The Cloak N Dagger Schemer;Medium;M33049;X
85030;Foreign Minister;Juan Remos y Rubio;1937;1964;1999;SD;General Staffer;Medium;M33050;X
85031;Foreign Minister;Miguel Campa y Caraveda;1939;1964;1999;SD;Ideological Crusader;Medium;M33051;X
85032;Foreign Minister;José Manuel Cortina;1940;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M33049;X
85033;Foreign Minister;José Agustín Martínez;1942;1964;1999;SC;Biased Intellectual;Medium;M33053;X
85034;Foreign Minister;E. Santiago Santovenio;1943;1964;1999;SC;Iron Fisted Brute;Medium;M33054;X
85035;Foreign Minister;Jorge Mañach;1944;1964;1999;SC;Apologetic Clerk;Medium;M33055;X
85036;Foreign Minister;Gustavo Cuervo Rubio;1945;1964;1999;PA;Iron Fisted Brute;Medium;M33057;X
85037;Foreign Minister;Alberto Inocente Álvarez;1946;1964;1999;PA;Great Compromiser;Medium;M33058;X
85038;Foreign Minister;José Irrisari;1933;1964;1999;LWR;Biased Intellectual;Very Low;M33023;X
85039;Foreign Minister;Carlos Prio;1944;1964;1999;LWR;Great Compromiser;Medium;M33004;X
85040;Minister of Armament;Ezequiel Garcia Ensenat;1933;1964;1999;ML;Administrative Genius;Medium;M33061;X
85041;Minister of Armament;Miguel Gómez y Arias;1940;1964;1999;ML;laissez-faire capitalist;Medium;M33002;X
85042;Minister of Armament;Eduardo Chibas;1944;1964;1999;ML;Theoretical Scientist;Low;M33013;X
85043;Minister of Armament;Fulgencio Batista;1933;1964;1999;SD;Corrupt Kleptocrat;Medium;M33034;X
85044;Minister of Armament;José Orlando Ferrer;1937;1964;1999;SD;Battle Fleet Proponent;Medium;M33065;X
85045;Minister of Armament;Porfirio Franca;1940;1964;1999;SC;Corrupt Kleptocrat;Medium;M33066;X
85046;Minister of Armament;Federico L. Bru;1941;1964;1999;SC;Infantry Proponent;Low;M33014;X
85047;Minister of Armament;A. de Aguero y Bethancourt;1943;1964;1999;SC;Air to Ground Proponent;Medium;M33068;X
85048;Minister of Armament;Manuel Ferrara;1944;1964;1999;PA;Corrupt Kleptocrat;Medium;M33006;X
85049;Minister of Armament;Alberto O'Farrill;1946;1964;1999;PA;Administrative Genius;Medium;M33070;X
85050;Minister of Armament;Carlos Prio;1933;1964;1999;LWR;Administrative Genius;High;M33004;X
85051;Minister of Armament;Juan Martines Villera;1940;1964;1999;LWR;Submarine Proponent;Medium;M33021;X
85052;Minister of Armament;Miguel Campa y Caraveda;1944;1964;1999;LWR;Air to Ground Proponent;Medium;M33051;X
85053;Minister of Security;Eugenio Molinet Castro;1933;1964;1999;ML;Crooked Kleptocrat;Medium;M33040;X
85054;Minister of Security;Gerardo Machado;1933;1939;1999;ML;Efficient Sociopath;Medium;M33032;X
85055;Minister of Security;Carlos Hevia;1944;1964;1999;ML;Crime Fighter;High;M33015;X
85056;Minister of Security;P. de Jesús Candelier;1933;1964;1999;SD;Back Stabber;Medium;M33077;X
85057;Minister of Security;A. Odero y Garcia;1939;1964;1999;SD;Compassionate Gentleman;Medium;M33078;X
85058;Minister of Security;Porfirio Franca;1940;1964;1999;SC;Crooked Kleptocrat;Medium;M33066;X
85059;Minister of Security;C. de la Torriente y Peraza;1942;1964;1999;SC;Man of the People;Medium;M33080;X
85060;Minister of Security;Guillermo Portela;1943;1964;1999;SC;Back Stabber;Medium;M33081;X
85061;Minister of Security;Fulgencio Batista;1944;1964;1999;PA;Crooked Kleptocrat;High;M33034;X
85062;Minister of Security;Antonio S. de Bustamente;1946;1964;1999;PA;Crime Fighter;Medium;M33083;X
85063;Minister of Security;Sandalio Junco;1933;1964;1999;LWR;Prince of Terror;Very Low;M33025;X
85064;Minister of Security;Gabriel de la Campa y Cuffi;1944;1964;1999;LWR;Man of the People;Low;M33085;X
85065;Head of Military Intelligence;José Barnet y Vinageras;1933;1964;1999;ML;Political Specialist;Medium;M33001;X
85066;Head of Military Intelligence;Juan Valdéz Hilario;1940;1964;1999;ML;Logistics Specialist;Medium;M33016;X
85067;Head of Military Intelligence;Rafael Martinez Ortiz;1944;1964;1999;ML;Dismal Enigma;Medium;M33088;X
85068;Head of Military Intelligence;Ramon Grau San Martín;1933;1964;1999;SD;Political Specialist;Low;M33011;X
85069;Head of Military Intelligence;Carlos Hevia;1938;1964;1999;SD;Industrial Specialist;Low;M33015;X
85070;Head of Military Intelligence;Porfirio Franca;1940;1964;1999;SC;Dismal Enigma;Medium;M33066;X
85071;Head of Military Intelligence;Federico Laredo Brú;1944;1964;1999;PA;Technical Specialist;Medium;M33014;X
85072;Head of Military Intelligence;Juan Valdéz Hilario;1946;1964;1999;PA;Logistics Specialist;Medium;M33016;X
85073;Head of Military Intelligence;Antonio G. Holmes;1933;1964;1999;LWR;Dismal Enigma;Very Low;M33022;X
85074;Head of Military Intelligence;Fidél Castro;1944;1964;1999;LWR;Political Specialist;Very Low;M33095;X
85075;Chief of Staff;Fulgencio Batista;1933;1964;1999;SC;School of Mass Combat;Undying;M33097;X
85076;Chief of Staff;Juan Blas Hernandez;1933;1964;1999;LWR;School of Manoeuvre;Medium;M33027;X
85077;Chief of Staff;Fidél Castro;1944;1964;1999;LWR;School of Mass Combat;Very Low;M33095;X
85078;Chief of Army;Fulgencio Batista;1933;1964;1999;SC;Decisive Battle Doctrine;Undying;M33097;X
85079;Chief of Army;Juan Blas Hernandez;1933;1964;1999;LWR;Elastic Defence Doctrine;Medium;M33027;X
85080;Chief of Army;Raúl Castro;1944;1964;1999;LWR;Static Defence Doctrine;Medium;M33107;X
85081;Chief of Navy;Angel Gonzalez;1933;1964;1999;SC;Open Seas Doctrine;Medium;M33109;X
85082;Chief of Navy;Sandalio Junco;1933;1964;1999;LWR;Open Seas Doctrine;Medium;M33025;X
85083;Chief of Air Force;Enrique C. Rolas;1933;1964;1999;ML;Naval Aviation Doctrine;Medium;M33020;X
85084;Chief of Air Force;Sergio Carbo;1944;1964;1999;ML;Vertical Envelopment Doctrine;Medium;M33005;X
85085;Chief of Air Force;Palaez Menendez;1944;1964;1999;PA;Air Superiority Doctrine;High;M33118;X
85086;Chief of Air Force;Alvaro P. Quintana;1933;1964;1999;LWR;Air Superiority Doctrine;High;M33030;X
85087;Head of Military Intelligence;Gabriel de la Campa y Cuffi;1941;1964;1999;LWR;Technical Specialist;Low;M33085;X
85088;Head of Government;Raul Lopez y Castillo;1947;1964;1999;SC;Happy Amateur;High;M33121;X
85089;Head of Government;Manuel de Varona Loredo;1948;1964;1999;SC;Flamboyant Tough Guy;High;M33122;X
85090;Head of Government;Felix Lanchis Sanchez;1950;1964;1999;SC;Political Protege;High;M33123;X
85091;Head of Government;Oscar y Lopez-Martinez;1951;1964;1999;SC;Naive Optimist;High;M33124;X
85092;Foreign Minister;Carlos Prio Soccares;1947;1964;1999;SC;Ideological Crusader;Medium;M33125;X
85093;Minister of Security;Andres Perez Chaumont;1951;1964;1999;SC;Prince of Terror;Medium;M33126;X
85094;Foreign Minister;Pablo Desvernine;1914;1933;1999;ML;Ideological Crusader;High;unknownminister;X
85095;Foreign Minister;Rafael Montero;1921;1933;1999;SL;Great Compromiser;High;unknownminister;X
85096;Foreign Minister;Carlos Manuel de Céspedeso;1921;1933;1999;SL;Biased Intellectual;High;unknownminister;X
85097;Head of Government;Alfredo Zayas y Alfonso;1914;1933;1999;ML;Backroom Backstabber;Very High;2372;X
85098;Head of Government;Mario G. Menocal;1913;1933;1999;ML;Backroom Backstabber;Very High;2373;X
85099;Head of Government;José Miguel Gómez;1914;1933;1999;ML;Flamboyant Tough Guy;Very High;unknownminister;X
85100;Head of Military Intelligence;José Llanusa Ramón;1914;1933;1999;ML;political specialist;Very High;unknownminister;X
85101;Head of Military Intelligence;Mario Martínez Lufriú;1921;1933;1999;SL;Technical Specialist;Very High;unknownminister;X
85102;Head of Military Intelligence;Luis Menéndez Padrón;1921;1933;1999;SL;Dismal Enigma;Very High;unknownminister;X
85103;Head of State;Alfredo Zayas y Alfonso;1914;1933;1999;ML;Stern Imperialist;Very High;2372;X
85104;Head of State;Mario G. Menocal;1913;1933;1999;ML;Autocratic Charmer;Very High;2373;X
85105;Head of State;José Miguel Gómez;1914;1933;1999;ML;Resigned Generalissimo;Very High;unknownminister;X
85106;Minister of Security;Aurelio Hevia;1914;1933;1999;ML;Crime Fighter;High;unknownminister;X
85107;Minister of Security;Ricardo Lancís;1921;1933;1999;SL;Prince of Terror;High;unknownminister;X
85108;Minister of Security;Fidél Castro;1958;1964;1999;LWR;Back Stabber;low;6075;x
85109;Head of Government;Fidél Castro;1959;1964;1999;LWR;Flamboyant Tough Guy;low;6075;x
85110;Chief of Staff;Che Ernesto Guevara;1956;1964;1999;LE;school of psychology;medium;6076;x
85111;Foreign Minister;Che Ernesto Guevara;1959;1964;1999;LE;Biased Intellectual;medium;6076;x
85112;Head of Military Intelligence;Che Ernesto Guevara;1960;1964;1999;LE;Political Specialist;medium;6076;x
85113;Head of State;Ramón Grau San Martín;1933;1935;1999;SC;Popular Figurehead;High;M33011;X
85114;Head of Government;Ramón Grau San Martín;1933;1935;1999;SC;Happy Amateur;High;M33011;X
85115;Head of State;Carlos Mendieta;1933;1960;1999;SC;Insignificant Layman;High;M33042;X
