CYP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
620001;Head of State;Sir William D. Battershill;1933;1964;1999;ML;Die-hard Reformer;High;M560001;X
620002;Head of Government;Sir Reginald Lord Winster;1933;1964;1999;ML;Naive Optimist;High;M560002;X
620003;Foreign Minister;Sir Herbert Palmer;1933;1964;1999;ML;General Staffer;High;M560003;X
620004;Minister of Armament;Roderick McTarr;1933;1964;1999;ML;Military Entrepreneur;Medium;M560004;X
620005;Minister of Security;Sir Hugh Mackintosh Foot;1933;1964;1999;ML;Silent Lawyer;Medium;M560005;X
620006;Head of Military Intelligence;Roderick Fenwick-Palmer;1933;1964;1999;ML;Industrial Specialist;Medium;M560006;X
620007;Chief of Staff;Andrew Barkworth Wright;1933;1964;1999;ML;School of Mass Combat;Medium;M560007;X
620008;Chief of Army;John Harding;1933;1964;1999;ML;Decisive Battle Doctrine;Medium;M560008;X
620009;Chief of Navy;Ormond Norville;1933;1964;1999;ML;Decisive Naval Battle Doctrine;Medium;M560009;X
620010;Chief of Air Force;Sir William D. Battershill;1933;1964;1999;ML;Vertical Envelopment Doctrine;Medium;M560001;X
620011;Head of State;H.H. Makarios III.;1933;1964;1999;LWR;Autocratic Charmer;High;M560011;X
620012;Head of State;Dr. Fazil Küzuk;1933;1964;1999;PA;Insignificant Layman;High;M560012;X
620013;Head of Government;Eleutherios Kosmatopoulos;1933;1964;1999;LWR;Corporate Suit;High;M560013;X
620014;Head of Government;Aytak Batür;1933;1964;1999;PA;Backroom Backstabber;High;M560014;X
620015;Foreign Minister;Harilaos Agapias;1933;1964;1999;LWR;Ideological Crusader;High;M560015;X
620016;Foreign Minister;Hayri Inalcik;1933;1964;1999;PA;Biased Intellectual;High;M560016;X
620017;Minister of Armament;Traianos Basiliakos;1933;1964;1999;LWR;Battle Fleet Proponent;Medium;M560017;X
620018;Minister of Armament;Soames Trevor-Ropkins;1933;1964;1999;PA;Theoretical Scientist;Medium;M560018;X
620019;Minister of Security;Dighenis Grivas;1933;1964;1999;LWR;Prince of Terror;Medium;M560019;X
620020;Minister of Security;Palmer McKinolty;1933;1964;1999;PA;Compassionate Gentleman;Medium;M560020;X
620021;Head of Military Intelligence;Eleferides Clerides;1933;1964;1999;LWR;Dismal Enigma;Medium;M560021;X
620022;Head of Military Intelligence;Richard Pethwick;1933;1964;1999;PA;Political Specialist;Medium;M560022;X
620023;Chief of Staff;Giorgios Siradikis;1933;1964;1999;LWR;School of Fire Support;Medium;M560023;X
620024;Chief of Staff;Mehmet Halam Pasha;1933;1964;1999;PA;School of Manoeuvre;Medium;L549028;X
620025;Chief of Army;Dighenis Grivas;1933;1964;1999;LWR;Guns and Butter Doctrine;Medium;M560025;X
620026;Chief of Army;Kadir Moncef Bey;1933;1964;1999;PA;Elastic Defence Doctrine;Medium;M549006;X
620027;Chief of Navy;Polo Miltoniades;1933;1964;1999;LWR;Base Control Doctrine;Medium;M560027;X
620028;Chief of Navy;Osman Sorokocoglu;1933;1964;1999;PA;Indirect Approach Doctrine;Medium;M560028;X
620029;Chief of Air Force;Georgios Vayenas;1933;1964;1999;LWR;Naval Aviation Doctrine;Medium;M560029;X
620030;Chief of Air Force;Taff Quelch;1933;1964;1999;PA;Air Superiority Doctrine;Medium;M560030;X
