DDR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
625001;Head of State;Johannes Dieckmann;1936;1964;1999;ST;Pig-headed Isolationist;High;M507001;X
625002;Head of Government;Walter Ulbricht;1936;1964;1999;ST;Ambitious Union Boss;High;M53;X
625003;Foreign Minister;Georg Derlinger;1936;1964;1999;ST;Ideological Crusader;High;M507003;X
625004;Minister of Armament;Willi Stoph;1932;1964;1999;ST;laissez-faire capitalist;High;M507004;X
625005;Minister of Security;Karl Steinhoff;1932;1964;1999;ST;Crooked Kleptocrat;Low;M507005;X
625006;Head of Military Intelligence;Wilhelm Zaisser;1932;1964;1999;ST;Political Specialist;Very High;M507006;X
625007;Chief of Staff;Ernst Wollweber;1932;1964;1999;ST;School of Mass Combat;Very High;M27;X
625008;Chief of Army;Hans Kahle;1932;1964;1999;ST;Decisive Battle Doctrine;Very High;3579;X
625009;Chief of Navy;Fritz Scheelen;1932;1964;1999;ST;Base Control Doctrine;Very High;M29;X
625010;Chief of Air Force;Willi Bredel;1932;1964;1999;ST;Carpet Bombing Doctrine;Very High;M30;X
625011;Foreign Minister;Walter Ulbricht;1932;1964;1999;ST;The Cloak N Dagger Schemer;High;M53;X
625012;Foreign Minister;Anton Ackermann;1936;1964;1999;LE;Great Compromiser;High;M507012;X
625013;Minister of Armament;Albert Kuntz;1932;1964;1999;ST;Resource Industrialist;High;M105;X
625014;Minister of Armament;Jakob Kaiser;1932;1964;1999;LE;Military Entrepreneur;High;M507014;X
625015;Minister of Armament;Andres Hermes;1932;1964;1999;LE;Administrative Genius;High;M507015;X
625016;Minister of Armament;Wilhelm Pieck;1932;1964;1999;ST;Theoretical Scientist;High;M507016;X
625017;Minister of Security;Julius Leber;1932;1964;1999;ST;Compassionate Gentleman;High;M133;X
625018;Minister of Security;Walter Ulbricht;1932;1964;1999;ST;Prince of Terror;High;M53;X
625019;Minister of Security;Wilhelm Külz;1932;1964;1999;LE;Crime Fighter;High;M507019;X
625020;Minister of Security;Otto Nuschke;1932;1964;1999;LE;Silent Lawyer;High;M507020;X
625021;Minister of Security;Otto Grotewohl;1932;1964;1999;ST;Efficient Sociopath;High;M507021;X
625022;Head of Military Intelligence;Heinrich Müller;1932;1964;1999;ST;Dismal Enigma;Very High;M26;X
625023;Head of Military Intelligence;Ernst Wollweber;1932;1964;1999;ST;Industrial Specialist;Very High;M27;X
625024;Head of Military Intelligence;Erich Mielke;1932;1964;1999;ST;Logistics Specialist;Very High;M507024;X
625025;Head of Military Intelligence;Fritz Scheelen;1932;1964;1999;ST;Naval Intelligence Specialist;Very High;M29;X
625026;Chief of Staff;Erich Weinert;1932;1964;1999;ST;School of Psychology;High;M152;X
625027;Chief of Staff;Erwin Jollasse;1932;1964;1999;ST;School of Manoeuvre;High;L507120;X
625028;Chief of Staff;Xaver Sattler;1932;1964;1999;ST;School of Fire Support;High;L507227;X
625029;Chief of Army;Otto Korfes;1932;1964;1999;LE;Elastic Defence Doctrine;Very High;L169;X
625030;Chief of Army;Walter Freytag;1932;1964;1999;LE;Armoured Spearhead Doctrine;Very High;L77;X
625031;Chief of Navy;Otto Groos;1932;1964;1999;ST;Open Seas Doctrine;Very High;L507158;X
625032;Chief of Air Force;Franz Nowak;1932;1964;1999;LE;Air Superiority Doctrine;Very High;L507220;X
625033;Chief of Air Force;Wilhelm Speidel;1932;1964;1999;ST;Vertical Envelopment Doctrine;Very High;L507237;X
625034;Head of State;Wilhelm Pieck;1949;1964;1999;ST;Insignificant Layman;High;M507016;X
625035;Head of State;Ludwig Renn;1932;1964;1999;ST;Insignificant Layman;High;3577;X
625036;Head of Government;Ernst Thälmann;1932;1964;1999;ST;Backroom Backstabber;High;3578;X
625037;Head of Government;Ernst Toller;1939;1964;1999;ST;Ambitious Union Boss;High;M25;X
625038;Foreign Minister;Helmut Herzfelde;1940;1964;1999;ST;Ideological Crusader;High;M23;X
625039;Minister of Armament;Willie Munzenberg;1942;1964;1999;ST;Administrative Genius;High;M24;X
625040;Head of Military Intelligence;Erich Weinert;1938;1964;1999;ST;Logistics Specialist;High;M152;X
625041;Head of State;Ernst Toller;1933;1964;1999;LE;Popular Figurehead;High;M25;X
625042;Head of Government;Erich Mühsam;1933;1964;1999;LE;Political Protege;High;9210;X
625043;Foreign Minister;Kurt Landau;1933;1964;1999;LE;Ideological Crusader;High;9211;X
625044;Minister of Armament;Willi Münzenberg;1933;1964;1999;LE;Administrative Genius;High;9212;X
625045;Minister of Security;Arkadi Maslow;1933;1964;1999;LE;Crime Fighter;High;9213;X
625046;Head of Military Intelligence;Ruth Fischer;1933;1964;1999;LE;Political Specialist;Low;9214;X
625056;Head of Government;Timofei Sapronov;1964;1964;1999;LWR;Silent Workhorse;High;9215;X
625057;Minister of Security;Timofei Sapronov;1964;1964;1999;LWR;Crime Fighter;High;9215;X
625058;Foreign Minister;Richard Müller;1933;1964;1999;LWR;Ideological Crusader;High;9216;X
625059;Head of Government;Richard Müller;1933;1964;1999;LWR;corporate suit;High;9216;X
625060;Minister of Security;Richard Müller;1933;1964;1999;LWR;Man of the People;High;9216;X
625061;Head of Military Intelligence;Emil Barth;1933;1964;1999;LWR;Industrial Specialist;Very High;9217;X
625062;Head of State;Emil Barth;1933;1964;1999;LWR;die-hard reformer;Very High;9217;X
625063;Chief of Staff;Emil Barth;1933;1964;1999;LWR;School of Mass Combat;Very High;9217;X
625064;Minister of Armament;Emil Barth;1933;1964;1999;LWR;resource industrialist;High;9217;X
625065;Head of Military Intelligence;Karl Artelt;1933;1964;1999;LWR;Naval Intelligence Specialist;Very High;9218;X
625066;Minister of Security;Karl Artelt;1933;1964;1999;LWR;Compassionate Gentleman;High;9218;X
625067;Minister of Armament;Karl Artelt;1933;1964;1999;LWR;submarine proponent;High;9218;X
625068;Chief of Navy;Karl Artelt;1933;1964;1999;LWR;indirect approach doctrine;High;9218;X
