ENG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
10001;Head of State;George V;1933;1964;1999;ML;Stern Imperialist;High;3748;X
10002;Head of Government;Stanley Baldwin;1933;1964;1999;SC;Guilty Man;High;3751;X
10003;Foreign Minister;Anthony Eden;1933;1964;1999;SC;Ideological Crusader;Medium;3807;X
10004;Minister of Armament;Neville Chamberlain;1933;1941;1999;SC;laissez-faire capitalist;High;3808;X
10005;Minister of Security;John Simon;1933;1964;1999;SC;Crime Fighter;High;9376;X
10006;Head of Military Intelligence;Hugh Sinclair;1933;1964;1999;SC;Quex;Very High;3810;X
10007;Chief of Staff;A. Montgomery-Massingberd;1933;1964;1999;ML;School of Fire Support;Very High;3811;X
10008;Chief of Army;A. Montgomery-Massingberd;1933;1964;1999;ML;Static Defence Doctrine;Very High;3811;X
10009;Chief of Navy;Ernle Chatfield;1933;1964;1999;ML;Decisive Naval Battle Doctrine;High;3812;X
10010;Chief of Air Force;Owen Boyd;1933;1964;1999;ML;Air Superiority Doctrine;High;3813;X
10011;Head of State;Edward VIII;1933;1964;1999;SC;Autocratic Charmer;High;M1011;X
10012;Head of State;Edward VIII;1933;1964;1999;SD;Autocratic Charmer;High;M1011;X
10013;Head of State;Edward VIII;1933;1964;1999;FA;Autocratic Charmer;High;M1011;X
10014;Head of State;George VI;1933;1964;1999;SC;Benevolent Gentleman;High;M1033;X
10015;Head of State;George VI;1933;1964;1999;SD;Benevolent Gentleman;High;M1033;X
10016;Head of State;Aneurin Bevan;1933;1964;1999;LWR;Pig-headed Isolationist;High;M1021;X
10017;Head of Government;Neville Chamberlain;1933;1941;1999;SC;The Pacifier;High;3808;X
10018;Head of Government;Winston Churchill;1933;1964;1999;SC;Bulldog;High;2430;X
10019;Head of Government;Clement Attlee;1935;1964;1999;SD;Silent Workhorse;High;3818;X
10020;Head of Government;Oswald Mosley;1931;1964;1999;FA;Flamboyant Tough Guy;High;M1012;X
10021;Head of Government;Harry Pollitt;1933;1964;1999;LWR;Ambitious Union Boss;High;M1022;X
10022;Foreign Minister;Lord Halifax;1938;1964;1999;SC;The Appeaser;Very High;3819;X
10023;Foreign Minister;John Selwyn Lloyd;1944;1964;1999;SC;Biased Intellectual;High;M1046;X
10024;Foreign Minister;Ernest Bevin;1935;1964;1999;SD;The Cloak N Dagger Schemer;High;3820;X
10025;Foreign Minister;Herbert Morrison;1940;1964;1999;SD;Biased Intellectual;High;3821;X
10026;Foreign Minister;William Joyce;1933;1964;1999;FA;General Staffer;Low;M1013;X
10027;Foreign Minister;Lord Arthur Wellesley;1939;1964;1999;FA;Great Compromiser;Low;3822;X
10028;Foreign Minister;Lord Josslyn Erroll;1940;1964;1999;FA;The Cloak N Dagger Schemer;Medium;M1051;X
