EQA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
640001;Head of State;Richard Brunot;1933;1964;1999;SL;Benevolent Gentleman;High;M534003;X
640002;Head of Government;Barthelémy Boganda;1933;1964;1999;SL;Naive Optimist;High;M535002;X
640003;Foreign Minister;Max de Masson de Saint-Felix;1933;1964;1999;SL;Apologetic Clerk;High;M535003;X
640004;Minister of Armament;Andre Latrille;1933;1964;1999;SL;Theoretical Scientist;Medium;M533024;X
640005;Minister of Security;Emile Possoz;1933;1964;1999;SL;Efficient Sociopath;Medium;M535005;X
640006;Head of Military Intelligence;Jean V.L.J. Chalvet;1933;1964;1999;SL;Industrial Specialist;Medium;M535006;X
640007;Chief of Staff;Pierre de Saint-Mart;1933;1964;1999;SL;School of Fire Support;Medium;M535007;X
640008;Chief of Army;Pierre de Saint-Mart;1933;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M535007;X
640009;Chief of Navy;Henri Sautot;1933;1964;1999;SL;Open Seas Doctrine;Medium;M535009;X
640010;Chief of Air Force;James Denis;1933;1964;1999;SL;Air Superiority Doctrine;Medium;M535010;X
640011;Head of State;Max de Masson de Saint-Felix;1933;1964;1999;SL;Powerhungry Demagogue;High;M535003;X
640012;Head of State;Pierre de Saint-Mart;1939;1964;1999;SL;Resigned Generalissimo;High;M535007;X
640013;Head of State;Andre Latrille;1942;1964;1999;SL;Stern Imperialist;High;M533024;X
640014;Head of State;Henri Sautot;1942;1964;1999;SL;Autocratic Charmer;High;M535009;X
640015;Head of State;Jean V.L.J. Chalvet;1946;1964;1999;SL;Autocratic Charmer;High;M535006;X
640016;Head of State;David Dacko;1933;1964;1999;SC;Barking Buffoon;High;M535016;X
640017;Head of Government;Jean Bédel Bokassa;1933;1964;1999;SC;Old General;High;M535017;X
640018;Foreign Minister;Paul Appert;1942;1964;1999;SL;General Staffer;High;M535018;X
640019;Foreign Minister;Marcel Vomitendé;1933;1964;1999;SC;The Cloak N Dagger Schemer;High;M535019;X
640020;Minister of Armament;Aimé Lepercq;1942;1964;1999;SL;Administrative Genius;Medium;M535020;X
640021;Minister of Armament;Marcellus Briandé;1933;1964;1999;SC;Resource Industrialist;Medium;M535021;X
640022;Minister of Security;Felix Leclerc;1941;1964;1999;SL;Silent Lawyer;Medium;M535022;X
640023;Minister of Security;Albert Idohou;1933;1964;1999;SC;Back Stabber;Medium;M535023;X
640024;Head of Military Intelligence;Edmond Magendie;1943;1964;1999;SL;Logistics Specialist;Medium;M535024;X
640025;Head of Military Intelligence;Paul Appert;1933;1964;1999;SC;Political Specialist;Medium;M535018;X
640026;Chief of Staff;Dominique Kosseyo;1933;1964;1999;SC;School of Defence;Medium;M535026;X
640027;Chief of Army;Jean Bédel Bokassa;1933;1964;1999;SC;Guns and Butter Doctrine;Medium;M535017;X
640028;Chief of Navy;Hylette Mangard;1933;1964;1999;SC;Base Control Doctrine;Medium;M535028;X
640029;Chief of Air Force;Ernest Pruvost;1942;1964;1999;SL;Army Aviation Doctrine;Medium;M535029;X
640030;Chief of Air Force;Emmanuel Bagindre;1933;1964;1999;SC;Naval Aviation Doctrine;Medium;M535030;X
