EST;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
130001;Head of State;Konstantin Päts;1921;1964;1999;PA;Barking Buffoon;High;M26001;X
130002;Head of Government;Konstantin Päts;1921;1964;1999;PA;Happy Amateur;High;M26001;X
130003;Foreign Minister;Julius Seljamaa;1933;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M26003;X
130004;Minister of Armament;Karl Selter;1933;1964;1999;PA;Administrative Genius;Medium;M26004;X
130005;Minister of Security;Kaarel Eenpalu;1933;1964;1999;PA;Crime Fighter;Medium;M26005;X
130006;Head of Military Intelligence;Kaarel Eenpalu;1933;1964;1999;PA;Technical Specialist;Medium;M26005;X
130007;Chief of Staff;Nikolai Reek;1933;1964;1999;PA;School of Defence;Medium;M26007;X
130008;Chief of Army;Johan Laidoner;1933;1964;1999;PA;Static Defence Doctrine;Medium;M26008;X
130009;Chief of Navy;Voldemar Mere;1933;1964;1999;PA;Open Seas Doctrine;Medium;M26009;X
130010;Chief of Air Force;Richard Tomberg;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M26010;X
130011;Head of State;August Rei;1933;1964;1999;ML;Popular Figurehead;High;M26031;X
130012;Head of State;Jüri Uluots;1940;1964;1999;ML;Die-hard Reformer;High;M26032;X
130013;Head of State;Hjalmar Mäe;1933;1964;1999;FA;Insignificant Layman;High;M26011;X
130014;Head of State;Karl Sigismund Litzmann;1941;1964;1999;NS;Resigned Generalissimo;High;M26035;X
130015;Head of State;Johannes Vares-Barbaruse;1933;1964;1999;ST;Powerhungry Demagogue;High;M26021;X
130016;Head of Government;Jüri Uluots;1933;1964;1999;ML;Smiling Oilman;High;M26032;X
130017;Head of Government;Otto Tief;1940;1964;1999;ML;Happy Amateur;High;M26038;X
130018;Head of Government;Kaarel Liidak;1944;1964;1999;ML;Political Protege;High;M26039;X
130019;Head of Government;Kaarel Eenpalu;1938;1964;1999;PA;Ambitious Union Boss;High;M26005;X
130020;Head of Government;Hjalmar Mäe;1933;1964;1999;NS;Flamboyant Tough Guy;High;M26011;X
130021;Head of Government;Johannes Vares-Barbaruse;1933;1964;1999;ST;Silent Workhorse;High;M26021;X
130022;Head of Government;Johannes Lauristin;1939;1964;1999;ST;Happy Amateur;High;M26044;X
130023;Head of Government;Oskar Sepre;1940;1964;1999;ST;Silent Workhorse;High;M26044;X
130024;Head of Government;Arnold Veimer;1944;1964;1999;ST;Naive Optimist;High;M26046;X
130025;Foreign Minister;August Rei;1933;1964;1999;ML;Ideological Crusader;Medium;M26031;X
