FIN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
145001;Head of State;Pehr E. Svinhufvud;1933;1964;1999;SC;Pig-headed Isolationist;High;2501;X
145002;Head of Government;Toivo M. Kivimäki;1933;1964;1999;SC;Silent Workhorse;High;2502;X
145003;Foreign Minister;Antti V. Hackzell;1933;1964;1999;SC;Biased Intellectual;Medium;2503;X
145004;Minister of Armament;Arvi A. Oksala;1933;1964;1999;SC;Resource Industrialist;Medium;2504;X
145005;Minister of Security;Yrjö W. Puhakka;1933;1964;1999;SC;Silent Lawyer;Medium;2505;X
145006;Head of Military Intelligence;Esko Riekki;1933;1964;1999;SC;Dismal Enigma;High;2506;X
145007;Chief of Staff;K. Lennart Oesch;1933;1964;1999;SC;School of Manoeuvre;High;412;X
145008;Chief of Army;Hugo V. Österman;1933;1964;1999;SC;Elastic Defence Doctrine;Medium;436;X
145009;Chief of Navy;Väinö L. R. Valve;1933;1964;1999;SC;Open Seas Doctrine;High;428;X
145010;Chief of Air Force;Jarl F. Lundqvist;1933;1964;1999;SC;Naval Aviation Doctrine;Very High;2507;X
145011;Head of State;C. Gustaf E. Mannerheim;1944;1964;1999;SC;Resigned Generalissimo;High;2508;X
145012;Head of State;Juho K. Paasikivi;1945;1964;1999;SD;Autocratic Charmer;High;2509;X
145013;Head of State;Pehr E. Svinhufvud;1933;1964;1999;ML;Pig-headed Isolationist;High;2501;X
145014;Head of State;Risto H. Ryti;1940;1964;1999;ML;Weary Stiffneck;High;2510;X
145015;Head of State;Kyösti Kallio;1937;1964;1999;SC;Stern Imperialist;High;2511;X
145016;Head of State;Risto H. Ryti;1939;1964;1999;SC;Weary Stiffneck;High;2510;X
145017;Head of State;Risto H. Ryti;1943;1964;1999;PA;Weary Stiffneck;High;2510;X
145018;Head of State;Juho K. Paasikivi;1946;1964;1999;SC;Autocratic Charmer;High;2509;X
145019;Head of State;I. Vihtori I. Kosola;1933;1964;1999;FA;Popular Figurehead;High;2512;X
145020;Head of State;Otto Ville Kuusinen;1933;1964;1999;ST;Ruthless Powermonger;High;2513;X
145021;Head of Government;Väinö Kivisalo;1933;1964;1999;SD;Naive Optimist;High;2514;X
145022;Head of Government;Urho K. Kekkonen;1943;1964;1999;ML;Backroom Backstabber;High;2515;X
145023;Head of Government;Mauno Pekkala;1945;1964;1999;SD;Political Protege;High;2516;X
145024;Head of Government;Kyösti Kallio;1933;1964;1999;ML;Corporate Suit;High;2511;X
145025;Head of Government;Aimo K. Cajander;1937;1964;1999;ML;Happy Amateur;High;2517;X
145026;Head of Government;Jarl F. Lundqvist;1943;1964;1999;ML;Smiling Oilman;High;2507;X
145027;Head of Government;Yrjö K. Leino;1946;1964;1999;ML;Naive Optimist;High;M29025;X
145028;Head of Government;Risto H. Ryti;1939;1964;1999;SC;Backroom Backstabber;High;2510;X
145029;Head of Government;Johan W. Rangell;1941;1964;1999;SC;Flamboyant Tough Guy;High;M29059;X
145030;Head of Government;Antti V. Hackzell;1944;1964;1999;SC;Silent Workhorse;High;2503;X
145031;Head of Government;Juho K. Paasikivi;1944;1964;1999;SC;Flamboyant Tough Guy;High;2509;X
145032;Head of Government;Kyösti N. Järvinen;1946;1964;1999;SC;Silent Workhorse;High;2518;X
145033;Head of Government;Edwin J. H. Linkomies;1943;1964;1999;SC;Naive Optimist;High;M29063;X
145034;Head of Government;Urho J. Castrén;1944;1964;1999;SC;Corporate Suit;High;M29064;X
145035;Head of Government;Bruno A. Salmiala;1933;1964;1999;FA;Flamboyant Tough Guy;High;M29011;X
145036;Head of Government;Otto Ville Kuusinen;1939;1964;1999;ST;Flamboyant Tough Guy;High;2513;X
145037;Foreign Minister;Anselmi Pitkäsilta;1933;1964;1999;SD;Apologetic Clerk;Medium;M29067;X
145038;Foreign Minister;Väinö A. Tanner;1939;1964;1999;SC;Ideological Crusader;Medium;2519;X
145039;Foreign Minister;Väinö Kivisalo;1943;1964;1999;SD;Iron Fisted Brute;Very High;2514;X
145040;Foreign Minister;Eino R. Holsti;1933;1964;1999;ML;Great Compromiser;Medium;M29071;X
145041;Foreign Minister;K. Väinö Voionmaa;1938;1964;1999;ML;Apologetic Clerk;Medium;M29072;X
145042;Foreign Minister;Juho E. Erkko;1938;1964;1999;ML;Biased Intellectual;Medium;M29073;X
145043;Foreign Minister;Rolf J. Witting;1940;1964;1999;SC;The Cloak N Dagger Schemer;Medium;2520;X
145044;Foreign Minister;Carl J. Enckell;1944;1964;1999;SD;Great Compromiser;Medium;2521;X
145045;Foreign Minister;Arvi A. Oksala;1933;1964;1999;SC;General Staffer;Medium;2504;X
145046;Foreign Minister;Carl Ramsay;1943;1964;1999;SC;Iron Fisted Brute;Medium;M29077;X
145047;Foreign Minister;Johan W. Rangell;1946;1964;1999;SC;Biased Intellectual;High;M29059;X
145048;Foreign Minister;Hilja E. Riipinen;1933;1964;1999;FA;Ideological Crusader;High;2522;X
145049;Foreign Minister;Otto Ville Kuusinen;1939;1964;1999;ST;Apologetic Clerk;Low;2513;X
145050;Foreign Minister;Hella M. Wuolijoki;1942;1964;1999;ST;Great Compromiser;Low;2523;X
145051;Minister of Armament;V. Viljam Sinisalo;1933;1964;1999;SD;Strategic Air Proponent;Medium;M29082;X
145052;Minister of Armament;Karl-August Fagerholm;1943;1964;1999;SD;Keynesian economy;Medium;2524;X
145053;Minister of Armament;Mauno Pekkala;1944;1964;1999;SD;Theoretical Scientist;Medium;2516;X
145054;Minister of Armament;Otto Toivonen;1946;1964;1999;SD;Military Entrepreneur;Medium;M29085;X
145055;Minister of Armament;Juho Niukkanen;1933;1964;1999;ML;Administrative Genius;Medium;2525;X
145056;Minister of Armament;Aimo K. Cajander;1939;1964;1999;ML;Resource Industrialist;Medium;2517;X
145057;Minister of Armament;Kyösti Kallio;1941;1964;1999;ML;Balanced budget economy;High;2511;X
145058;Minister of Armament;Väinö L. R. Valve;1944;1964;1999;ML;Military Entrepreneur;Medium;428;X
145059;Minister of Armament;Jarl F. Lundqvist;1946;1964;1999;ML;Air to Sea Proponent;Very High;2507;X
145060;Minister of Armament;Antti V. Hackzell;1933;1964;1999;SC;Battle Fleet Proponent;Medium;2503;X
145061;Minister of Armament;Pehr E. Svinhufvud;1933;1964;1999;SC;Tank Proponent;High;2501;X
145062;Minister of Armament;Leonard A. M. Grandell;1939;1964;1999;SC;Laissez-Faire Capitalist;Medium;392;X
145063;Minister of Armament;Juho K. Paasikivi;1941;1964;1999;SC;Resource Industrialist;High;2509;X
145064;Minister of Armament;Urho J. Castrén;1943;1964;1999;SC;Infantry Proponent;High;M29064;X
145065;Minister of Armament;Edwin J. H. Linkomies;1944;1964;1999;SC;Administrative Genius;Medium;M29063;X
145066;Minister of Armament;Georg A. de Gripenberg;1946;1964;1999;SC;Strategic Air Proponent;High;M29097;X
145067;Minister of Armament;K. Rudolf Walden;1944;1964;1999;PA;Resource Industrialist;Medium;431;X
145068;Minister of Armament;Juho Niukkanen;1933;1964;1999;FA;Tank Proponent;Medium;2525;X
