GEO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
475001;Head of State;Kandid Charkviani;1933;1964;1999;ST;Barking Buffoon;High;M519001;X
475002;Head of Government;Lavrentij Beria;1933;1964;1999;ST;Flamboyant Tough Guy;High;M519002;X
475003;Foreign Minister;Budu Mdivani;1933;1964;1999;ST;The Cloak N Dagger Schemer;High;M519003;X
475004;Minister of Armament;Georgi Eliava;1933;1964;1999;ST;Theoretical Scientist;Medium;M519004;X
475005;Minister of Security;Sergo Ordzhonikidzhe;1933;1964;1999;ST;Prince of Terror;Medium;M519005;X
475006;Head of Military Intelligence;Nikola Nakashidzhe;1933;1964;1999;ST;Industrial Specialist;Medium;M519006;X
475007;Chief of Staff;Lavrentij Beria;1933;1964;1999;ST;School of Psychology;Medium;M519007;X
475008;Chief of Army;Igor D. Tcherniakhovski;1933;1964;1999;ST;Elastic Defence Doctrine;Medium;M519008;X
475009;Chief of Navy;Alexei Brusilov;1933;1964;1999;ST;Open Seas Doctrine;Medium;M519009;X
475010;Chief of Air Force;Mamia Orakhelashvili;1933;1964;1999;ST;Naval Aviation Doctrine;Medium;M519010;X
475011;Head of State;Raphael Ivanitski-Ingilo;1933;1964;1999;SD;Pig-headed Isolationist;High;M519011;X
475012;Head of State;H.R.H. Margaretha I. Abkhazi;1933;1964;1999;SL;Popular Figurehead;High;M519012;X
475013;Head of State;H.R.H. Irakly IV. Bagration de Moukhani;1933;1964;1999;SC;Autocratic Charmer;High;M519013;X
475014;Head of State;H.R.H. Andriy II. Chivadjeze;1933;1964;1999;NS;Stern Imperialist;High;M519014;X
475015;Head of Government;Mikheil Javakhishvili;1933;1964;1999;SD;Naive Optimist;High;M519015;X
475016;Head of Government;dr. Ivane Tsitsishvili;1933;1964;1999;SL;Backroom Backstabber;High;M519016;X
475017;Head of Government;Ivane Javakhishvili;1933;1964;1999;SC;Silent Workhorse;High;M519017;X
475018;Head of Government;Mikhail von Tsereteli;1933;1964;1999;NS;Happy Amateur;High;M519018;X
475019;Foreign Minister;Mukhran Niniadzhe;1933;1964;1999;ST;Iron Fisted Brute;High;M519019;X
475020;Foreign Minister;Filipp Makharadzhe;1933;1964;1999;ST;Ideological Crusader;High;M519020;X
475021;Foreign Minister;Shalva Amirejbi;1933;1964;1999;SD;Apologetic Clerk;High;M519021;X
475022;Foreign Minister;Abbot Ephrem Korselidzhe;1933;1964;1999;SL;Apologetic Clerk;High;M519022;X
475023;Foreign Minister;Valentin S. Oschepov;1933;1964;1999;SL;Biased Intellectual;High;M519023;X
