GER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
1;Head of State;Adolf Hitler;1924;1960;1999;NS;Paranoid megalomaniac;High;2634;X
2;Head of Government;Rudolf Hess;1933;1978;1978;NS;Silent Workhorse;High;2635;X
3;Foreign Minister;Konstantin von Neurath;1933;1957;1957;FA;respectable compromiser;High;2636;X
4;Minister of Armament;Werner von Blomberg;1933;1947;1947;NS;Infantry Proponent;High;L607;X
5;Minister of Security;Wilhelm Frick;1933;1948;1948;NS;Ruthless Organizer;High;M5;X
6;Head of Military Intelligence;Wilhelm Canaris;1933;1946;1957;FA;Brilliant Spymaster;Medium;2639;X
7;Chief of Staff;Ludwig Beck;1933;1945;1950;PA;School of Manoeuvre;High;2640;X
8;Chief of Army;Werner von Fritsch;1933;1940;1950;PA;Armoured Spearhead Doctrine;High;L611;X
9;Chief of Navy;Erich Raeder;1933;1960;1960;NS;Decisive Naval Battle Doctrine;High;L409;X
10;Chief of Air Force;Hermann Göring;1924;1963;1963;NS;The Iron Knight;Very High;L440;X
11;Head of State;Hermann Göring;1924;1963;1963;NS;Barking Buffoon;Very High;L440;X
12;Head of State;Joseph Goebbels;1942;1967;1967;NS;Powerhungry Demagogue;Very High;M56;X
13;Head of State;Karl Dönitz;1945;1970;1970;NS;Resigned Generalissimo;High;M32;X
14;Head of State;Oskar von Hindenburg;1933;1960;1960;FA;Insignificant Layman;High;M33;X
15;Head of State;Ludwig Beck;1939;1945;1950;FA;Resigned Generalissimo;High;2640;X
16;Head of State;Hjalmar Schacht;1945;1955;1955;FA;Pig-headed Isolationist;High;2644;X
17;Head of State;Wilhelm II;1933;1941;1941;PA;Weary Stiffneck;High;M36;X
18;Head of State;Wilhelm III;1942;1951;1951;PA;Benevolent Gentleman;High;M37;X
19;Head of State;Theodor Heuss;1933;1963;1963;SC;Die-hard Reformer;High;M38;X
20;Head of State;Ludwig Renn;1933;1969;1969;ST;Insignificant Layman;High;M21;X
21;Head of Government;Hermann Göring;1938;1963;1963;NS;Old Airmarshal;High;L440;X
22;Head of Government;Adolf Hitler;1924;1960;1999;NS;Flamboyant Tough Guy;High;2634;X
23;Head of Government;Martin Bormann;1941;1970;1970;NS;The Brown Eminence;High;M42;X
24;Head of Government;Albert Speer;1942;1971;1971;NS;Corporate Suit;High;2645;X
25;Head of Government;Otto Meissner;1933;1953;1953;PA;Naive Optimist;High;M44;X
27;Head of Government;Albert Dufour von Féronce;1938;1945;1945;PA;Flamboyant Tough Guy;High;M46;X
28;Head of Government;Franz von Papen;1933;1959;1959;PA;Happy Amateur;High;M47;X
29;Head of Government;Carl Friedrich Goerdeler;1941;1954;1954;PA;Happy Amateur;High;M12;X
30;Head of Government;Johann Schwerin von Krosigk;1944;1967;1967;PA;Silent Workhorse;High;M49;X
31;Head of Government;Konrad Adenauer;1933;1967;1967;SC;Silent Workhorse;High;M50;X
32;Head of Government;Ernst Thälmann;1924;1944;1944;ST;Backroom Backstabber;High;M22;X
33;Head of Government;Ernst Toller;1933;1963;1963;ST;Ambitious Union Boss;High;M25;X
34;Head of Government;Walter Ulbricht;1926;1963;1963;ST;Backroom Backstabber;High;M53;X
35;Foreign Minister;Joachim von Ribbentrop;1936;1973;1973;NS;Salesman of Deception;High;M55;X
36;Foreign Minister;Joseph Goebbels;1942;1967;1967;NS;The Cloak N Dagger Schemer;Very High;M56;X
37;Foreign Minister;Alfred Rosenberg;1933;1973;1973;NS;Ideological Crusader;Very High;M57;X
38;Foreign Minister;Arthur Seyss-Inquart;1945;1972;1972;NS;Iron Fisted Brute;Very High;M58;X
39;Foreign Minister;Johann Schwerin von Krosigk;1945;1967;1967;NS;Apologetic Clerk;Very High;M49;X
40;Foreign Minister;Ludwig Kastl;1933;1959;1959;PA;Biased Intellectual;High;M60;X
41;Foreign Minister;Konstantin von Neurath;1933;1957;1957;PA;respectable compromiser;High;2636;X
42;Foreign Minister;Otto Meissner;1923;1953;1953;PA;The Cloak N Dagger Schemer;Low;M44;X
43;Foreign Minister;Johann Schwerin von Krosigk;1945;1967;1967;PA;Apologetic Clerk;High;M49;X
44;Foreign Minister;Thomas Mann;1933;1964;1964;PA;General Staffer;Medium;M64;X
45;Foreign Minister;Albert Dufour von Féronce;1938;1945;1945;PA;Great Compromiser;Medium;M46;X
46;Foreign Minister;Wilhelm Waetzoldt;1938;1945;1945;PA;Apologetic Clerk;Medium;M66;X
47;Foreign Minister;Franz von Papen;1933;1959;1959;PA;Great Compromiser;Very High;M47;X
48;Foreign Minister;Friedrich-Werner von der Schulenberg;1942;1945;1945;PA;Ideological Crusader;Medium;M68;X
49;Foreign Minister;Ulrich von Hassel;1943;1964;1964;PA;The Cloak N Dagger Schemer;Medium;M13;X
50;Foreign Minister;Carl Melchior;1945;1964;1964;PA;Ideological Crusader;Medium;M70;X
51;Foreign Minister;Theodor Heuss;1946;1964;1964;SC;Apologetic Clerk;Very High;M38;X
52;Foreign Minister;Konrad Adenauer;1947;1964;1964;SC;Great Compromiser;Very High;M50;X
53;Foreign Minister;Walter Ulbricht;1926;1963;1963;ST;The Cloak N Dagger Schemer;High;M53;X
54;Foreign Minister;Helmut Herzfelde;1940;1964;1964;ST;Ideological Crusader;High;M23;X
55;Minister of Armament;Rudolf Hess;1933;1978;1978;NS;Strategic Air Proponent;High;2635;X
56;Minister of Armament;Hjalmar Schacht;1934;1955;1955;NS;Administrative Genius;Medium;2644;X
57;Minister of Armament;Friedrich Flick;1938;1964;1964;NS;Laissez-faire Capitalist;Medium;M78;X
58;Minister of Armament;Hermann Göring;1924;1963;1963;NS;Air To Ground Proponent;Very High;L440;X
59;Minister of Armament;Walter Funk;1939;1964;1964;NS;Oil baron;Very High;M80;X
60;Minister of Armament;Walther Darré;1939;1964;1964;NS;Military Entrepreneur;Very High;7382;X
61;Minister of Armament;Kurt Daluege;1940;1964;1964;NS;Infantry Proponent;Very High;M82;X
62;Minister of Armament;Max Amann;1941;1964;1964;NS;Battle Fleet Proponent;Very High;M83;X
63;Minister of Armament;Franz-Xavier Schwarz;1933;1964;1964;NS;Resource Industrialist;Very High;M84;X
64;Minister of Armament;Johann Schwerin von Krosigk;1933;1964;1964;NS;Resource Industrialist;Very High;M49;X
65;Minister of Armament;Albert Speer;1942;1964;1964;NS;Genius organizer;Medium;2645;X
66;Minister of Armament;Oswald Pohl;1943;1964;1964;NS;Military Entrepreneur;High;M87;X
67;Minister of Armament;Robert Ley;1933;1964;1964;NS;Corrupt Kleptocrat;High;M88;X
68;Minister of Armament;Karl Otto Saur;1945;1964;1964;NS;Planned economy proponent;High;M89;X
