GUY;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
670001;Head of State;Sir Gordon J. Lethem;1933;1964;1999;ML;Die-hard Reformer;High;M562001;X
670002;Head of Government;Sir Francis Stanley Jackson;1933;1964;1999;ML;Happy Amateur;High;M562002;X
670003;Foreign Minister;Sir Geoffrey Stanfford Northcote;1933;1964;1999;ML;Apologetic Clerk;High;M562003;X
670004;Minister of Armament;Sir Ralph Alnwick Grey;1933;1964;1999;ML;Administrative Genius;Medium;M562004;X
670005;Minister of Security;Charles Campbell Woolley;1933;1964;1999;ML;Compassionate Gentleman;Medium;M562005;X
670006;Head of Military Intelligence;Edward F. Collingwood;1933;1964;1999;ML;Industrial Specialist;Medium;M562006;X
670007;Chief of Staff;Charles Birchwood;1933;1964;1999;ML;School of Defence;Medium;M562007;X
670008;Chief of Army;Frederic Augustis;1933;1964;1999;ML;Armoured Spearhead Doctrine;Medium;M562008;X
670009;Chief of Navy;H.C. Bigelow;1933;1964;1999;ML;Indirect Approach Doctrine;Medium;M562009;X
670010;Chief of Air Force;H.F. Burnette;1933;1964;1999;ML;Naval Aviation Doctrine;Medium;M562010;X
670011;Head of State;Severo Mallet-Prevost;1933;1964;1999;PA;Benevolent Gentleman;High;M562011;X
670012;Head of State;Dr. Cheddi Jagan;1933;1964;1999;LWR;Popular Figurehead;High;M562012;X
670013;Head of Government;Frederick Derecourt;1933;1964;1999;PA;Corporate Suit;High;M562013;X
670014;Head of Government;Forbes Burnham;1933;1964;1999;LWR;Political Protege;High;M562014;X
670015;Foreign Minister;Charles Joseph Loghie;1933;1964;1999;PA;The Cloak N Dagger Schemer;High;M562015;X
670016;Foreign Minister;Rasleigh Jackson;1933;1964;1999;LWR;Great Compromiser;High;M562016;X
670017;Minister of Armament;Maurice Gordon;1933;1964;1999;PA;Resource Industrialist;Medium;M562017;X
670018;Minister of Armament;Dr. Gobinda Ganga;1933;1964;1999;LWR;Theoretical Scientist;Medium;M562018;X
670019;Minister of Security;James Christkirk;1933;1964;1999;PA;Crime Fighter;Medium;M562019;X
670020;Minister of Security;Lien James;1940;1964;1999;ML;Prince of Terror;Medium;M562020;X
670021;Minister of Security;Vibert Parvathan;1933;1964;1999;LWR;Silent Lawyer;Medium;M562021;X
670022;Head of Military Intelligence;William J. Featherstone;1933;1964;1999;PA;Dismal Enigma;Medium;M562022;X
670023;Head of Military Intelligence;C.L.R. James;1933;1964;1999;LWR;Political Specialist;Medium;M562023;X
670024;Chief of Staff;C.F. Drew;1933;1964;1999;PA;School of Psychology;Medium;L1111;X
670025;Chief of Staff;Kingsley Forrester;1933;1964;1999;LWR;School of Manoeuvre;Medium;M562025;X
670026;Chief of Army;H.F.L. Hilton-Green;1933;1964;1999;PA;Decisive Battle Doctrine;Medium;L1164;X
670027;Chief of Army;Christopher Lobban;1933;1964;1999;LWR;Guns and Butter Doctrine;Medium;M562027;X
670028;Chief of Navy;Henry Winslow;1933;1964;1999;PA;Base Control Doctrine;Medium;M562028;X
670029;Chief of Navy;Thomas McGarrity;1933;1964;1999;LWR;Power Projection Doctrine;Medium;M562029;X
670030;Chief of Air Force;Mortimer Chesswood;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M562030;X
670031;Chief of Air Force;Kyle Lightfoot;1933;1964;1999;LWR;Air Superiority Doctrine;Medium;M562031;X
