ITA;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
25001;Head of State;Vittorio Emanuele III;1933;1948;1948;FA;Weary Stiffneck;High;vittorio_emanuele_III_ita;X
25002;Head of Government;Benito Mussolini;1933;1945;1999;FA;Imperialist buffoon;High;mussolini_benito_ita;X
25003;Foreign Minister;Gian Galeazzo Ciano;1933;1944;1999;FA;Fascist Crusader;Very High;ciano_galezzo_ita;X
25004;Minister of Armament;Benito Mussolini;1933;1945;1999;FA;Autarkic Fascist;Very High;mussolini_benito_arm_ita;X
25005;Minister of Security;Benito Mussolini;1933;1945;1999;FA;Media Magnate;Very High;mussolini_benito_sec_ita;X
25006;Head of Military Intelligence;Mario Roatta;1932;1945;1968;FA;Logistics Specialist;High;roatta_mario_ita;X
25007;Chief of Staff;Pietro Badoglio;1925;1946;1957;PA;School of Mass Combat;Medium;badoglio_pietro_ita;X
25008;Chief of Army;Alberto Pariani;1932;1940;1955;FA;Undersecretary of War;Medium;pariani_alberto_ita;X
25009;Chief of Navy;Domenico Cavagnari;1933;1941;1966;FA;Old School Admiral;Medium;cavagnari_domenico_ita;X
25010;Chief of Air Force;Giuseppe Valle;1928;1940;1976;FA;Army Aviation Doctrine;Medium;valle_giuseppe_ita;X
25011;Head of State;Vittorio Emanuele III;1933;1948;1948;PA;Weary Stiffneck;High;vittorio_emanuele_III_ita;X
25012;Head of State;Vittorio Emanuele III;1933;1948;1948;SC;Weary Stiffneck;High;vittorio_emanuele_III_ita;X
25013;Head of State;Umberto II;1933;1964;1999;PA;Insignificant Layman;High;umberto_II_d'italia_ita;X
25014;Head of State;Umberto II;1933;1964;1999;SC;Insignificant Layman;High;umberto_II_d'italia_ita;X
25015;Head of State;Enrico De Nicola;1933;1960;1960;ML;Benevolent Gentleman;High;de_nicola_enrico_ita;X
25016;Head of State;Luigi Einaudi;1947;1962;1962;ML;Popular Figurehead;High;einaudi_luigi_ita;X
25017;Head of State;Carlo Sforza;1947;1953;1953;SL;Stern Imperialist;High;sforza_carlo_ita;X
25018;Head of State;Benito Mussolini;1933;1945;1999;NS;Barking Buffoon;High;mussolini_benito_ita;X
25019;Head of State;Junio Valerio Borghese;1944;1975;1975;NS;Resigned Generalissimo;High;borghese_junio_valerio_ita;X
25020;Head of State;Giovanni Gronchi;1953;1979;1979;SC;Benevolent Gentleman;High;gronchi_giovanni_ita;X
25021;Head of Government;Pietro Badoglio;1933;1957;1957;PA;Old General;High;badoglio_pietro_ita;X
25022;Head of Government;Ivanoe Bonomi;1933;1952;1952;SD;Silent Workhorse;High;bonomi_ivanoe_ita;X
25023;Head of Government;Ferruccio Parri;1933;1982;1982;SL;Political Protege;High;parri_ferruccio_ita;X
25024;Head of Government;Alcide De Gasperi;1933;1955;1955;SC;Backroom Backstabber;High;de_gasperi_alcide_ita;X
25025;Head of Government;Amintore Fanfani;1947;1999;1999;SC;Silent Workhorse;High;fanfani_amintore_ita;X
25026;Head of Government;Giuseppe Pella;1945;1982;1982;SC;Political Protege;High;pella_giuseppe_ita;X
25027;Head of Government;Dino Grandi;1933;1989;1989;FA;Backroom Backstabber;High;grandi_dino_ita;X
25028;Head of Government;Junio Valerio Borghese;1944;1975;1975;NS;Old Admiral;High;borghese_junio_valerio_ita;X
25029;Head of Government;Paolo Thaon di Revel;1933;1948;1948;PA;Old Admiral;High;thaon_di_revel_paolo_ita;X
25030;Head of Government;Italo Balbo;1933;1941;1999;FA;Old Airmarshal;High;balbo_italo_ita;x
25031;Foreign Minister;Benito Mussolini;1933;1945;1999;FA;Aggressive Nationalist;Very High;mussolini_benito_for_ita;X
25032;Foreign Minister;Dino Grandi;1933;1989;1989;FA;Great Compromiser;High;grandi_dino_for_ita;X
25033;Foreign Minister;Raffaele Guariglia;1933;1971;1971;PA;Apologetic Clerk;High;guariglia_raffaele_ita;X
25034;Foreign Minister;Pietro Badoglio;1933;1958;1958;PA;General Staffer;High;badoglio_pietro_ita;X
