JAP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
50001;Head of State;Hirohito;1901;1990;1990;PA;Puppet Emperor;High;M5001;X
50002;Head of Government;Okada Keisuke;1912;1953;1953;PA;Happy Amateur;High;M5002;X
50003;Foreign Minister;Hirota Koki;1913;1949;1949;PA;Great Compromiser;High;M5003;X
50004;Minister of Armament;Machida Chuji;1898;1947;1947;SC;Laissez-Faire Capitalist;High;M5004;X
50005;Minister of Security;Goto Fumio;1919;1981;1981;SC;Silent Lawyer;High;M5005;X
50006;Head of Military Intelligence;Okamura Yasuji;1919;1967;1967;PA;Political Specialist;Very Low;M5006;X
50007;Chief of Staff;Kanin Kotohito;1931;1946;1946;PA;School of Defence;Very Low;M5007;X
50008;Chief of Army;Kanin Kotohito;1931;1946;1946;PA;Static Defence Doctrine;Very Low;M5007;X
50009;Chief of Navy;Osumi Mineo;1911;1942;1942;FA;Power Projection Doctrine;Very High;M5009;X
50010;Chief of Air Force;Yamamoto Isoroku;1919;1944;1944;FA;Naval Aviation Doctrine;Very High;M5010;X
50011;Head of State;Yasuhito;1902;1954;1954;PA;Ruthless Powermonger;Very High;M5207;X
50012;Head of State;Nosaka Sanzo;1892;1994;1994;SD;Barking Buffoon;High;M5011;X
50013;Head of Government;Hayashi Senjuro;1920;1944;1944;PA;Smiling Oilman;High;M5033;X
50014;Head of Government;Konoe Fumimaro;1935;1946;1946;PA;Flamboyant Tough Guy;High;M5034;X
50015;Head of Government;Abe Nobuyuki;1919;1954;1954;PA;Political Protege;High;M5035;X
50016;Head of Government;Yonai Mitsumasa;1924;1949;1949;PA;Ambitious Union Boss;High;M5036;X
50017;Head of Government;Suzuki Kantaro;1912;1949;1949;PA;Corporate Suit;High;M5037;X
50018;Head of Government;Higashikuni Naruhiko;1931;1991;1991;PA;Silent Workhorse;High;M5038;X
