JOR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
370001;Head of State;H.M. Abdullah I;1933;1964;1999;SC;Autocratic Charmer;High;M556001;X
370002;Head of Government;Tawfiq Abul-Huda;1933;1964;1999;SC;Naive Optimist;High;M556002;X
370003;Foreign Minister;Samir al-Rifai;1933;1964;1999;SC;Apologetic Clerk;High;M556003;X
370004;Minister of Armament;Omar Pasha Mattar;1933;1964;1999;SC;laissez-faire capitalist;Medium;M556004;X
370005;Minister of Security;Sir Henry Cox;1933;1964;1999;SC;Man of the People;Medium;M556005;X
370006;Head of Military Intelligence;Sir Percy Cox;1933;1964;1999;SC;Logistics Specialist;Medium;M556006;X
370007;Chief of Staff;Sir Percy Cox;1933;1964;1999;SC;School of Manoeuvre;Medium;M556006;X
370008;Chief of Army;H.M. Abdullah I;1933;1964;1999;SC;Decisive Battle Doctrine;Medium;M556008;X
370009;Chief of Navy;C.G.T. Lloyd-Elford;1933;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;L1367;X
370010;Chief of Air Force;Alec Seath Kirkbride;1933;1964;1999;SC;Army Aviation Doctrine;Medium;L1454;X
370011;Head of State;H.M. Talal I;1951;1964;1999;ML;Benevolent Gentleman;High;M556011;X
370012;Head of State;H.H. Naif al-Hashemi;1933;1964;1999;PA;Resigned Generalissimo;High;M556012;X
370013;Head of Government;Ismael Bey Gaspirali;1933;1964;1999;SD;Silent Workhorse;High;M556013;X
370014;Head of Government;Sherif Husayn á Hijaz;1933;1964;1999;PA;Smiling Oilman;High;M556014;X
370015;Foreign Minister;Said al-Mufti;1933;1964;1999;SD;Great Compromiser;High;M556015;X
370016;Foreign Minister;Ibrahim Pasha Hasheem;1933;1964;1999;PA;Biased Intellectual;High;M556016;X
370017;Minister of Armament;Ahmad Qadri;1933;1964;1999;SD;Military Entrepreneur;Medium;M556017;X
370018;Minister of Armament;Suleiman al-Nabulshi;1933;1964;1999;PA;Infantry Proponent;Medium;M556018;X
370019;Minister of Security;Alec Seath Kirkbride;1939;1964;1999;SC;Efficient Sociopath;Medium;L1454;X
370020;Minister of Security;Awni Abdul Hadi;1945;1964;1999;SC;Silent Lawyer;Medium;M556020;X
370021;Minister of Security;Jacob Dorval-Penney;1933;1964;1999;SD;Back Stabber;Medium;M556021;X
370022;Minister of Security;Mohammed al-Shureiki;1942;1964;1999;SD;Compassionate Gentleman;Medium;M556022;X
370023;Minister of Security;Shaker ben Zaid;1933;1964;1999;PA;Crime Fighter;Medium;M556023;X
370024;Head of Military Intelligence;John Bagot Glubb;1941;1964;1999;SC;Dismal Enigma;Medium;M556024;X
370025;Head of Military Intelligence;Rustum Haidar;1933;1964;1999;SD;Political Specialist;Medium;M556025;X
370026;Head of Military Intelligence;Shadi al-Hakim;1933;1964;1999;PA;Industrial Specialist;Medium;M556026;X
370027;Chief of Staff;John E. Osprey;1941;1964;1999;SC;School of Psychology;Medium;M556027;X
370028;Chief of Staff;Haddad al-Wali;1933;1964;1999;SD;School of Mass Combat;Medium;M556028;X
370029;Chief of Staff;Yoshua Abdel Ahti;1933;1964;1999;PA;School of Defence;Medium;M556029;X
370030;Chief of Army;John Bagot Glubb;1944;1964;1999;SC;Elastic Defence Doctrine;Medium;M556024;X
370031;Chief of Army;Nair al-Jafaar;1933;1964;1999;SD;Guns and Butter Doctrine;Medium;M556031;X
370032;Chief of Army;Abdullah Mecit Pasha;1933;1964;1999;PA;Static Defence Doctrine;Medium;M556032;X
370033;Chief of Navy;Gadi abd-el Jabbar;1933;1964;1999;SD;Power Projection Doctrine;Medium;M556033;X
370034;Chief of Navy;Hibah abd-el Adir;1933;1964;1999;PA;Indirect Approach Doctrine;Medium;M556034;X
370035;Chief of Air Force;Sami al-Afiz;1933;1964;1999;SD;Vertical Envelopment Doctrine;Medium;M556035;X
370036;Chief of Air Force;Esmael al-Khaliq;1933;1964;1999;PA;Carpet Bombing Doctrine;Medium;M556036;X
370037;Head of State;H.M. Hussein I;1952;1964;1999;SC;Die-hard Reformer;High;M556037;X
370038;Head of Government;Ibrahim Hashim;1933;1964;1999;SC;Happy Amateur;High;M556038;X
370039;Head of Government;Samir al-Rifai;1944;1964;1999;SC;Silent Workhorse;High;M556003;X
370040;Head of Government;Said al-Mufti;1950;1964;1999;SC;Political Protege;High;M556015;X
370041;Head of Government;Fawzi al-Mulqi;1953;1964;1999;SC;Smiling Oilman;High;M556041;X
370042;Chief of Army;Habis Al-Majali;1956;1964;1999;ML;Armoured Spearhead Doctrine;Very High;6079;x 
370043;Chief of Staff;Habis Al-Majali;1948;1964;1999;ML;School of Manoeuvre;Very High;6079;x 
