LAT;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
135001;Head of State;Alberts Kviesis;1930;1964;1999;FA;Powerhungry Demagogue;High;M27001;X
135002;Head of Government;Kàrlis Ulmanis;1933;1964;1999;FA;Happy Amateur;High;M27002;X
135003;Foreign Minister;Kàrlis Ulmanis;1933;1964;1999;FA;Biased Intellectual;Undying;M27002;X
135004;Minister of Armament;Ludvigs Ctis;1933;1964;1999;PA;Infantry Proponent;Medium;M27004;X
135005;Minister of Security;Vilis Gulbis;1933;1964;1999;FA;Crime Fighter;Medium;M27005;X
135006;Head of Military Intelligence;Hermanis Apsitis;1933;1964;1999;FA;Political Specialist;Medium;M27006;X
135007;Chief of Staff;Jànis Balodis;1933;1964;1999;FA;School of Defence;Medium;M27007;X
135008;Chief of Army;Rudolfs Bangerskis;1933;1964;1999;FA;Static Defence Doctrine;Low;M27008;X
135009;Chief of Navy;Tomas Spade;1933;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;M27009;X
135010;Chief of Air Force;Janis Indans;1933;1964;1999;FA;Army Aviation Doctrine;Medium;M27010;X
135011;Head of State;Hans Heinrich Lohse;1941;1964;1999;NS;Stern Imperialist;High;M27031;X
135012;Head of State;Kàrlis Ulmanis;1933;1964;1999;FA;Barking Buffoon;High;M27002;X
135013;Head of State;Janis Andersons;1945;1964;1999;PA;Benevolent Gentleman;High;M27033;X
135014;Head of State;Pauls Kalniñs;1933;1964;1999;SC;Insignificant Layman;High;M27011;X
135015;Head of State;Jazeps Rancans;1945;1964;1999;SC;Autocratic Charmer;High;M27035;X
135016;Head of State;Augusts Kirchensteins;1933;1964;1999;LE;Weary Stiffneck;High;M27021;X
135017;Head of State;Ernests Kreismanis;1945;1964;1999;ST;Ruthless Powermonger;High;M27037;X
135018;Head of Government;Alfreds Valdmanis;1941;1964;1999;NS;Smiling Oilman;High;M27038;X
135019;Head of Government;Oskars Dankers;1941;1964;1999;NS;Happy Amateur;High;M27039;X
135020;Head of Government;Jànis Kaminskis;1940;1964;1999;FA;Naive Optimist;High;M27041;X
135021;Head of Government;Rudolfs Bangerskis;1945;1964;1999;PA;Flamboyant Tough Guy;High;M27008;X
135022;Head of Government;Pauls Kalniñs;1933;1964;1999;SC;Silent Workhorse;High;M27011;X
135023;Head of Government;Reinhold K. Zariñs;1940;1964;1999;SC;Political Protege;High;M27012;X
135024;Head of Government;Augusts Kirchensteins;1933;1964;1999;LE;Silent Workhorse;High;M27021;X
135025;Head of Government;Roberts Osis;1945;1964;1999;ST;Old General;High;M27046;X
135026;Head of Government;Vilis Làcis;1946;1964;1999;ST;Backroom Backstabber;High;M27025;X
135027;Foreign Minister;Alfreds Valdmanis;1941;1964;1999;NS;Iron Fisted Brute;Medium;M27038;X
135028;Foreign Minister;Oskars Dankers;1941;1964;1999;NS;General Staffer;Medium;M27039;X
135029;Foreign Minister;Màrtiñs Prïmanis;1944;1964;1999;NS;Ideological Crusader;Medium;M27050;X
135030;Foreign Minister;Vilhelms Munters;1933;1964;1999;FA;Great Compromiser;Medium;M27051;X
135031;Foreign Minister;Jànis Kaminskis;1945;1964;1999;PA;Iron Fisted Brute;Medium;M27041;X
135032;Foreign Minister;Reinhold K. Zariñs;1933;1964;1999;SC;Apologetic Clerk;Medium;M27012;X
135033;Foreign Minister;Alfreds Bïlmanis;1940;1964;1999;SC;Biased Intellectual;Medium;M27054;X
135034;Foreign Minister;Julijcs Lacis;1933;1964;1999;LE;Great Compromiser;Medium;M27029;X
135035;Foreign Minister;Augusts Kirchensteins;1940;1964;1999;LE;Ideological Crusader;Undying;M27021;X
135036;Foreign Minister;Arnolds Skrebers;1945;1964;1999;ST;Great Compromiser;Medium;M27057;X
135037;Foreign Minister;Peteris Valeskalns;1946;1964;1999;ST;Ideological Crusader;Medium;M27058;X
135038;Foreign Minister;Ernests Kreismanis;1947;1964;1999;ST;The Cloak N Dagger Schemer;Very High;M27037;X
135039;Minister of Armament;Evalds Andersons;1941;1964;1999;NS;Military Entrepreneur;High;M27060;X
135040;Minister of Armament;Jànis Skujevics;1941;1964;1999;NS;Resource Industrialist;Medium;M27061;X
