LIT;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
140001;Head of State;Antanas Smetona;1918;1944;1999;FA;Weary Stiffneck;High;M28001;X
140002;Head of Government;Juozas Tubelis;1929;1964;1999;FA;Political Protege;High;M28002;X
140003;Foreign Minister;Stasys Lozoraitis;1933;1964;1999;FA;Ideological Crusader;Medium;M28003;X
140004;Minister of Armament;Valdemaras Vytautas-Carneckis;1933;1964;1999;FA;Military Entrepreneur;Medium;M28004;X
140005;Minister of Security;Antanas Smetona;1933;1964;1999;FA;Compassionate Gentleman;Medium;M28001;X
140006;Head of Military Intelligence;Dovas Zaunius;1933;1964;1999;FA;Political Specialist;Medium;M28006;X
140007;Chief of Staff;Jonas Galvydis-Bykauskas;1933;1964;1999;FA;School of Defence;Medium;M28007;X
140008;Chief of Army;Stasys Rastikis;1933;1964;1999;FA;Elastic Defence Doctrine;Medium;M28008;X
140009;Chief of Navy;Garnis Dirmantas;1933;1964;1999;FA;Open Seas Doctrine;Medium;M28009;X
140010;Chief of Air Force;Antanas Gustaitis;1933;1964;1999;FA;Army Aviation Doctrine;Medium;M28010;X
140011;Head of State;Augustinas Voldemaras;1933;1964;1999;NS;Powerhungry Demagogue;High;M28031;X
140012;Head of State;Kazys Skirpa;1940;1964;1999;NS;Insignificant Layman;High;M28032;X
140013;Head of State;Theodor von Renteln;1941;1964;1999;NS;Resigned Generalissimo;High;M28033;X
140014;Head of State;Antanas Merkys;1940;1964;1999;PA;Benevolent Gentleman;High;M28035;X
140015;Head of State;Jonas Zemaitis;1945;1964;1999;PA;Autocratic Charmer;High;M28036;X
140016;Head of State;Jupozas Maciusnas;1933;1964;1999;SC;Benevolent Gentleman;High;M28011;X
140017;Head of State;Juozas Ambrazevicius;1941;1964;1999;SC;Insignificant Layman;High;M28020;X
140018;Head of State;Anatolijus Kairys;1945;1964;1999;SC;Die-hard Reformer;High;M28019;X
140019;Head of State;Justas Paleckis;1938;1964;1999;ST;Insignificant Layman;High;M28021;X
140020;Head of State;Antanas Snieckus;1945;1964;1999;ST;Die-hard Reformer;High;M28041;X
140021;Head of Government;Pranciskis Misiunas;1938;1964;1999;NS;Happy Amateur;High;M28042;X
140022;Head of Government;Petras Kubiliunas;1940;1964;1999;NS;Silent Workhorse;High;M28043;X
140023;Head of Government;Vladas Mironas;1938;1964;1999;FA;Naive Optimist;High;M28044;X
140024;Head of Government;Jonas Cernius;1939;1964;1999;FA;Ambitious Union Boss;High;M28014;X
140025;Head of Government;Antanas Merkys;1939;1964;1999;FA;Smiling Oilman;High;M28035;X
140026;Head of Government;Dovas Zaunius;1940;1964;1999;PA;Happy Amateur;High;M28006;X
140027;Head of Government;Kasimiras Zilenskiene;1945;1964;1999;PA;Flamboyant Tough Guy;High;M28048;X
140028;Head of Government;Linas Brodovskis;1938;1964;1999;SC;Backroom Backstabber;High;M28015;X
140029;Head of Government;Juozas Ambrazevicius;1941;1964;1999;SC;Corporate Suit;High;M28020;X
140030;Head of Government;Stasys Lozoraitis;1945;1964;1999;SC;Happy Amateur;High;M28003;X
140031;Head of Government;Justas Paleckis;1938;1964;1999;ST;Smiling Oilman;High;M28021;X
140032;Head of Government;Vincas Kreve-Mickevicius;1940;1964;1999;ST;Political Protege;High;M28053;X
140033;Head of Government;Antanas Snieckus;1945;1964;1999;ST;Old Admiral;High;M28041;X
140034;Foreign Minister;Petras Domarkas;1938;1964;1999;NS;Biased Intellectual;Medium;M28055;X
140035;Foreign Minister;Azuolas Kuschat;1940;1964;1999;NS;Apologetic Clerk;Medium;M28056;X
140036;Foreign Minister;Petras Kubiliunas;1941;1964;1999;NS;Ideological Crusader;Medium;M28043;X
140037;Foreign Minister;Juozas Urbsys;1938;1964;1999;FA;Ideological Crusader;Medium;M28058;X
140038;Foreign Minister;Ernestas Galvanauskas;1940;1964;1999;PA;Apologetic Clerk;Medium;M28059;X
140039;Foreign Minister;Antanas Merkys;1941;1964;1999;PA;Ideological Crusader;Medium;M28035;X
140040;Foreign Minister;Karolis Vinewicz;1945;1964;1999;PA;Iron Fisted Brute;Medium;M28061;X
140041;Foreign Minister;Giedrius Grigas;1938;1964;1999;SC;Biased Intellectual;Medium;M28062;X
140042;Foreign Minister;Jonas Vailokaitis;1940;1964;1999;SC;Great Compromiser;Medium;M28063;X
140043;Foreign Minister;Stasys Lozoraitis;1945;1964;1999;SC;Apologetic Clerk;Medium;M28003;X
140044;Foreign Minister;Justas Paleckis;1938;1964;1999;ST;Ideological Crusader;Medium;M28021;X
140045;Foreign Minister;Vincas Kreve-Mickevicius;1940;1964;1999;ST;Biased Intellectual;Medium;M28053;X
140046;Foreign Minister;Karolis Didzilus-Grosmanas;1941;1964;1999;ST;The Cloak N Dagger Schemer;Medium;M28067;X
140047;Foreign Minister;Mecislovas Gedvilas;1945;1964;1999;ST;Apologetic Clerk;Medium;M28024;X
140048;Minister of Armament;Augustinas Voldemaras;1938;1964;1999;NS;Resource Industrialist;Medium;M28031;X
140049;Minister of Armament;Vincentas Latozaite;1940;1964;1999;NS;Strategic Air Proponent;Medium;M28070;X
140050;Minister of Armament;Petras Plechavicius;1941;1964;1999;NS;Military Entrepreneur;Medium;M28071;X
140051;Minister of Armament;Vladas Jurgutis;1938;1964;1999;FA;Resource Industrialist;Medium;M28072;X
140052;Minister of Armament;Antanas Smetona;1939;1964;1999;FA;Air to Ground Proponent;Medium;M28001;X
140053;Minister of Armament;Jonas Cernius;1940;1964;1999;PA;Battle Fleet Proponent;Medium;M28014;X
140054;Minister of Armament;Aras Abrutis;1945;1964;1999;PA;Administrative Genius;Medium;M28075;X
140055;Minister of Armament;Juozas Purickis;1938;1964;1999;SC;Administrative Genius;Medium;M28076;X
140056;Minister of Armament;Leonas Bistras;1941;1964;1999;SC;laissez-faire capitalist;Medium;M28077;X
140057;Minister of Armament;Gintare Klumbyte;1945;1964;1999;SC;Corrupt Kleptocrat;Medium;M28078;X
140058;Minister of Armament;Vytautas Martinaitis;1938;1964;1999;ST;Submarine Proponent;Medium;M28079;X
140059;Minister of Armament;Mecislovas Gedvilas;1940;1964;1999;ST;Theoretical Scientist;Medium;M28024;X
140060;Minister of Armament;Icikas Meskupas-Adomas;1941;1964;1999;ST;Corrupt Kleptocrat;Medium;M28081;X
140061;Minister of Armament;Antonas Sanrkiene;1945;1964;1999;ST;Air to Sea Proponent;Medium;M28082;X
140062;Minister of Security;Kazys Skirpa;1938;1964;1999;NS;Prince of Terror;Medium;M28032;X
140063;Minister of Security;Wilhelm Kube;1941;1964;1999;NS;Man of the People;Medium;M28084;X
140064;Minister of Security;Mykolas Slezevicius;1938;1964;1999;FA;Prince of Terror;Medium;M28085;X
140065;Minister of Security;Vladas Mironas;1939;1964;1999;FA;Efficient Sociopath;High;M28044;X
140066;Minister of Security;Valdemaras Vytautas-Carneckis;1939;1964;1999;FA;Crime Fighter;Medium;M28004;X
140067;Minister of Security;Jurgis Wintelaichuite;1940;1964;1999;PA;Crooked Kleptocrat;Medium;M28088;X
140068;Minister of Security;Jonas Endrasius;1941;1964;1999;PA;Back Stabber;Medium;M28089;X
140069;Minister of Security;Micislovas Reinys;1945;1964;1999;PA;Efficient Sociopath;Medium;M28090;X
140070;Minister of Security;Pranas Dovydaitis;1938;1964;1999;SC;Silent Lawyer;Medium;M28091;X
140071;Minister of Security;Linas Brodovskis;1940;1964;1999;SC;Efficient Sociopath;Medium;M28015;X
140072;Minister of Security;Mykolas Filipavicius;1945;1964;1999;SC;Compassionate Gentleman;Medium;M28093;X
140073;Minister of Security;Domas Rocius;1938;1964;1999;ST;Efficient Sociopath;Medium;M28094;X
140074;Minister of Security;Povilas Pakarklis;1940;1964;1999;ST;Silent Lawyer;Medium;M28025;X
140075;Minister of Security;Antanas Snieckus;1941;1964;1999;ST;Crime Fighter;Medium;M28041;X
140076;Minister of Security;Juozas Kupcinkas;1945;1964;1999;ST;Compassionate Gentleman;Medium;M28097;X
140077;Minister of Security;Jurgis Terleckas;1946;1964;1999;ST;Prince of Terror;Medium;M28098;X
140078;Head of Military Intelligence;Pranciskis Misiunas;1938;1964;1999;NS;Logistics Specialist;Medium;M28042;X
140079;Head of Military Intelligence;Theodor von Renteln;1941;1964;1999;NS;Dismal Enigma;High;M28033;X
140080;Head of Military Intelligence;Juozas Tubelis;1938;1964;1999;FA;Logistics Specialist;Medium;M28002;X
140081;Head of Military Intelligence;Juozas Baltakis;1939;1964;1999;FA;Political Specialist;Medium;M28102;X
140082;Head of Military Intelligence;Franciskus Ivinskis;1940;1964;1999;PA;Logistics Specialist;High;M28103;X
140083;Head of Military Intelligence;Kasimiras Zilenskiene;1941;1964;1999;PA;Industrial Specialist;High;M28048;X
140084;Head of Military Intelligence;Juozas Alsauskas;1945;1964;1999;PA;Naval Intelligence Specialist;High;M28105;X
140085;Head of Military Intelligence;Jupozas Maciusnas;1938;1964;1999;SC;Political Specialist;Medium;M28011;X
140086;Head of Military Intelligence;Jurgis Saulys;1941;1964;1999;SC;Technical Specialist;Medium;M28107;X
140087;Head of Military Intelligence;Atanas Ceponis;1945;1964;1999;SC;Dismal Enigma;Medium;M28108;X
140088;Head of Military Intelligence;Vincentas Leskien;1938;1964;1999;ST;Industrial Specialist;Medium;M28109;X
140089;Head of Military Intelligence;Vytautas Ambrazas;1940;1964;1999;ST;Political Specialist;Medium;M28110;X
140090;Head of Military Intelligence;Chaimas Aizenas;1941;1964;1999;ST;Dismal Enigma;Medium;M28111;X
140091;Head of Military Intelligence;Pranas Zibertas;1945;1964;1999;ST;Technical Specialist;Medium;M28026;X
140092;Chief of Staff;Petras Kubiliunas;1938;1964;1999;NS;School of Mass Combat;Medium;M28043;X
140093;Chief of Staff;Jonas Cernius;1933;1964;1999;FA;School of Manoeuvre;High;M28014;X
140094;Chief of Staff;Stasys Rastikis;1938;1964;1999;FA;School of Fire Support;Medium;M28008;X
140095;Chief of Staff;Jonas Zemaitis;1945;1964;1999;PA;School of Psychology;High;M28036;X
140096;Chief of Staff;Juoza Barzda-Bradauskas;1938;1964;1999;SC;School of Psychology;Medium;M28017;X
140097;Chief of Staff;Azuolas Jakus;1945;1964;1999;SC;School of Mass Combat;Medium;M28119;X
