MEN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
700001;Head of State;De Noyan;1933;1964;1999;FA;Pig-headed Isolationist;High;M513001;X
700002;Head of Government;De Noyan;1933;1964;1999;FA;Political Protege;High;M513001;X
700003;Foreign Minister;Megata Toshiro;1933;1964;1999;FA;General Staffer;High;M58032;X
700004;Minister of Armament;Nakajima Kesago;1933;1964;1999;FA;Air to Ground Proponent;Medium;M58051;X
700005;Minister of Security;Damsurijan;1933;1964;1999;FA;Man of the People;Medium;M513005;X
700006;Head of Military Intelligence;Hung Zhehuang;1933;1964;1999;FA;Logistics Specialist;Medium;M513006;X
700007;Chief of Staff;De Noyan;1933;1964;1999;FA;School of Psychology;Medium;M513001;X
700008;Chief of Army;Yonimitsu Kasahara;1933;1964;1999;FA;Guns and Butter Doctrine;Medium;L101079;X
700009;Chief of Navy;Heinrich Hanke;1933;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;M513009;X
700010;Chief of Air Force;Kyoiji Tomonaga;1933;1964;1999;FA;Army Aviation Doctrine;Medium;L101336;X
700011;Head of State;De Noyan;1933;1964;1999;SC;Pig-headed Isolationist;High;5987;x
700012;Head of Government;De Noyan;1933;1964;1999;SC;Political Protege;High;5987;x
700013;Chief of Staff;De Noyan;1933;1964;1999;SC;School of Mass Combat;High;5987;x
700014;Chief of Staff;Wu Guting;1940;1945;1999;SC;school of fire support;High;9813;x
