MON;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
300001;Head of State;Agdanbuugiyn Amar;1933;1964;1999;LE;Weary Stiffneck;High;M94001;X
300002;Head of Government;Dogijavyn Luvsanshara;1933;1964;1999;LE;Happy Amateur;High;M94002;X
300003;Foreign Minister;Peljidiyn Genden;1933;1964;1999;LE;Great Compromiser;Very High;M94003;X
300004;Minister of Armament;Jambyn Lhümbe;1933;1964;1999;LE;Military Entrepreneur;Very High;M94004;X
300005;Minister of Security;Jamtsangryin Damdinsüren;1933;1964;1999;LE;Efficient Sociopath;Very High;M94005;X
300006;Head of Military Intelligence;Horloogiyn Choybalsan;1933;1964;1999;LE;Logistics Specialist;Very High;M94006;X
300007;Chief of Staff;Chimid;1933;1964;1999;LE;School of Psychology;Very High;M94007;X
300008;Chief of Army;Chimid;1933;1964;1999;LE;Elastic Defence Doctrine;Very High;M94007;X
300009;Chief of Navy;V.G. Pyrselov;1933;1964;1999;LE;Open Seas Doctrine;Medium;M94009;X
300010;Chief of Air Force;Ulanhu;1933;1964;1999;LE;Army Aviation Doctrine;Medium;M94010;X
300011;Head of State;Yundunwangcug;1937;1964;1999;PA;Resigned Generalissimo;High;M94011;X
300012;Head of State;Pai Yun-ti;1937;1964;1999;SD;Benevolent Gentleman;High;M94021;X
300013;Head of State;Dansrabilegyin Dogsam;1937;1964;1999;LWR;Insignificant Layman;High;M94025;X
300014;Head of State;Gomgchigryn Bumtsend;1940;1964;1999;ST;Powerhungry Demagogue;High;M94034;X
300015;Head of State;Buma Tsende;1946;1964;1999;ST;Ruthless Powermonger;High;M94035;X
300016;Head of Government;Demcuydungrub;1937;1964;1999;PA;Political Protege;High;M94012;X
300017;Head of Government;Pai Yun-ti;1937;1964;1999;SD;Happy Amateur;High;M94021;X
300018;Head of Government;Dashiyin Damba;1937;1964;1999;LWR;Smiling Oilman;High;M94038;X
300019;Head of Government;Horloogiyn Choybalsan;1938;1964;1999;LWR;Old General;High;M94006;X
300020;Head of Government;Horloogiyn Choybalsan;1940;1964;1999;ST;Old General;High;M94006;X
300021;Head of Government;Jumdjaagijn Tsedenbal;1942;1964;1999;ST;Corporate Suit;High;M94041;X
300022;Foreign Minister;Demcuydungrub;1937;1964;1999;PA;General Staffer;Very Low;M94012;X
300023;Foreign Minister;Tsengubal Badrach;1937;1964;1999;SD;Apologetic Clerk;Medium;M94023;X
300024;Foreign Minister;Dogijavyn Luvsanshara;1937;1964;1999;LE;Iron Fisted Brute;High;M94002;X
300025;Foreign Minister;Banzarjavyn Baasanjav;1937;1964;1999;LWR;Biased Intellectual;High;M94045;X
300026;Foreign Minister;Dashiyin Damba;1938;1964;1999;LWR;The Cloak N Dagger Schemer;High;M94038;X
300027;Foreign Minister;Marcel Rosenberg;1940;1964;1999;ST;Biased Intellectual;Very High;M94047;X
300028;Foreign Minister;Jumdjaagijn Tsedenbal;1941;1964;1999;ST;Iron Fisted Brute;Very High;M94041;X
300029;Foreign Minister;Horloogiyn Choybalsan;1944;1964;1999;ST;General Staffer;Very High;M94049;X
300030;Minister of Armament;Tsevelsodnom;1937;1964;1999;PA;Military Entrepreneur;Very High;M94014;X
300031;Minister of Armament;Tsengubal Badrach;1937;1964;1999;LE;Air to Ground Proponent;Medium;M94023;X
300032;Minister of Armament;Tsevelsodnom;1937;1964;1999;LWR;Military Entrepreneur;Very High;M94014;X
300033;Minister of Armament;Zalbengryin Sereeter;1938;1964;1999;LWR;Theoretical Scientist;Medium;M94024;X
300034;Minister of Armament;Battur;1940;1964;1999;ST;Air to Sea Proponent;Medium;M94055;X
300035;Minister of Armament;Horloogiyn Choybalsan;1942;1964;1999;ST;Resource Industrialist;Very High;M94006;X
300036;Minister of Armament;Jamsrangyin Sambuu;1944;1964;1999;ST;laissez-faire capitalist;High;M94057;X
300037;Minister of Armament;Gomgchigryn Bumtsend;1946;1964;1999;ST;Military Entrepreneur;Very High;M94034;X
300038;Minister of Armament;Sükhbaataryn Yanjmaa;1947;1964;1999;ST;Administrative Genius;Medium;M94020;X
300039;Minister of Security;Buyanmandu;1937;1964;1999;PA;Prince of Terror;Low;M94015;X
300040;Minister of Security;Dagva;1937;1964;1999;LE;Prince of Terror;Low;M94028;X
300041;Minister of Security;Dansrabilegyin Dogsam;1937;1964;1999;LWR;Compassionate Gentleman;Medium;M94025;X
300042;Minister of Security;Buyannmeh;1938;1964;1999;LWR;Silent Lawyer;Very Low;M94064;X
300043;Minister of Security;Dashdoorov;1940;1964;1999;ST;Crooked Kleptocrat;High;M94065;X
300044;Minister of Security;Jamsrangyin Sambuu;1942;1964;1999;ST;Back Stabber;High;M94057;X
300045;Minister of Security;Mikhailovna Kollontay;1944;1964;1999;ST;Man of the People;Low;M94067;X
300046;Minister of Security;Nyambuu;1946;1964;1999;ST;Crime Fighter;High;M94068;X
300047;Head of Military Intelligence;Ichinhorloo;1937;1964;1999;PA;Logistics Specialist;Medium;M94016;X
300048;Head of Military Intelligence;Dogijavyn Luvsanshara;1937;1964;1999;SD;Logistics Specialist;Low;M94002;X
300049;Head of Military Intelligence;Dorgijavyn Luvsansambuu;1937;1964;1999;LE;Political Specialist;Medium;M94071;X
300050;Head of Military Intelligence;Ichinhorloo;1937;1964;1999;LWR;Logistics Specialist;Medium;M94016;X
300051;Head of Military Intelligence;Dashnyam;1938;1964;1999;LWR;Logistics Specialist;Medium;M94073;X
300052;Head of Military Intelligence;Nyambuu;1940;1964;1999;ST;Industrial Specialist;High;M94068;X
300053;Head of Military Intelligence;Dashdorj;1942;1964;1999;ST;Political Specialist;High;M94075;X
300054;Head of Military Intelligence;Dashzegve;1944;1964;1999;ST;Logistics Specialist;High;M94076;X
300055;Head of Military Intelligence;Buyannmeh;1946;1964;1999;ST;Naval Intelligence Specialist;Very High;M94064;X
300056;Chief of Staff;Lee Shou-hsin;1937;1964;1999;PA;School of Mass Combat;Medium;M94017;X
300057;Chief of Staff;Pai Yun-ti;1937;1964;1999;SD;School of Defence;Medium;M94021;X
