NEP;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
395001;Head of State;Tribhuvana;1933;1964;1999;PA;Ruthless Powermonger;High;M75001;X
395002;Head of Government;Juddha Rana;1932;1964;1999;PA;Backroom Backstabber;High;M75002;X
395003;Foreign Minister;Keshar Rana;1933;1964;1999;PA;Biased Intellectual;Medium;M75003;X
395004;Minister of Armament;Mohan Rana;1933;1964;1999;PA;Administrative Genius;Medium;M75004;X
395005;Minister of Security;Juddha Rana;1933;1964;1999;PA;Silent Lawyer;Medium;M75002;X
395006;Head of Military Intelligence;Baber Rana;1933;1964;1999;PA;Industrial Specialist;Medium;M75006;X
395007;Chief of Staff;Juddha Rana;1933;1964;1999;PA;School of Psychology;Medium;M75002;X
395008;Chief of Army;Padma Rana;1933;1964;1999;PA;Guns and Butter Doctrine;Medium;M75008;X
395009;Chief of Navy;Rudra Rana;1933;1964;1999;PA;Base Control Doctrine;Medium;M75009;X
395010;Chief of Air Force;Kiran Rana;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M75010;X
395011;Head of Government;Gyanendra Deva;1944;1964;1999;PA;Corporate Suit;High;M75011;X
395012;Head of Government;Padma Rana;1945;1964;1999;SC;Political Protege;High;M75008;X
395013;Head of Government;Mohan Rana;1945;1964;1999;ML;Naive Optimist;High;M75004;X
395014;Foreign Minister;Dhir Rana;1937;1964;1999;PA;Biased Intellectual;Medium;M75014;X
395015;Foreign Minister;W.R. Parker-Gill;1938;1964;1999;SC;Iron Fisted Brute;Medium;M75015;X
395016;Foreign Minister;Krishna Rana;1940;1964;1999;PA;Apologetic Clerk;Medium;M75016;X
395017;Foreign Minister;Mohan Rana;1943;1964;1999;PA;General Staffer;Medium;M75004;X
395018;Foreign Minister;William Stevenson Meyer;1943;1964;1999;SC;Ideological Crusader;Medium;M75018;X
395019;Foreign Minister;Edward Cook;1944;1964;1999;SC;The Cloak N Dagger Schemer;High;M75019;X
395020;Foreign Minister;Kiran Rana;1945;1964;1999;PA;Great Compromiser;Medium;M75010;X
395021;Minister of Armament;William Stevenson Meyer;1937;1964;1999;SC;Administrative Genius;Medium;M75018;X
395022;Minister of Armament;Gehendra Rana;1938;1964;1999;PA;Air Superiority Proponent;Medium;M75022;X
