NIG;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
715001;Head of State;Sir Bernard H. Bourdillon;1933;1964;1999;ML;Powerhungry Demagogue;High;M552001;X
715002;Head of Government;John E. Shuckburgh;1933;1964;1999;ML;Political Protege;High;M552002;X
715003;Foreign Minister;Sir Allan C.M. Burns;1933;1964;1999;ML;Great Compromiser;High;M551002;X
715004;Minister of Armament;Sir Arthur F. Richards;1933;1964;1999;ML;Resource Industrialist;Medium;M552004;X
715005;Minister of Security;William Baker-Morris;1933;1964;1999;ML;Man of the People;Medium;M552005;X
715006;Head of Military Intelligence;Richard McManus;1933;1964;1999;ML;Naval Intelligence Specialist;Medium;M552006;X
715007;Chief of Staff;D.T. Banks-MacDonald;1933;1964;1999;ML;School of Fire Support;Medium;L1021;X
715008;Chief of Army;William P.S. de L'Isle;1933;1964;1999;ML;Elastic Defence Doctrine;Medium;L1097;X
715009;Chief of Navy;W.B. Manners;1933;1964;1999;ML;Power Projection Doctrine;Medium;L1369;X
715010;Chief of Air Force;W.L. Brill;1933;1964;1999;ML;Army Aviation Doctrine;Medium;L1419;X
715011;Head of State;Dr. Nnamdi Azikiwe;1933;1964;1999;SD;Benevolent Gentleman;High;M552011;X
715012;Head of State;Thomas Ironside;1933;1964;1999;PA;Weary Stiffneck;High;M552012;X
715013;Head of Government;Sir Abubabar Tafawa Balewa;1933;1964;1999;SD;Silent Workhorse;High;M552013;X
715014;Head of Government;Leon Bouchard;1933;1964;1999;PA;Ambitious Union Boss;High;M552014;X
715015;Foreign Minister;Stuart McMorris;1933;1964;1999;SD;Ideological Crusader;High;M552015;X
715016;Foreign Minister;W.E.B. Dubois;1933;1964;1999;PA;Iron Fisted Brute;High;M552016;X
715017;Minister of Armament;Yahu Awko-Iditti;1933;1964;1999;SD;Battle Fleet Proponent;Medium;M552017;X
715018;Minister of Armament;Nigel Fergusson;1933;1964;1999;PA;Air Superiority Proponent;Medium;M552018;X
715019;Minister of Security;Mohammad Okaziyabu;1933;1964;1999;SD;Compassionate Gentleman;Medium;M552019;X
715020;Minister of Security;James Monford;1933;1964;1999;PA;Back Stabber;Medium;M552020;X
715021;Head of Military Intelligence;Johnson Ayuiyi-Ironsi;1933;1964;1999;SD;Logistics Specialist;Medium;M552021;X
715022;Head of Military Intelligence;Roderick Smith-Keyes;1933;1964;1999;PA;Dismal Enigma;Medium;M552022;X
715023;Chief of Staff;Yakubu Gowon;1933;1964;1999;SD;School of Manoeuvre;Medium;M552023;X
715024;Chief of Staff;Povah Dickinson;1933;1964;1999;PA;School of Mass Combat;Medium;L1104;X
715025;Chief of Army;Johnson Ayuiyi-Ironsi;1933;1964;1999;SD;Static Defence Doctrine;Medium;M552021;X
715026;Chief of Army;H.F.L. Hilton-Green;1933;1964;1999;PA;Decisive Battle Doctrine;Medium;L1164;X
715027;Chief of Navy;Hamilton Alula;1933;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M552027;X
715028;Chief of Navy;Ignacio Villanueva;1933;1964;1999;PA;Open Seas Doctrine;Medium;M552028;X
715029;Chief of Air Force;Ifar Ilishuno;1933;1964;1999;SD;Air Superiority Doctrine;Medium;M552029;X
715030;Chief of Air Force;Lowrie Regan;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;L1472;X
