NOR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
65001;Head of State;Haakon VII;1933;1964;1999;SD;Weary Stiffneck;High;M14001;X
65002;Head of Government;Johan Nygaardsvold;1933;1964;1999;SD;Ambitious Union Boss;High;M14002;X
65003;Foreign Minister;Halvdan Koht;1933;1964;1999;SD;Biased Intellectual;Medium;M14003;X
65004;Minister of Armament;Adolf Indrebø;1933;1964;1999;SD;Resource Industrialist;Medium;M14004;X
65005;Minister of Security;Trygve H. Lie;1933;1964;1999;SD;Man of the People;Medium;M14005;X
65006;Head of Military Intelligence;Alfred Roscher-Lund;1933;1964;1999;SD;Logistics Specialist;Low;M14006;X
65007;Chief of Staff;Otto Ruge;1933;1964;1999;SD;School of Defence;Medium;M14075;X
65008;Chief of Army;Kristian K. Laake;1933;1964;1999;SD;Guns and Butter Doctrine;Medium;M14008;X
65009;Chief of Navy;Jacob von der Lippe;1933;1964;1999;SD;Indirect Approach Doctrine;Medium;M14009;X
65010;Chief of Air Force;Jacob von der Lippe;1933;1964;1999;SD;Army Aviation Doctrine;Medium;M14009;X
65011;Head of State;Haakon VII;1933;1964;1999;ML;Weary Stiffneck;High;M14001;X
65012;Head of State;Erling Sandberg;1945;1964;1999;PA;Autocratic Charmer;High;M14014;X
65013;Head of Government;C.J. Hambro;1937;1964;1999;ML;Silent Workhorse;High;M14036;X
65014;Head of Government;Einar Gerhardsen;1941;1964;1999;SD;Political Protege;High;M14037;X
65015;Head of Government;Adolf Worm-Müller;1941;1964;1999;SL;Happy Amateur;High;M14038;X
65016;Head of Government;Paal Berg;1945;1964;1999;ML;Backroom Backstabber;High;M14039;X
65017;Head of Government;Anders Lange;1945;1964;1999;PA;Happy Amateur;High;M14040;X
65018;Foreign Minister;Trygve H. Lie;1941;1964;1999;SD;Iron Fisted Brute;High;M14005;X
65019;Foreign Minister;Halvard Manthey Lange;1945;1964;1999;SD;General Staffer;High;M14042;X
65020;Foreign Minister;J. L. Mowinckel;1933;1964;1999;SL;Ideological Crusader;Very High;M14043;X
65021;Foreign Minister;Paal Berg;1937;1964;1999;SL;Great Compromiser;High;M14039;X
65022;Foreign Minister;Erik Andreas Colban;1938;1964;1999;ML;Great Compromiser;High;M14045;X
65023;Foreign Minister;C.J. Hambro;1939;1964;1999;ML;Great Compromiser;High;M14036;X
65024;Foreign Minister;Rolf Andvord;1945;1964;1999;SD;Apologetic Clerk;High;M14047;X
65025;Foreign Minister;Albert Viljam Hagelin;1942;1964;1999;FA;Biased Intellectual;Low;M14048;X
65026;Foreign Minister;Adam Egede Nissen;1941;1964;1999;ST;Iron Fisted Brute;Low;M14021;X
65027;Minister of Armament;Finn Hagerup;1937;1964;1999;SD;Submarine Proponent;Medium;M14050;X
65028;Minister of Armament;Oscar F. Torp;1939;1964;1999;SD;Mixed economy;Medium;M14051;X
65029;Minister of Armament;Fredrik Monsen;1940;1964;1999;SD;Tank Proponent;Medium;M14052;X
65030;Minister of Armament;Jens Christian Hauge;1940;1964;1999;SD;Military Entrepreneur;High;M14053;X
65031;Minister of Armament;Erik Brofoss;1945;1964;1999;SD;Air Superiority Proponent;High;M14054;X
65032;Minister of Armament;Frederic Beichmann;1933;1964;1999;SL;Infantry Proponent;Medium;M14055;X
65033;Minister of Armament;Johan H. Andresen;1938;1964;1999;ML;Resource Industrialist;Medium;M14056;X
65034;Minister of Armament;Benjamin Vogt;1940;1964;1999;ML;Battle Fleet Proponent;Medium;M14057;X
65035;Minister of Armament;Michael Hansson;1941;1964;1999;SL;Strategic Air Proponent;Medium;M14058;X
65036;Minister of Armament;Erling Sandberg;1943;1964;1999;SL;Infantry Proponent;Very low;M14014;X
65037;Minister of Armament;Gunnar Jahn;1945;1964;1999;SL;Keynesian economy;Medium;M14060;X
65038;Minister of Armament;Albert Viljam Hagelin;1941;1964;1999;FA;Tank Proponent;Low;M14048;X
65039;Minister of Armament;Fredrik Prytz;1942;1964;1999;FA;Submarine Proponent;Medium;M14062;X
65040;Minister of Armament;Carl Fröhlich Hansen;1943;1964;1999;FA;Military Entrepreneur;Low;M14063;X
65041;Minister of Armament;Emil Lövlien;1945;1964;1999;ST;Military Entrepreneur;Low;M14022;X
65042;Minister of Security;Terje Wold;1939;1964;1999;SD;Silent Lawyer;Medium;M14065;X
65043;Minister of Security;Asbjørn Bryhn;1943;1964;1999;SD;Crime Fighter;Low;M14066;X
65044;Minister of Security;Haakon Lie;1945;1964;1999;SD;Prince of Terror;High;M14067;X
65045;Minister of Security;Arne Sunde;1937;1964;1999;SL;Silent Lawyer;High;M14068;X
65046;Minister of Security;Erling Sandberg;1943;1964;1999;SL;Compassionate Gentleman;Very low;M14014;X
65047;Minister of Security;Rolf Fuglesang;1942;1964;1999;FA;Efficient Sociopath;Very Low;M14070;X
65048;Head of Military Intelligence;Bertram Dybwad Brochmann;1933;1964;1999;ML;Dismal Enigma;Medium;M14071;X
65049;Head of Military Intelligence;Vilhelm Evang;1943;1964;1999;SD;Political Specialist;Medium;M14072;X
65050;Head of Military Intelligence;Gunnar Jahn;1945;1964;1999;SL;Industrial Specialist;Medium;M14060;X
65051;Head of Military Intelligence;Karl A. Marthinsen;1940;1964;1999;NS;Dismal Enigma;Low;6033;X
65052;Chief of Staff;Birger Ljungberg;1933;1964;1999;SD;School of Defence;High;M14007;X
65053;Chief of Staff;Birger Frederik Motzfeldt;1944;1964;1999;SD;School of Manoeuvre;Medium;M14076;X
65054;Chief of Staff;Johan Beichmann;1942;1964;1999;ML;School of Mass Combat;Very High;M14077;X
65055;Chief of Staff;Wilhelm von Tangen-Hansteen;1946;1964;1999;ML;School of Fire Support;Very High;M14078;X
65056;Chief of Staff;Halvor Hansson;1946;1964;1999;ML;School of Psychology;Very High;M14079;X
65057;Chief of Army;Otto Ruge;1940;1964;1999;SD;Guns and Butter Doctrine;Medium;M14075;X
65058;Chief of Army;Olav av Norge;1943;1964;1999;SD;Elastic Defence Doctrine;Very High;M14081;X
65059;Chief of Army;Jørgen Bakke;1942;1964;1999;NS;Decisive Battle Doctrine;Medium;M14082;X
65060;Chief of Navy;Henry Diesen;1937;1964;1999;SD;Open Seas Doctrine;Medium;M14083;X
65061;Chief of Navy;Gunner Hovdenak;1941;1964;1999;SD;Decisive Naval Battle Doctrine;Medium;M14084;X
65062;Chief of Navy;Christopher Meyer;1938;1964;1999;ML;Base Control Doctrine;Medium;M14085;X
65063;Chief of Navy;Hans Corneliussen;1941;1964;1999;ML;Indirect Approach Doctrine;Medium;M14086;X
65064;Chief of Navy;Thorleif Fjeldstad;1941;1964;1999;FA;Indirect Approach Doctrine;Medium;M14087;X
65065;Chief of Navy;Kjeld Stub Irgens;1942;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;6032;X
65066;Chief of Air Force;Hjalmar Riiser-Larsen;1937;1964;1999;SD;Army Aviation Doctrine;Medium;M14089;X
65067;Chief of Air Force;Bjarne Øen;1945;1964;1999;SD;Vertical Envelopment Doctrine;Medium;M14090;X
65068;Chief of Air Force;Harald Bruusgaard;1933;1964;1999;SL;Naval Aviation Doctrine;Medium;M14091;X
65069;Chief of Air Force;Carl Gulliksen;1937;1964;1999;SL;Air Superiority Doctrine;Medium;M14092;X
65070;Chief of Air Force;Trygve Klingenberg;1937;1964;1999;SL;Army Aviation Doctrine;Medium;M14093;X
65071;Chief of Air Force;Ole Reistad;1939;1964;1999;SL;Carpet Bombing Doctrine;Medium;M14094;X
65072;Head of Military Intelligence;Carl Fröhlich Hansen;1945;1964;1999;FA;Industrial Specialist;Low;M14063;X
65073;Head of State;Josef Terboven;1933;1964;1999;FA;Resigned Generalissimo;High;M14011;X
65074;Head of Government;Vidkun Quisling;1933;1964;1999;FA;Corporate Suit;High;M14012;X
65075;Foreign Minister;Vidkun Quisling;1933;1964;1999;FA;The Cloak N Dagger Schemer;High;M14012;X
65076;Minister of Security;Jonas Lie;1933;1964;1999;NS;Crime Fighter;High;M14015;X
65077;Head of Military Intelligence;Oliver Møystad;1933;1964;1999;FA;Dismal Enigma;High;M14016;X
65078;Chief of Staff;Sverre Riisnæs;1933;1964;1999;FA;School of Defence;High;M14017;X
65079;Chief of Army;Konrad Sundlo;1933;1964;1999;FA;Static Defence Doctrine;High;M14018;X
65080;Chief of Navy;Bertel Bruun;1933;1964;1999;FA;Open Seas Doctrine;Medium;M14019;X
65081;Chief of Air Force;Trygve Gran;1933;1964;1999;FA;Air Superiority Doctrine;High;M14020;X
65082;Head of State;Adam Egede Nissen;1933;1964;1999;ST;Insignificant Layman;High;M14021;X
65083;Head of Government;Emil Lövlien;1933;1964;1999;ST;Smiling Oilman;High;M14022;X
65084;Foreign Minister;Peder Furubotn;1933;1964;1999;LE;Ideological Crusader;Medium;M14023;X
65085;Minister of Armament;Henry Wilhelm Kristiansen;1933;1964;1999;ST;Military Entrepreneur;High;M14024;X
65086;Minister of Security;Samuel Titlestad;1933;1964;1999;LE;Prince of Terror;High;M14025;X
65087;Head of Military Intelligence;Asbjørn Sunde;1933;1964;1999;ST;Political Specialist;Very High;M14026;X
65088;Chief of Staff;Arne Gauslå;1933;1964;1999;LE;School of Defence;High;M14027;X
65089;Chief of Army;Arne Gauslå;1933;1964;1999;LE;Elastic Defence Doctrine;Medium;M14027;X
65090;Chief of Navy;Skule Storheil;1933;1964;1999;LWR;Decisive Naval Battle Doctrine;Medium;M14029;X
65091;Chief of Air Force;Henrik Norby;1933;1964;1999;LWR;Carpet Bombing Doctrine;Medium;M14030;X
65092;Head of Government;Oscar F. Torp;1951;1964;1999;SD;Smiling Oilman;High;M14051;X
65093;Minister of Armament;Nils Langhelle;1951;1964;1999;SD;Resource Industrialist;High;M14097;X
65094;Minister of Security;Oscar C. Gundersen;1946;1964;1999;SD;Silent Lawyer;High;M14098;X
65095;Chief of Air Force;Einar Sem-Jacobsen;1914;1933;1999;ML;Army Aviation Doctrine;Very High;2877;X
65096;Chief of Navy;Karl Griffin-Dawes;1914;1933;1999;ML;Decisive Naval Battle Doctrine;High;3921;X
65097;Chief of Staff;Christian Holtfodt;1914;1933;1999;ML;School of Psychology;High;unknownminister;X
65098;Foreign Minister;Nils Ihlen;1914;1933;1999;SL;Great Compromiser;High;3922;X
65099;Foreign Minister;Christian Michelet;1920;1933;1999;SC;Biased Intellectual;High;unknownminister;X
65100;Foreign Minister;Arnold Ræstad;1921;1933;1999;SL;Biased Intellectual;High;3923;X
65101;Foreign Minister;Johan Mowinckel;1921;1933;1999;SL;Great Compromiser;High;2878;X
65102;Head of Government;Jens Bratlie;1914;1933;1999;SC;Old General;High;2879;X
65103;Head of Government;Otto Halvorsen;1920;1933;1999;SC;Silent Workhorse;High;2880;X
65104;Head of Government;Abraham Berge;1923;1933;1999;SL;Happy Amateur;High;3924;X
65105;Head of Government;Johan Mowinckel;1924;1933;1999;SL;Corporate Suit;High;2878;X
65106;Head of Military Intelligence;Trygve Frivold Graff-Vang;1914;1933;1999;SL;Naval Intelligence Specialist;High;2881;X
65107;Head of State;Håakon VII;1914;1933;1999;PA;Popular Figurehead;High;2882;X
65108;Head of State;Håakon VII;1914;1933;1999;SL;Popular Figurehead;High;2882;X
65109;Head of State;Jens Bratlie;1914;1933;1999;SC;Resigned Generalissimo;High;2879;X
65110;Head of State;Otto Halvorsen;1920;1933;1999;SC;Benevolent Gentleman;High;2880;X
65111;Head of State;Otto Blehr;1921;1933;1999;SL;Benevolent Gentleman;High;2883;X
65112;Head of State;Abraham Berge;1923;1933;1999;SL;Insignificant Layman;High;3924;X
65113;Head of State;Johan Mowinckel;1924;1933;1999;SL;Autocratic Charmer;High;2878;X
