OTT;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
720001;Head of State;Abdul Hamid II;1933;1964;1999;PA;Pig-headed Isolationist;High;M549001;X
720002;Head of Government;Abdulhamid Talaat Pasha;1933;1964;1999;PA;Political Protege;High;M549002;X
720003;Foreign Minister;Said Halim;1933;1964;1999;PA;Great Compromiser;Very High;2902;X
720004;Minister of Armament;Kedir Enver Pasha;1933;1964;1999;PA;Corrupt Kleptocrat;Medium;M549004;X
720005;Minister of Security;Haslim Nazim Pasha;1933;1964;1999;PA;Back Stabber;Medium;M549005;X
720006;Head of Military Intelligence;Kadir Moncef Bey;1933;1964;1999;PA;Logistics Specialist;Medium;M549006;X
720007;Chief of Staff;Cahit Vedat Pasha;1933;1964;1999;PA;School of Fire Support;Medium;M549007;X
720008;Chief of Army;Mustapha Kemal Pasha;1933;1964;1999;PA;Elastic Defence Doctrine;Medium;M549008;X
720009;Chief of Navy;Huseyn Rauf;1933;1964;1999;PA;Indirect Approach Doctrine;Medium;M549009;X
720010;Chief of Air Force;Kedir Enver Pasha;1933;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M549010;X
720011;Head of State;Muhammed VI Khan;1933;1964;1999;SC;Weary Stiffneck;High;M549011;X
720012;Head of State;Ahmad Nikhad;1933;1964;1999;ML;Autocratic Charmer;High;M549012;X
720013;Head of State;Osman Fuad;1933;1964;1999;SD;Die-hard Reformer;High;M549013;X
720014;Head of Government;Hussein Avni Pasha;1933;1964;1999;SC;Old General;High;M549014;X
720015;Head of Government;Refik Semir Bey;1933;1964;1999;ML;Smiling Oilman;High;M549015;X
720016;Head of Government;Ahmed Tsirri Bey;1933;1964;1999;SD;Corporate Suit;High;M549016;X
720017;Foreign Minister;Omar Lattas Pasha;1940;1964;1999;PA;General Staffer;High;M549017;X
720018;Foreign Minister;Abdul Majid Khan;1941;1964;1999;PA;Apologetic Clerk;High;M549018;X
720019;Foreign Minister;Mehmed Namid Kemal Bey;1933;1964;1999;SC;Biased Intellectual;High;M549019;X
720020;Foreign Minister;Basir Rami Bey;1933;1964;1999;ML;Iron Fisted Brute;High;M549020;X
720021;Foreign Minister;Gaafar Wali Pasha;1933;1964;1999;SD;Great Compromiser;High;M549021;X
720022;Foreign Minister;Ali Visab;1943;1964;1999;SD;Ideological Crusader;High;M549022;X
720023;Minister of Armament;Ali Emin Pasha;1942;1964;1999;PA;Theoretical Scientist;Medium;M549023;X
720024;Minister of Armament;Hussein Kamil;1933;1964;1999;SC;Air to Ground Proponent;Medium;M549024;X
720025;Minister of Armament;Erkan Djavid Pasha;1939;1964;1999;SC;Administrative Genius;Medium;M549025;X
720026;Minister of Armament;Yussef Hamid Bey;1933;1964;1999;ML;Military Entrepreneur;Medium;M549026;X
720027;Minister of Armament;Ibrahim Shinassi;1933;1964;1999;SD;Submarine Proponent;Medium;M549027;X
720028;Minister of Armament;Udi Cemil Bey;1941;1964;1999;SD;Infantry Proponent;Medium;M549028;X
720029;Minister of Security;Ramazan Dogramaci;1941;1964;1999;PA;Efficient Sociopath;Medium;M549029;X
720030;Minister of Security;Eskibaskan Dahmet Bey;1933;1964;1999;SC;Prince of Terror;Medium;M549030;X
720031;Minister of Security;Hurpit Gelik;1941;1964;1999;SC;Silent Lawyer;Medium;M549031;X
720032;Minister of Security;Arif Dajani Pasha;1933;1964;1999;ML;Crime Fighter;Medium;M549032;X
720033;Minister of Security;Omer Sevki Bey;1933;1964;1999;SD;Compassionate Gentleman;Medium;M549033;X
720034;Head of Military Intelligence;Hamit Sahap Bey;1933;1964;1999;SC;Technical Specialist;Medium;M549034;X
720035;Head of Military Intelligence;Oktan Halis;1933;1964;1999;ML;Naval Intelligence Specialist;Medium;M549035;X
720036;Head of Military Intelligence;Mohammed Serageddin Pasha;1933;1964;1999;SD;Dismal Enigma;Medium;M549036;X
720037;Chief of Staff;Ismet Inönu Pasha;1941;1964;1999;PA;School of Defence;Medium;M549037;X
720038;Chief of Staff;Topal Osman;1933;1964;1999;SC;School of Psychology;Medium;M549038;X
720039;Chief of Staff;Mehmed Kiamil Pasha;1933;1964;1999;ML;School of Mass Combat;Medium;M549039;X
720040;Chief of Staff;Osman Fuad;1933;1964;1999;SD;School of Manoeuvre;Medium;M549013;X
720041;Chief of Army;Hussein Avni Pasha;1933;1964;1999;SC;Static Defence Doctrine;Medium;M549014;X
720042;Chief of Army;Ekmelledin Ülkü;1933;1964;1999;ML;Decisive Battle Doctrine;Medium;M549042;X
720043;Chief of Army;Fevsi Tülin;1933;1964;1999;SD;Armoured Spearhead Doctrine;Medium;M549043;X
720044;Chief of Navy;Abdul Hamid Zia Pasha;1933;1964;1999;SC;Decisive Naval Battle Doctrine;Medium;M549044;X
720045;Chief of Navy;Ahmad Nikhad;1933;1964;1999;ML;Base Control Doctrine;Medium;M549012;X
720046;Chief of Navy;Hamit Perikanovlu;1933;1964;1999;SD;Power Projection Doctrine;Medium;M549046;X
720047;Chief of Air Force;Muhammed VI Khan;1933;1964;1999;SC;Air Superiority Doctrine;Medium;M549011;X
720048;Chief of Air Force;Deniz Uche;1933;1964;1999;ML;Army Aviation Doctrine;Medium;M549048;X
720049;Chief of Air Force;Meshut Serif Pasha;1933;1964;1999;SD;Carpet Bombing Doctrine;Medium;M549049;X
720050;Head of State;Abdülhamid II;1908;1918;1999;PA;autocratic charmer;Medium;1657;X
720051;Head of State;Mehmed V;1908;1919;1999;SC;weary stiffneck;Medium;2917;X
720052;Head of State;Mehmed VI;1908;1926;1999;SC;insignificant layman;Medium;3779;X
720053;Head of State;Abdülmecid II;1908;1944;1999;SC;popular figurehead;Medium;2545;X
720054;Head of Government;Avlonyali Mehmed Ferid;1908;1914;1999;PA;political protege;Medium;2555;X
720055;Head of Government;Mehmed Said;1908;1914;1999;SC;flamboyant tough guy;Medium;3771;X
720056;Head of Government;Hüseyin Hilmi;1908;1922;1999;SC;backroom backstabber;Medium;3757;X
720057;Head of Government;Ahmed Tevfik Okday;1908;1936;1999;SC;silent workhorse;Medium;2549;X
720058;Head of Government;Ibrahim Hakki;1908;1918;1999;SC;smiling oilman;Medium;3761;X
720059;Head of Government;Ahmed Muhtar;1908;1919;1999;SC;naive optimist;Medium;2551;X
720060;Head of Government;Kibrisli Mehmed Kamil;1908;1913;1999;SC;corporate suit;Medium;3764;X
720061;Head of Government;Mahmud Shevket;1908;1913;1999;SC;smiling oilman;Medium;3767;X
720062;Head of Government;Said Halim;1908;1921;1999;SC;silent workhorse;Medium;2902;X
720063;Head of Government;Mehmed Talat;1908;1921;1999;SC;happy amateur;Medium;3773;X
720064;Head of Government;Ahmed Izzet;1908;1937;1999;SC;backroom backstabber;Medium;2550;X
720065;Head of Government;Damat Mehmed Ferit;1908;1923;1999;SC;ambitious union boss;Medium;2556;X
720066;Head of Government;Düztaban Ali Riza;1908;1932;1999;SC;flamboyant tough guy;Medium;2558;X
720067;Head of Government;Salih Hulusi Kezrak;1908;1939;1999;SC;political protege;Medium;7753;X
720068;Foreign Minister;Ahmed Tevfik Okday;1908;1936;1999;PA;iron fisted brute;Medium;2549;X
720069;Foreign Minister;Mehmed Rifat;1908;1925;1999;SC;general staffer;Medium;unknownminister;X
720070;Foreign Minister;Ibrahim Hakki;1908;1918;1999;SC;ideological crusader;Medium;3761;X
