PAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
405001;Head of State;Harmodio Arías de la Madrid;1932;1964;1999;ML;Autocratic Charmer;High;M95001;X
405002;Head of Government;Harmodio Arías de la Madrid;1932;1964;1999;ML;Corporate Suit;High;M95001;X
405003;Foreign Minister;Narciso Garay Díaz;1933;1964;1999;SL;Ideological Crusader;Medium;M95003;X
405004;Minister of Armament;Daniel C. Pinzon;1933;1964;1999;ML;laissez-faire capitalist;Medium;M95004;X
405005;Minister of Security;Ignacio E. Mendoza;1933;1964;1999;SL;Back Stabber;Medium;M95005;X
405006;Head of Military Intelligence;Ezequeil Fernandez Jaen;1933;1964;1999;ML;Dismal Enigma;Medium;M95006;X
405007;Chief of Staff;Juan Remón;1933;1964;1999;SL;School of Psychology;Medium;M95007;X
405008;Chief of Army;Bolivar Villarino;1933;1964;1999;ML;Guns and Butter Doctrine;Medium;M95008;X
405009;Chief of Navy;Juan A. Hernandez;1933;1964;1999;SL;Decisive Naval Battle Doctrine;Medium;M95009;X
405010;Chief of Air Force;Juan Remón;1933;1964;1999;ML;Naval Aviation Doctrine;Medium;M95007;X
405011;Head of State;Juan Demosthenes Arosemana;1933;1964;1999;SC;Resigned Generalissimo;High;M95031;X
405012;Head of State;Arnulfo Arías de la Madrid;1940;1964;1999;ML;Popular Figurehead;High;M95032;X
405013;Head of State;Riccardo de la Guardia;1941;1964;1999;PA;Powerhungry Demagogue;High;M95013;X
405014;Head of State;Arnulfo Arías de la Madrid;1945;1964;1999;SL;Autocratic Charmer;High;M95034;X
405015;Head of State;Enrique Jimenez Brín;1946;1964;1999;PA;Stern Imperialist;High;M95035;X
405016;Head of Government;Carlos Zavala;1933;1964;1999;SC;Old Admiral;High;M95036;X
405017;Head of Government;Arnulfo Arías de la Madrid;1940;1964;1999;ML;Corporate Suit;High;M95032;X
405018;Head of Government;Augusto Samuel Boyd;1941;1964;1999;PA;Ambitious Union Boss;High;M95038;X
