PAR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
200001;Head of State;Eusebio Ayala;1933;1964;1999;ML;Benevolent Gentleman;High;M42001;X
200002;Head of Government;Eusebio Ayala;1933;1964;1999;ML;Corporate Suit;High;M42001;X
200003;Foreign Minister;Luís Alberto Riart;1933;1964;1999;ML;The Cloak N Dagger Schemer;Medium;M42003;X
200004;Minister of Armament;Federico Chaves;1933;1964;1999;ML;Infantry Proponent;Medium;M42004;X
200005;Minister of Security;Nicolas Delgado;1933;1964;1999;ML;Prince of Terror;Medium;M42005;X
200006;Head of Military Intelligence;Juan Manuel Frutos;1933;1964;1999;ML;Logistics Specialist;Medium;M42006;X
200007;Chief of Staff;Igor Ern;1933;1964;1999;ML;School of Defence;Medium;M42007;X
200008;Chief of Army;Manuel T. Aponte;1933;1964;1999;ML;Static Defence Doctrine;Medium;M42008;X
200009;Chief of Navy;Manuel T. Aponte;1933;1964;1999;ML;Indirect Approach Doctrine;Medium;M42008;X
200010;Chief of Air Force;Vicente Almonacid;1933;1964;1999;ML;Air Superiority Doctrine;Medium;M42010;X
200011;Head of State;Rafael Franco;1933;1964;1999;SD;Resigned Generalissimo;High;M42047;X
200012;Head of State;Felix Paiva;1937;1964;1999;SC;Insignificant Layman;High;M42062;X
200013;Head of State;José Estigarribia Insaurralde;1939;1964;1999;SD;Autocratic Charmer;High;M42063;X
200014;Head of State;Higenio Morinigo Martinez;1940;1964;1999;PA;Barking Buffoon;High;M42064;X
200015;Head of Government;Eugenio Garay;1933;1964;1999;SD;Ambitious Union Boss;High;M42065;X
200016;Head of Government;Felix Paiva;1937;1964;1999;SC;Smiling Oilman;High;M42062;X
200017;Head of Government;José Estigarribia Insaurralde;1939;1964;1999;SD;Happy Amateur;High;M42063;X
200018;Head of Government;Higenio Morinigo Martinez;1940;1964;1999;PA;Old General;High;M42064;X
200019;Head of Government;Raimundo Rolon Villasanti;1944;1964;1999;SC;Political Protege;High;M42069;X
200020;Foreign Minister;Juan Stefanich;1933;1964;1999;LWR;Ideological Crusader;Medium;M42049;X
200021;Foreign Minister;Cecilio Báez;1937;1964;1999;SD;Iron Fisted Brute;Medium;M42072;X
200022;Foreign Minister;Luís Avelino Argaña;1937;1964;1999;SL;Great Compromiser;Medium;M42041;X
200023;Foreign Minister;Justo Pastór Prieto;1939;1964;1999;SC;Ideological Crusader;Medium;M42074;X
200024;Foreign Minister;Elías Ayala;1939;1964;1999;SC;Biased Intellectual;Medium;M42043;X
200025;Foreign Minister;Tomas A. Salomoni;1939;1964;1999;SD;Ideological Crusader;Medium;M42076;X
200026;Foreign Minister;Luís Avelino Argaña;1940;1964;1999;PA;Great Compromiser;Medium;M42041;X
200027;Foreign Minister;Juan Manuel Alvarté;1944;1964;1999;SC;Apologetic Clerk;Medium;M42079;X
200028;Foreign Minister;Horacío Chiriani Cotor;1945;1964;1999;PA;Ideological Crusader;Medium;M42080;X
200029;Foreign Minister;Antonio Alberto Taboada;1946;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M42081;X
200030;Foreign Minister;Cesar Augusto Vasconcellos;1947;1964;1999;PA;General Staffer;Medium;M42082;X
200031;Minister of Armament;Riccardo Odriosola;1933;1964;1999;LWR;Resource Industrialist;Medium;M42051;X
200032;Minister of Armament;José Estigarribia Insaurralde;1937;1964;1999;SC;Military Entrepreneur;Medium;M42063;X
