PER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
150001;Head of State;Reza Pahlavi;1925;1964;1999;PA;Resigned Generalissimo;High;M53001;X
150002;Head of Government;Mahmud Jam;1933;1964;1999;PA;Silent Workhorse;High;M53002;X
150003;Foreign Minister;Inoyatullah Khan Sami;1933;1964;1999;PA;Great Compromiser;Medium;M53003;X
150004;Minister of Armament;Ahmad Khan Nakhjaavan;1933;1964;1999;PA;Battle Fleet Proponent;Medium;M53004;X
150005;Minister of Security;Ali Akbar Deiva;1933;1964;1999;PA;Back Stabber;Medium;M53005;X
150006;Head of Military Intelligence;Reza Mizani;1933;1964;1999;PA;Naval Intelligence Specialist;Medium;M53006;X
150007;Chief of Staff;Reza Pahlavi;1933;1964;1999;PA;School of Defence;Medium;M53001;X
150008;Chief of Army;Abdolreza Afkhami;1933;1964;1999;PA;Static Defence Doctrine;Medium;M53008;X
150009;Chief of Navy;Ahmad Mira Khosravani;1933;1964;1999;PA;Indirect Approach Doctrine;High;M53009;X
150010;Chief of Air Force;Ahmad Khan Nakhjavan;1933;1964;1999;PA;Naval Aviation Doctrine;High;M53004;X
150011;Head of State;Mohammed Reza Pahlavi;1941;1964;1999;SC;Benevolent Gentleman;High;M53011;X
150012;Head of State;Mohammed Reza Pahlavi;1941;1964;1999;PA;Autocratic Charmer;High;M53011;X
150013;Head of Government;Ahmad Matin-Daftary;1939;1964;1999;FA;Naive Optimist;High;M53033;X
150014;Head of Government;Ali Khan Mansour;1940;1964;1999;PA;Old General;High;M53034;X
150015;Head of Government;Mohammed Ali Foroughi;1941;1964;1999;SC;Political Protege;High;M53015;X
150016;Head of Government;Ali Zohayli;1943;1964;1999;SL;Smiling Oilman;High;M53036;X
150017;Head of Government;Ahmeed Qawan as Saltana;1942;1964;1999;SC;Happy Amateur;High;M53037;X
150018;Head of Government;Mohammed Said Maraghei;1944;1964;1999;SC;Silent Workhorse;High;M53038;X
150019;Head of Government;Sayed Morteza Khan Bayat;1944;1964;1999;SL;FLamboyant Tough Guy;High;M53039;X
150020;Head of Government;Ibrahim Hakimi al Mulk;1945;1964;1999;PA;Backroom Backstabber;High;M53040;X
150021;Head of Government;Muhsin Sadr al Araf;1945;1964;1999;SC;Corporate Suit;High;M53041;X
150022;Foreign Minister;Mustafa Adil;1937;1964;1999;PA;Biased Intellectual;Medium;M53042;X
150023;Foreign Minister;Miria Muhsin Khan;1938;1964;1999;PA;Ideological Crusader;Medium;M53043;X
150024;Foreign Minister;Ali Zohayli;1939;1964;1999;PA;Iron Fisted Brute;Low;M53036;X
150025;Foreign Minister;Muzzafar Alam;1939;1964;1999;PA;Apologetic Clerk;Medium;M53045;X
150026;Foreign Minister;Ibrahim Alam;1940;1964;1999;FA;The Cloak N Dagger Schemer;Medium;M53046;X
150027;Foreign Minister;Amari Jawad;1940;1964;1999;FA;Biased Intellectual;Medium;M53047;X
150028;Foreign Minister;Ali Zohayli;1941;1964;1999;SL;The Cloak N Dagger Schemer;Medium;M53036;X
150029;Foreign Minister;Mohammed Said Maraghei;1942;1964;1999;SC;Great Compromiser;High;M53038;X
150030;Foreign Minister;Nusrullah Intizam;1944;1964;1999;SL;Biased Intellectual;Medium;M53051;X
150031;Foreign Minister;Anushirvan Sepahbody;1945;1964;1999;PA;Apologetic Clerk;Medium;M53052;X
150032;Foreign Minister;Abul Qasim Najm;1945;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M53053;X
150033;Foreign Minister;Ahmeed Qawan as Saltana;1946;1964;1999;SC;Ideological Crusader;High;M53037;X
150034;Foreign Minister;Mohammed Mossadeq;1946;1964;1999;SL;The Cloak N Dagger Schemer;Medium;M53013;X
150035;Minister of Armament;Reza Mizani;1937;1964;1999;PA;Resource Industrialist;Medium;M53006;X
150036;Minister of Armament;Mirza Riza Arfa Dowleh;1937;1964;1999;PA;Infantry Proponent;Medium;M53057;X
150037;Minister of Armament;Alfred Rudolph Zimmermann;1938;1964;1999;SC;laissez-faire capitalist;Medium;M53014;X
150038;Minister of Armament;Ahmad Khan Nakhjavan;1938;1964;1999;PA;Air to Sea Proponent;High;M53004;X
150039;Minister of Armament;Ahmad Mira Khosravani;1939;1964;1999;PA;Submarine Proponent;High;M53009;X
150040;Minister of Armament;Abdolreza Afkhami;1939;1964;1999;FA;Military Entrepreneur;Medium;M53008;X
150041;Minister of Armament;Mohammed Nakhjavani;1940;1964;1999;FA;Tank Proponent;Medium;M53062;X
150042;Minister of Armament;Morteza Yazdi;1940;1964;1999;FA;Air Superiority Proponent;Medium;M53024;X
150043;Minister of Armament;Sayyid al-Din Tabataba'i;1941;1964;1999;SC;Battle Fleet Proponent;Medium;M53012;X
150044;Minister of Armament;Zoka Dowleh;1943;1964;1999;SL;Theoretical Scientist;Medium;M53065;X
150045;Minister of Armament;Mohammed Bahrami;1944;1964;1999;SC;Strategic Air Proponent;Medium;M53026;X
150046;Minister of Armament;Zoka Dowleh;1945;1964;1999;PA;Tank Proponent;Medium;M53065;X
150047;Minister of Armament;Ja'fer Pishevari;1945;1964;1999;SC;Resource Industrialist;Medium;M53023;X
150048;Minister of Armament;Anushirvan Sepahbody;1946;1964;1999;SC;Administrative Genius;Medium;M53052;X
150049;Minister of Security;Soleiman Mirza;1933;1964;1999;PA;Crime Fighter;Medium;M53022;X
150050;Minister of Security;Mirza Riza Arfa Dowleh;1933;1964;1999;PA;Back Stabber;Medium;M53057;X
150051;Minister of Security;Ali Mansour;1938;1964;1999;PA;Man of the People;Medium;M53034;X
