PHI;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
325001;Head of State;Manuel Quezon;1933;1964;1999;SL;Die-hard Reformer;High;M50001;X
325002;Head of Government;Sergio Osmeña;1933;1964;1999;SL;Silent Workhorse;High;M50002;X
325003;Foreign Minister;Quintin Paredes;1933;1964;1999;SL;Apologetic Clerk;Low;M50003;X
325004;Minister of Armament;Elpidio Quirino;1933;1964;1999;SL;laissez-faire capitalist;Medium;M50004;X
325005;Minister of Security;Jose Yulo;1933;1964;1999;SL;Compassionate Gentleman;Medium;M50005;X
325006;Head of Military Intelligence;Benito N. Ebuen;1933;1964;1999;SL;Logistics Specialist;High;M50006;X
325007;Chief of Staff;Paulino Santos;1933;1964;1999;SL;School of Psychology;Medium;M50007;X
325008;Chief of Army;Leoncio S. Tan;1933;1964;1999;SL;Guns and Butter Doctrine;Very High;M50008;X
325009;Chief of Navy;Santiago Nuval;1933;1964;1999;SL;Open Seas Doctrine;Medium;M50009;X
325010;Chief of Air Force;Pelagio Cruz;1933;1964;1999;SL;Army Aviation Doctrine;Medium;M50010;X
325011;Head of State;Elpidio Quirino;1933;1964;1999;SC;Pig-headed Isolationist;High;M50004;X
325012;Head of State;Emilio Aguinaldo;1933;1964;1999;SD;Popular Figurehead;High;M50032;X
325013;Head of State;Juan Sumulong;1941;1964;1999;SD;Barking Buffoon;High;M50033;X
325014;Head of State;Sergio Osmeña;1944;1964;1999;SL;Stern Imperialist;High;M50002;X
325015;Head of State;Manuel Roxas;1945;1964;1999;SL;Resigned Generalissimo;High;M50035;X
325016;Head of Government;Elpidio Quirino;1933;1964;1999;SC;Silent Workhorse;High;M50004;X
325017;Head of Government;Rafel Liwanag;1933;1964;1999;SD;Political Protege;High;M50037;X
325018;Head of Government;Juan Sumulong;1941;1964;1999;SD;Happy Amateur;High;M50033;X
325019;Foreign Minister;Manuel Quezon;1937;1964;1999;SL;the cloak n dagger schemer;High;M50001;X
325020;Foreign Minister;Joaquin Elizalde;1938;1964;1999;SL;Great Compromiser;High;M50040;X
325021;Foreign Minister;Sergio Osmeña;1939;1964;1999;SL;Iron Fisted Brute;Low;M50002;X
325022;Foreign Minister;Manuel Quadrino;1940;1964;1999;SL;Biased Intellectual;Very Low;M50042;X
325023;Foreign Minister;Juan Sumulong;1941;1964;1999;SD;Biased Intellectual;Medium;M50033;X
325024;Foreign Minister;Elpidio Quirino;1933;1964;1999;SC;Ideological Crusader;Medium;M50004;X
325025;Foreign Minister;Ferdinand Marcos;1945;1964;1999;SC;Iron Fisted Brute;Medium;M50013;X
