QUE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
740001;Head of State;H.R.H. Louis Napoleon;1933;1964;1999;PA;Autocratic Charmer;High;M582001;X
740002;Head of Government;Adelard Godbout;1933;1964;1999;PA;Naive Optimist;High;M582002;X
740003;Foreign Minister;David Roux;1933;1964;1999;PA;The Cloak N Dagger Schemer;High;M582003;X
740004;Minister of Armament;Romain Barriere;1933;1964;1999;PA;Battle Fleet Proponent;Medium;M582004;X
740005;Minister of Security;Jacques Moreau;1933;1964;1999;PA;Man of the People;Medium;M582005;X
740006;Head of Military Intelligence;Pierre La Liberte;1933;1964;1999;PA;Industrial Specialist;Medium;M582006;X
740007;Chief of Staff;Pierre Boutet;1933;1964;1999;PA;School of Psychology;Medium;L52008;X
740008;Chief of Army;Pierre Leclerc;1933;1964;1999;PA;Guns and Butter Doctrine;Medium;L52035;X
740009;Chief of Navy;Antoine Powell;1933;1964;1999;PA;Open Seas Doctrine;Medium;M582009;X
740010;Chief of Air Force;Jean Gabriel Fultz;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;L52103;X
