SAF;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
425001;Head of State;G.H.H. Villiers Lord Clarendon;1931;1964;1999;ML;Stern Imperialist;High;M70001;X
425002;Head of Government;James Hertzog;1933;1964;1999;ML;Old General;High;M70002;X
425003;Foreign Minister;James Hertzog;1933;1964;1999;ML;General Staffer;Very High;M70002;X
425004;Minister of Armament;Nicolaas Havenga;1933;1964;1999;ML;Laissez-Faire Capitalist;Very High;M70004;X
425005;Minister of Security;Jan C. Smuts;1933;1964;1999;ML;Man of the People;High;M70005;X
425006;Head of Military Intelligence;Jan C. Smuts;1933;1964;1999;ML;Logistics Specialist;Medium;M70005;X
425007;Chief of Staff;Pierre van Ryneveld;1933;1964;1999;ML;School of Manoeuvre;Very High;M70007;X
425008;Chief of Army;Jan C. Smuts;1933;1964;1999;ML;Armoured Spearhead Doctrine;Very High;M70005;X
425009;Chief of Navy;Pierre Oliver-Knoll;1933;1964;1999;ML;Open Seas Doctrine;Very High;M70009;X
425010;Chief of Air Force;Pierre van Ryneveld;1933;1964;1999;ML;Air Superiority Doctrine;Very High;M70007;X
425011;Head of State;G.H.H. Villiers Lord Clarendon;1931;1964;1999;SC;Stern Imperialist;High;M70001;X
425012;Head of State;Sir Patrick Duncan;1937;1964;1999;ML;Autocratic Charmer;High;M70023;X
425013;Head of State;Sir Patrick Duncan;1937;1964;1999;SC;Autocratic Charmer;High;M70023;X
425014;Head of State;Nicolaas J. de Wet;1943;1964;1999;SC;Insignificant Layman;High;M70025;X
425015;Head of State;Nicolaas J. de Wet;1943;1964;1999;ML;Insignificant Layman;High;M70025;X
425016;Head of State;Gideon B. van Zyl;1947;1964;1999;ML;Pig-headed Isolationist;High;M70027;X
425017;Head of State;Gideon B. van Zyl;1947;1964;1999;SC;Pig-headed Isolationist;High;M70027;X
425018;Head of Government;D. F. Malan;1933;1964;1999;SC;Flamboyant Tough Guy;High;M70029;X
425019;Head of Government;Jan C. Smuts;1938;1964;1999;ML;Backroom Backstabber;High;M70005;X
425020;Foreign Minister;Gert Cronje;1933;1964;1999;PA;Iron Fisted Brute;High;M70031;X
425021;Foreign Minister;Eric H. Louw;1933;1964;1999;SC;Biased Intellectual;Very High;M70032;X
425022;Foreign Minister;Reginald Blankenberg;1937;1964;1999;SC;Biased Intellectual;High;M70033;X
425023;Foreign Minister;Graham Botha;1938;1964;1999;ML;Apologetic Clerk;High;M70034;X
425024;Foreign Minister;Jan C. Smuts;1919;1964;1999;ML;Ideological Crusader;Very High;M70005;X
425025;Foreign Minister;E.G. Jansen;1941;1964;1999;ML;Great Compromiser;High;M70036;X
425026;Foreign Minister;Pierre van Ryneveld;1941;1964;1999;SC;General Staffer;Very High;M70007;X
425027;Foreign Minister;L. J. du Plessis;1943;1964;1999;PA;Ideological Crusader;High;M70013;X
425028;Foreign Minister;D. F. Malan;1943;1964;1999;SC;The Cloak N Dagger Schemer;medium;M70029;X
425029;Minister of Armament;C. de Weenburg du Toit;1933;1964;1999;PA;Tank Proponent;Medium;M70015;X
425030;Minister of Armament;J. G. Strijdom;1937;1964;1999;PA;Resource Industrialist;Very High;M70041;X
425031;Minister of Armament;James Hertzog;1938;1964;1999;ML;Infantry Proponent;Very High;M70002;X
425032;Minister of Armament;S.P. Le Roux;1938;1964;1999;ML;Administrative Genius;Low;M70043;X
425033;Minister of Armament;H. J. van der Byl;1939;1964;1999;ML;Theoretical Scientist;Very High;M70045;X
425034;Minister of Armament;W. E. Madeley;1939;1964;1999;ML;Administrative Genius;High;M70046;X
425035;Minister of Armament;Adolf Malan;1940;1964;1999;ML;Air to Ground Proponent;Low;M70047;X
425036;Minister of Armament;Charles T. te Water;1941;1964;1999;ML;Resource Industrialist;High;M70048;X
425037;Minister of Armament;Oswald Pirow;1941;1964;1999;PA;Military Entrepreneur;Medium;M70014;X
425038;Minister of Armament;Cornelis van Zuigenbrogge;1942;1964;1999;SC;Submarine Proponent;Very High;M70050;X
425039;Minister of Armament;Pierre Oliver-Knoll;1943;1964;1999;SC;Battle Fleet Proponent;Very High;M70009;X
425040;Minister of Armament;P.O. Sauer;1943;1964;1999;SC;laissez-faire capitalist;Very High;M70052;X
425041;Minister of Armament;Marinus van Osterkamp;1945;1964;1999;SC;Air to Sea Proponent;Low;M70053;X
425042;Minister of Security;Hendrik F. Verwoerd;1933;1964;1999;SC;Prince of Terror;High;M70055;X
425043;Minister of Security;N. J. van der Merwe;1933;1964;1999;SC;Compassionate Gentleman;High;M70056;X
425044;Minister of Security;C. R. Swart;1937;1964;1999;SC;Silent Lawyer;Very High;M70057;X
425045;Minister of Security;C. F. Stallard;1938;1964;1999;ML;Silent Lawyer;High;M70058;X
425046;Minister of Security;T.E. Dönges;1938;1964;1999;SC;Man of the People;High;M70059;X
425047;Minister of Security;D. F. Malan;1938;1964;1999;SC;Crime Fighter;Low;M70029;X
425048;Minister of Security;E.G. Jansen;1939;1964;1999;ML;Silent Lawyer;High;M70036;X
425049;Minister of Security;J. G. Strijdom;1940;1964;1999;SC;Back Stabber;Very High;M70041;X
425050;Minister of Security;F.C. Erasmus;1941;1964;1999;SC;Efficient Sociopath;Very High;M70063;X
