SAL;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
345001;Head of State;Maximilliano Hernandez Martínez;1931;1964;1999;PA;Resigned Generalissimo;High;M77001;X
345002;Head of Government;Maximilliano Hernandez Martínez;1931;1964;1999;PA;Old General;High;M77001;X
345003;Foreign Minister;Miguel Ángel Araujo;1933;1964;1999;SC;Biased Intellectual;Medium;M77003;X
345004;Minister of Armament;Alberto Goméz Zarate;1933;1964;1999;PA;Infantry Proponent;Medium;M77004;X
345005;Minister of Security;Fidel Cristino Garay;1933;1964;1999;PA;Back Stabber;Medium;M77005;X
345006;Head of Military Intelligence;Oscar A. Bolaños;1933;1964;1999;PA;Industrial Specialist;Medium;M77006;X
345007;Chief of Staff;Marco A. Molina;1933;1964;1999;PA;School of Mass Combat;Medium;M77007;X
345008;Chief of Army;Maximilliano Hernandez Martínez;1931;1964;1999;PA;Elastic Defence Doctrine;High;M77001;X
345009;Chief of Navy;Raul Rodolfí Sanchez;1933;1964;1999;PA;Open Seas Doctrine;Medium;M77009;X
345010;Chief of Air Force;Humbert Aberle;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M77010;X
345011;Head of State;Andrés Ignacio Menéndez;1933;1964;1999;SL;Benevolent Gentleman;High;M77011;X
345012;Head of State;Osmín Aguirre y Salinas;1944;1964;1999;PA;Powerhungry Demagogue;High;M77032;X
345013;Head of State;Salvador Castañeda Castro;1945;1964;1999;SC;Die-hard Reformer;High;M77033;X
345014;Head of Government;Andrés Ignacio Menéndez;1933;1964;1999;SL;Naive Optimist;High;M77011;X
345015;Head of Government;Osmín Aguirre y Salinas;1944;1964;1999;PA;Old General;High;M77032;X
345016;Head of Government;Salvador Castañeda Castro;1945;1964;1999;SC;Smiling Oilman;High;M77033;X
345017;Foreign Minister;Arturo Ramón Avila;1942;1964;1999;SC;The Cloak N Dagger Schemer;Medium;M77013;X
345018;Foreign Minister;Julio Enrique Ávila;1944;1964;1999;SD;Iron Fisted Brute;Medium;M77038;X
345019;Foreign Minister;Alberto Argüello Loucel;1944;1964;1999;PA;Great Compromiser;Medium;M77039;X
345020;Foreign Minister;Hector Escobar Serraño;1945;1964;1999;SC;General Staffer;Medium;M77040;X
345021;Foreign Minister;Joaquin Leiva y Lleida;1946;1964;1999;ML;Biased Intellectual;Medium;M77041;X
345022;Minister of Armament;Pio Romero Bosque;1938;1964;1999;SL;Administrative Genius;Medium;M77012;X
345023;Minister of Armament;Pedro Jaime de Matheu;1938;1964;1999;SC;laissez-faire capitalist;Medium;M77043;X
345024;Minister of Armament;Jose Maria Cuellar;1945;1964;1999;ML;Tank Proponent;Very Low;M77022;X
345025;Minister of Armament;José Gustavo Guerrero;1944;1964;1999;SL;Resource Industrialist;Medium;M77045;X
345026;Minister of Security;Pedro Jaime de Matheu;1937;1964;1999;SL;Man of the People;Medium;M77043;X
345027;Minister of Security;José Adán Parada;1939;1964;1999;PA;Compassionate Gentleman;Medium;M77015;X
345028;Minister of Security;Pedro Jaime de Matheu;1941;1964;1999;SC;Man of the People;Medium;M77043;X
345029;Head of Military Intelligence;Armando Molina Meña;1941;1964;1999;SC;Dismal Enigma;Medium;M77016;X
345030;Head of Military Intelligence;Salvador Peña Trejo;1944;1964;1999;SD;Logistics Specialist;Medium;M77026;X
345031;Head of Military Intelligence;Laura H. de Salazar;1944;1964;1999;SL;Technical Specialist;Medium;M77023;X
345032;Chief of Staff;Andrés Ignacio Menéndez;1938;1964;1999;PA;School of Defence;Medium;M77011;X
345033;Chief of Army;Mauro Espínola Castro;1943;1964;1999;SC;Decisive Battle Doctrine;Medium;M77018;X
345034;Chief of Army;José Angél Castillo;1944;1964;1999;SD;Guns and Butter Doctrine;Low;M77028;X
345035;Chief of Navy;Horacio Carnejo Ibanéz;1940;1964;1999;SC;Indirect Approach Doctrine;Medium;M77019;X
345036;Chief of Air Force;Ricardo Abrego Abrego;1943;1964;1999;SC;Vertical Envelopment Doctrine;Medium;M77020;X
345037;Chief of Air Force;Milton Andrade Cabrera;1944;1964;1999;SD;Army Aviation Doctrine;Medium;M77030;X
345038;Chief of Staff;Osmín Aguirre y Salinas;1944;1964;1999;PA;School of Mass Combat;High;M77032;X
345039;Chief of Army;Osmín Aguirre y Salinas;1944;1964;1999;PA;Elastic Defence Doctrine;High;M77032;X
345040;Minister of Armament;José Gustavo Guerrero;1944;1964;1999;SC;laissez-faire capitalist;Medium;M77045;X
345041;Chief of Staff;Salvador Castañeda Castro;1945;1964;1999;SC;School of Manoeuvre;High;M77033;X
345042;Chief of Army;Hector Escobar Serraño;1945;1964;1999;SC;Armoured Spearhead Doctrine;Medium;M77040;X
345043;Head of State;Augustín Farabundo Martí;1933;1964;1999;LE;Weary Stiffneck;High;M77021;X
345044;Head of Government;Jose Maria Cuellar;1933;1964;1999;LE;Naive Optimist;High;M77022;X
345045;Foreign Minister;Laura H. de Salazar;1933;1964;1999;LWR;Iron Fisted Brute;Medium;M77023;X
345046;Minister of Security;Franco Hernandez Ávila;1933;1964;1999;LE;Compassionate Gentleman;Medium;M77025;X
345047;Chief of Staff;Augustín Farabundo Martí;1933;1964;1999;LE;School of Fire Support;Medium;M77021;X
345048;Head of State;Oscar A. Osorio;1948;1964;1999;PA;Resigned Generalissimo;High;M77065;X
345049;Head of Government;Oscar A. Osorio;1948;1964;1999;PA;Old General;High;M77065;X
345050;Foreign Minister;Franco Amerigo Paz;1948;1964;1999;PA;Iron Fisted Brute;Medium;M77067;X
345051;Minister of Armament;Humberto Costa;1948;1964;1999;PA;Air Superiority Proponent;Medium;M77068;X
345052;Minister of Security;Manuel de Jesús Cordova;1948;1964;1999;PA;Prince of Terror;Medium;M77069;X
345053;Head of Military Intelligence;Reinaldo Galindo Pohl;1948;1964;1999;PA;Naval Intelligence Specialist;Medium;M77070;X
345054;Chief of Staff;Oscar A. Bolaños;1948;1964;1999;PA;School of Defence;High;L360003;X
345055;Chief of Army;Oscar A. Osorio;1948;1964;1999;PA;Decisive Battle Doctrine;High;M77065;X
345056;Chief of Navy;Reinaldo Galindo Pohl;1948;1964;1999;PA;Open Seas Doctrine;Medium;M77070;X
345057;Chief of Air Force;Humberto Costa;1948;1964;1999;PA;Air Superiority Doctrine;Medium;M77068;X
345058;Chief of Army;Manuel de Jesús Cordova;1950;1964;1999;PA;Guns and Butter Doctrine;High;M77069;X
345059;Chief of Army;Manuel Jose Maria Lemus Lopez;1951;1964;1999;PA;Armoured Spearhead Doctrine;High;M77076;X
345060;Chief of Staff;Manuel de Jesús Cordova;1951;1964;1999;PA;School of Fire Support;High;M77069;X
345061;Chief of Air Force;Carlos Carmona;1914;1933;1999;PA;CARPET BOMBING DOCTRINE;Very High;unknownminister;X
345062;Head of Government;Alfonso Quiñónez Molina;1914;1933;1999;PA;Corporate Suit;Very High;3102;X
345063;Head of Government;Carlos Meléndez;1913;1933;1999;PA;Silent Workhorse;Very High;3103;X
345064;Head of Government;Jorge Meléndez Ramírez;1919;1933;1999;PA;Naive Optimist;Very High;3104;X
345065;Head of Military Intelligence;Humberto Aberle;1914;1933;1999;PA;DISMAL ENIGMA;Very High;3105;X
345066;Head of State;Alfonso Quiñónez Molina;1914;1933;1999;PA;Barking Buffoon;Very High;3102;X
345067;Head of State;Carlos Meléndez;1913;1933;1999;PA;Autocratic Charmer;Very High;3103;X
345068;Head of State;Jorge Meléndez Ramírez;1919;1933;1999;PA;Autocratic Charmer;Very High;3104;X
345069;Minister of Armament;Pío Romero Bosque;1919;1933;1999;PA;THEORETICAL SCIENTIST;Very High;3106;X
345070;Foreign Minister;Francisco Martínez Suárez;1914;1933;1999;PA;Great Compromiser;Medium;2451;X
345071;Minister of Security;Carlos Melendez;1913;1919;1999;PA;Man of the People;Medium;2452;X
345072;Chief of Army;José María Peralta Lagos;1913;1933;1999;PA;Guns and Butter Doctrine;Medium;2453;X
345073;Chief of Navy;José María Peralta Lagos;1913;1933;1999;PA;Open Seas Doctrine;Medium;2453;X
345074;Chief of Staff;José María Peralta Lagos;1913;1933;1999;PA;School of Defence;High;2453;X
