SAR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
410001;Head of State;H.H. Charles de Windt Brooke;1933;1964;1999;ML;Resigned Generalissimo;High;M566001;X
410002;Head of Government;Sir Oliver Wilkinson;1933;1964;1999;ML;Ambitious Union Boss;High;M566002;X
410003;Foreign Minister;Ernest Coniston;1933;1964;1999;ML;Great Compromiser;High;M566003;X
410004;Minister of Armament;Charles John Piper;1933;1964;1999;ML;Administrative Genius;Medium;M566004;X
410005;Minister of Security;Sir Herbert Ruddleston;1933;1964;1999;ML;Man of the People;Medium;M566005;X
410006;Head of Military Intelligence;Andrew Brown;1933;1964;1999;ML;Political Specialist;Medium;M566006;X
410007;Chief of Staff;Oliver Moffatt;1933;1964;1999;ML;School of Manoeuvre;Medium;M566007;X
410008;Chief of Army;Orville Wellesley;1933;1964;1999;ML;Decisive Battle Doctrine;Medium;M566008;X
410009;Chief of Navy;Richard Evans;1933;1964;1999;ML;Open Seas Doctrine;Medium;M566009;X
410010;Chief of Air Force;John Barrington;1933;1964;1999;ML;Carpet Bombing Doctrine;Medium;M566010;X
410011;Head of State;Maula Bakhash;1933;1964;1999;PA;Ruthless Powermonger;High;M566011;X
410012;Head of Government;Hashim Madani;1933;1964;1999;PA;Political Protege;High;M566012;X
410013;Foreign Minister;Charles John Piper;1933;1964;1999;PA;Iron Fisted Brute;High;M566004;X
410014;Minister of Armament;John Barrington;1933;1964;1999;PA;Strategic Air Proponent;High;M566010;X
410015;Minister of Security;Daniel Grainger;1933;1964;1999;PA;Compassionate Gentleman;Medium;M566015;X
410016;Head of Military Intelligence;Maurice Hankey;1933;1964;1999;PA;Dismal Enigma;Medium;M566016;X
410017;Chief of Staff;Tan Sri Hussein;1933;1964;1999;PA;School of Psychology;Medium;M566017;X
410018;Chief of Army;Akhir ul-Zaman;1933;1964;1999;PA;Guns and Butter Doctrine;Medium;M566018;X
410019;Chief of Navy;Anwar bin Muhammed;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M566019;X
410020;Chief of Air Force;Abdullah Ahmed;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;M566020;X
