SCO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
760001;Head of State;Harold Harington Balfour;1933;1964;1999;ML;Barking Buffoon;High;M561001;X
760002;Head of Government;John Stuart Lord Borthwick;1933;1964;1999;ML;Silent Workhorse;High;M561002;X
760003;Foreign Minister;Lucius Plantagenet Falkland;1933;1964;1999;ML;Great Compromiser;High;M561003;X
760004;Minister of Armament;James Fitzwarenne DeSpencer;1933;1964;1999;ML;Battle Fleet Proponent;Medium;M561004;X
760005;Minister of Security;Herbrand Earl de la Warr;1933;1964;1999;ML;Back Stabber;Medium;M561005;X
760006;Head of Military Intelligence;John Baron Kinross;1933;1964;1999;ML;Dismal Enigma;Medium;M561006;X
760007;Chief of Staff;Philip Maxwell Balfour;1933;1964;1999;ML;School of Psychology;Medium;L1018;X
760008;Chief of Army;S.T. Hakewill-Smith;1933;1964;1999;ML;Elastic Defence Doctrine;Medium;L1152;X
760009;Chief of Navy;T.L. Bruce-Fraser;1933;1964;1999;ML;Open Seas Doctrine;Medium;L1328;X
760010;Chief of Air Force;Owen Boyd;1933;1964;1999;ML;Army Aviation Doctrine;Medium;L1418;X
760011;Head of State;Charles III Lord Walgrave;1933;1964;1999;PA;Benevolent Gentleman;High;M561011;X
760012;Head of State;Henry McGrew;1933;1964;1999;LWR;Die-hard Reformer;High;M561012;X
760013;Head of Government;James Duke of Abercorn;1933;1964;1999;PA;Backroom Backstabber;High;M561013;X
760014;Head of Government;Ignatius R. Dunnachie;1933;1964;1999;LWR;Happy Amateur;High;M561014;X
760015;Foreign Minister;Charles Duke of Gordon;1933;1964;1999;PA;General Staffer;High;M561015;X
760016;Foreign Minister;Donald Cardross Erskine;1933;1964;1999;LWR;Iron Fisted Brute;High;M561016;X
760017;Minister of Armament;Ian Campbell Gray;1933;1964;1999;PA;Resource Industrialist;Medium;M561017;X
760018;Minister of Armament;Peter Drummond MacDonald;1933;1964;1999;LWR;Military Entrepreneur;Medium;M561018;X
760019;Minister of Security;Charles Earl Breadalbane;1933;1964;1999;PA;Man of the People;Medium;M561019;X
760020;Minister of Security;Malcolm MacDonald;1933;1964;1999;LWR;Compassionate Gentleman;Medium;M561020;X
760021;Head of Military Intelligence;Charles Earl of Southesk;1933;1964;1999;PA;Logistics Specialist;Medium;M561021;X
760022;Head of Military Intelligence;Marie Carmichael Stopes;1933;1964;1999;LWR;Technical Specialist;Medium;M561022;X
760023;Chief of Staff;Harold Franklyn;1933;1964;1999;PA;School of Defence;Medium;L1127;X
760024;Chief of Staff;Richard McCreery;1933;1964;1999;LWR;School of Manoeuvre;Medium;L1216;X
760025;Chief of Army;Andrew McCulloch;1933;1964;1999;PA;Static Defence Doctrine;Medium;L1217;X
760026;Chief of Army;W.M. St.George Kirke;1933;1964;1999;LWR;Decisive Battle Doctrine;Medium;L1181;X
760027;Chief of Navy;Geoffrey Layton;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;L1364;X
760028;Chief of Navy;Anthony Stokes;1933;1964;1999;LWR;Indirect Approach Doctrine;Medium;L1391;X
760029;Chief of Air Force;Perry Keene;1933;1964;1999;PA;Naval Aviation Doctrine;Medium;L1453;X
760030;Chief of Air Force;P.S. Sholto-Douglas;1933;1964;1999;LWR;Carpet Bombing Doctrine;Medium;L1479;X
760031;Minister of Armament;George Buchanan;1939;1964;1999;SL;Resource Industrialist;High;M561031;X
760032;Chief of Air Force;Sir Hugh Dowding;1933;1964;1999;ML;Air Superiority Doctrine;High;L1435;X
760033;Foreign Minister;William Gallacher;1933;1964;1999;LWR;Ideological Crusader;High;M561033;X
760034;Minister of Security;James Moxton;1933;1964;1999;SD;Silent Lawyer;High;M561034;X
760035;Minister of Security;David Maxwell Fyfe;1941;1964;1999;ML;Compassionate Gentleman;High;M1085;X
760036;Foreign Minister;Archibald Ramsay;1943;1964;1999;FA;Iron Fisted Brute;Medium;M1054;X
760037;Foreign Minister;Douglas Duke of Hamilton;1933;1964;1999;PA;The Cloak N Dagger Schemer;High;M561037;X
760038;Chief of Staff;Walter Montagu Douglas Scott;1942;1964;1999;FA;School of Defence;High;6078;x
