SER;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
415001;Head of State;Milan Nedic;1933;1964;1999;FA;Resigned Generalissimo;High;8435;X
415002;Head of Government;Dragisa Cvetkovic;1933;1964;1999;FA;Corporate Suit;High;M20032;X
415003;Foreign Minister;Milan Nedic;1933;1964;1999;FA;Ideological Crusader;High;8435;X
415004;Minister of Armament;Slobodan Jovanovic;1933;1964;1999;FA;Military Entrepreneur;Medium;M20034;X
415005;Minister of Security;Milos Trifunovic;1933;1964;1999;FA;Efficient Sociopath;Medium;M20035;X
415006;Head of Military Intelligence;Bozidar Puric;1933;1964;1999;FA;Technical Specialist;Medium;M20043;X
415007;Chief of Staff;Marko Bozovic;1933;1964;1999;FA;School of Manoeuvre;Medium;L46002;X
415008;Chief of Army;Milan Nedic;1933;1964;1999;FA;Armoured Spearhead Doctrine;Medium;8435;X
415009;Chief of Navy;Marijan Polic;1933;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;L46046;X
415010;Chief of Air Force;Petar Vukcevic;1933;1964;1999;FA;Army Aviation Doctrine;Medium;L46062;X
415011;Head of State;Josip Broz;1933;1964;1999;LWR;Benevolent Gentleman;High;M20021;X
415012;Head of State;Kosta Tanazovic;1933;1964;1999;ML;Popular Figurehead;High;M547012;X
415013;Head of Government;Josip Broz;1933;1964;1999;LWR;Happy Amateur;High;M20021;X
415014;Head of Government;Ivan Subasic;1933;1964;1999;ML;Silent Workhorse;High;M20014;X
415015;Foreign Minister;Isidor Mandrevic;1942;1964;1999;FA;The Cloak N Dagger Schemer;Medium;M547015;X
415016;Foreign Minister;Stanoje Simic;1933;1964;1999;LWR;Apologetic Clerk;Medium;M20023;X
415017;Foreign Minister;Edvard Kardelj;1933;1964;1999;ML;Biased Intellectual;Very High;M20047;X
415018;Foreign Minister;Dragomir Vijic;1941;1964;1999;ML;Iron Fisted Brute;Very High;M547018;X
415019;Minister of Armament;Mihovil Tomandl;1942;1964;1999;FA;Air Superiority Proponent;Medium;M547019;X
415020;Minister of Armament;Milentije Popovic;1933;1964;1999;LWR;Corrupt Kleptocrat;High;M20024;X
415021;Minister of Armament;Davorin Jenko;1942;1964;1999;LWR;Administrative Genius;High;M547021;X
415022;Minister of Armament;Ladislav Polic;1933;1964;1999;ML;laissez-faire capitalist;Medium;M20050;X
415023;Minister of Armament;Vasa Sailovic;1943;1964;1999;ML;Resource Industrialist;Medium;M547023;X
415024;Minister of Security;Harald Turner;1941;1964;1999;FA;Prince of Terror;Medium;M547024;X
415025;Minister of Security;Miljutin Bakar;1942;1964;1999;FA;Compassionate Gentleman;Medium;M547025;X
415026;Minister of Security;Djoda Udovicki;1933;1964;1999;LWR;Silent Lawyer;Medium;M547026;X
415027;Minister of Security;Dragoljub Stefanic;1933;1964;1999;ML;Crime Fighter;Medium;M20061;X
415028;Minister of Security;Militin Milankovic;1939;1964;1999;ML;Man of the People;Medium;M547028;X
415029;Head of Military Intelligence;Leonard Conti;1941;1964;1999;FA;Political Specialist;Medium;M547029;X
415030;Head of Military Intelligence;Laza Kostic;1933;1964;1999;LWR;Industrial Specialist;Medium;M547030;X
415031;Head of Military Intelligence;Mihail Milosajevic;1933;1964;1999;ML;Logistics Specialist;Medium;M20068;X
