SIB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
520001;Head of State;Nikolay Avksentyev;1933;1964;1999;PA;Benevolent Gentleman;High;M522001;X
520002;Head of Government;Vassilij Boldyrev;1933;1964;1999;PA;Naive Optimist;High;M522002;X
520003;Foreign Minister;Viktor N. Pepelyayev;1933;1964;1999;PA;Apologetic Clerk;High;M522003;X
520004;Minister of Armament;Mikhail Nikitin;1933;1964;1999;PA;Strategic Air Proponent;Medium;M522004;X
520005;Minister of Security;Timireva Lazutkin;1933;1964;1999;PA;Man of the People;Medium;M522005;X
520006;Head of Military Intelligence;Pavel Grebhov;1933;1964;1999;PA;Political Specialist;Medium;M522006;X
520007;Chief of Staff;Pyotr Bogasukanov;1933;1964;1999;PA;School of Psychology;Medium;M522007;X
520008;Chief of Army;Yasha Parsinchev;1933;1964;1999;PA;Static Defence Doctrine;Medium;M522008;X
520009;Chief of Navy;Valerik Lesik;1933;1964;1999;PA;Power Projection Doctrine;Medium;M517009;X
520010;Chief of Air Force;Lev Schurkin;1933;1964;1999;PA;Vertical Envelopment Doctrine;Medium;M522010;X
520011;Head of State;Alexander Kolchak;1933;1964;1999;FA;Resigned Generalissimo;High;M522011;X
520012;Head of Government;Pyotr Vologodsky;1933;1964;1999;FA;Political Protege;High;M522012;X
520013;Foreign Minister;Konstantin Igumnov;1933;1964;1999;PA;Iron Fisted Brute;High;M522013;X
520014;Foreign Minister;Aleksei Gavrilovich;1933;1964;1999;PA;Ideological Crusader;High;M522014;X
520015;Foreign Minister;Yakov Pauchenko;1933;1964;1999;FA;Great Compromiser;High;M522015;X
520016;Foreign Minister;Nikolai Burdenko;1933;1964;1999;FA;Apologetic Clerk;High;M522016;X
520017;Foreign Minister;Tikhon Shalamov;1933;1964;1999;FA;The Cloak N Dagger Schemer;High;M522017;X
520018;Minister of Armament;Konstantin Timiryazav;1933;1964;1999;PA;Resource Industrialist;Medium;M522018;X
520019;Minister of Armament;Sergei Petrovich;1933;1964;1999;PA;Infantry Proponent;Medium;M522019;X
520020;Minister of Armament;Vassilij Kramer;1933;1964;1999;FA;Battle Fleet Proponent;Medium;M522020;X
520021;Minister of Armament;Eval Ilyenkov;1933;1964;1999;FA;Resource Industrialist;Medium;M522021;X
520022;Minister of Armament;Ivan Kliun;1933;1964;1999;FA;Infantry Proponent;Medium;M522022;X
520023;Minister of Security;Ivan Obreimov;1933;1964;1999;PA;Back Stabber;Medium;M522023;X
520024;Minister of Security;Nikolai Itsenko;1933;1964;1999;PA;Prince of Terror;Medium;M522024;X
520025;Minister of Security;Pavel Emdin;1933;1964;1999;FA;Prince of Terror;Medium;M522025;X
520026;Minister of Security;Sergei Spasokukotsky;1933;1964;1999;FA;Compassionate Gentleman;Medium;M522026;X
520027;Minister of Security;Andriy Polenov;1933;1964;1999;FA;Back Stabber;Medium;M522027;X
520028;Head of Military Intelligence;Father Nikolay;1933;1964;1999;PA;Dismal Enigma;Medium;M522028;X
520029;Head of Military Intelligence;Nikolai Gumilev;1933;1964;1999;PA;Technical Specialist;Medium;M522029;X
520030;Head of Military Intelligence;Mikhail Ostroumov;1933;1964;1999;FA;Industrial Specialist;Medium;M522030;X
520031;Head of Military Intelligence;Pyotr Fyefilov;1933;1964;1999;FA;Political Specialist;Medium;M522031;X
520032;Head of Military Intelligence;Pyotr Pavlenko;1933;1964;1999;FA;Dismal Enigma;Medium;M522032;X
520033;Chief of Staff;Alexander Kolchak;1933;1964;1999;FA;School of Fire Support;Medium;M522033;X
520034;Chief of Army;Roman Vreden;1933;1964;1999;FA;Armoured Spearhead Doctrine;Medium;M522034;X
520035;Chief of Navy;Alexander Kolchak;1933;1964;1999;FA;Decisive Naval Battle Doctrine;Medium;M522035;X
520036;Chief of Air Force;Mikhail Koudaev;1933;1964;1999;FA;Air Superiority Doctrine;Medium;M522036;X
