SIK;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
420001;Head of State;Sheng Shicai;1933;1964;1999;PA;Resigned Generalissimo;High;3173;X
420002;Head of Government;Xoja Niyaz Haji;1912;1942;1955;LWR;Naive Optimist;Low;3174;X
420003;Foreign Minister;Sheng Shicai;1933;1964;1999;PA;Great Compromiser;Very High;3173;X
420004;Minister of Armament;Habibullah Huseinov;1933;1964;1999;PA;Infantry Proponent;Medium;M72004;X
420005;Minister of Security;Zhang Xiliang;1933;1964;1999;PA;Crooked Kleptocrat;Medium;M72005;X
420006;Head of Military Intelligence;Viktor A.F. Polinov;1933;1964;1999;PA;Industrial Specialist;Medium;M72006;X
420007;Chief of Staff;Sheng Shicai;1933;1964;1999;PA;School of Psychology;Very High;3173;X
420008;Chief of Army;Sheng Shicai;1933;1964;1999;PA;Guns and Butter doctrine;Very High;3173;X
420009;Chief of Navy;Sa Zhenbing;1933;1964;1999;PA;Indirect Approach Doctrine;Medium;M72009;X
420010;Chief of Air Force;Piotr Orlov;1933;1964;1999;PA;Army Aviation Doctrine;Medium;M72010;X
420011;Foreign Minister;Isa Yusuf Alptekin;1933;1940;1977;SC;Apologetic Clerk;Low;6849;X
420012;Minister of Armament;A.V. Fedyunskij;1938;1964;1999;PA;Infantry Proponent;Medium;M72024;X
420013;Minister of Armament;Isa Yusuf Alptekin;1933;1940;1977;SC;Infantry Proponent;Medium;6849;X
420014;Minister of Security;Kunimu Khan;1937;1964;1999;SC;Compassionate Gentleman;Very High;M72014;X
420015;Minister of Security;Ishakjan Monhakiyev;1933;1964;1999;SC;Man of the People;Medium;M72025;X
420016;Head of Military Intelligence;Zhang Xiliang;1938;1964;1999;PA;Dismal Enigma;Medium;M72005;X
420017;Head of Military Intelligence;Dalerim Khan;1938;1964;1999;PA;Political Specialist;Medium;M72016;X
420018;Head of Military Intelligence;Liu Ben;1939;1964;1999;PA;Technical Specialist;Medium;M72026;X
420019;Chief of Staff;Yol Bars;1941;1964;1999;PA;School of Mass Combat;Very Low;M72017;X
420020;Chief of Army;Yol Bars;1942;1964;1999;PA;Elastic Defence Doctrine;Very Low;M72017;X
420021;Head of State;Makhmudsabri;1933;1964;1999;SL;Insignificant Layman;High;M72011;X
420022;Head of Government;Isa Yusuf Alptekin;1933;1940;1977;SL;Corporate Suit;High;6849;X
420023;Minister of Armament;Kunimu Khan;1933;1964;1999;SL;Military Entrepreneur;Very High;M72014;X
420024;Head of State;Sheng Shicai;1933;1964;1999;LWR;Resigned Generalissimo;High;3173;X
420025;Head of Government;Sheng Shicai;1933;1964;1999;LWR;Old General;High;3173;X
420026;Foreign Minister;Sheng Shicai;1933;1964;1999;LWR;Great Compromiser;Very High;3173;X
420027;Chief of Staff;Sheng Shicai;1933;1964;1999;LWR;School of Psychology;Very High;3173;X
420028;Chief of Army;Sheng Shicai;1933;1964;1999;LWR;Guns and Butter doctrine;Undying;3173;X
420029;Chief of Navy;Sa Zhenbing;1933;1964;1999;LE;Indirect Approach Doctrine;Medium;M72009;X
420030;Chief of Air Force;Piotr Orlov;1933;1964;1999;LE;Army Aviation Doctrine;Medium;M72010;X
420031;Head of State;Jin Shuren;1928;1934;1999;PA;Stern Imperialist;High;9595;X
