SLO;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
280001;Head of State;Andrej Hlinka;1933;1964;1999;PA;Barking Buffoon;High;M31001;X
280002;Head of Government;Jozef Tiso;1933;1964;1999;PA;Local tyrant;High;M31002;X
280003;Foreign Minister;Vojtech Tuka;1933;1964;1999;PA;The Cloak N Dagger Schemer;Low;M31003;X
280004;Minister of Armament;Pavol Teplansky;1933;1964;1999;PA;Theoretical Scientist;Medium;M31004;X
280005;Minister of Security;Ferdinand Durcansky;1933;1964;1999;PA;Compassionate Gentleman;Low;M31005;X
280006;Head of Military Intelligence;Jaroslav Kratochvil;1933;1964;1999;PA;Industrial Specialist;High;M31006;X
280007;Chief of Staff;Ferdinand Catlos;1933;1964;1999;PA;School of Manoeuvre;Low;3175;X
280008;Chief of Army;Augustín Malár;1933;1964;1999;PA;Armoured Spearhead Doctrine;High;L70010;X
280009;Chief of Navy;Jozef Hora;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M31009;X
280010;Chief of Air Force;Fritz Gejza;1933;1964;1999;PA;Carpet Bombing Doctrine;Medium;M31010;X
280011;Head of State;Jozef Tiso;1938;1964;1999;FA;Pig-headed Isolationist;High;M31002;X
280012;Head of State;Jozef Tiso;1944;1964;1999;NS;Pig-headed Isolationist;High;M31002;X
280013;Head of State;Karol Sidor;1945;1964;1999;PA;Popular Figurehead;High;M31033;X
280014;Head of Government;Vojtech Tuka;1938;1964;1999;FA;Naive Optimist;High;M31003;X
280015;Head of Government;Stefan Tiso;1944;1964;1999;NS;Backroom Backstabber;High;M31035;X
280016;Head of Government;Karol Sidor;1945;1964;1999;PA;Silent Workhorse;High;M31033;X
280017;Foreign Minister;Ferdinand Durcansky;1938;1964;1999;FA;Great Compromiser;Very Low;M31005;X
280018;Foreign Minister;Stefan Tiso;1944;1964;1999;NS;Biased Intellectual;Very High;M31035;X
280019;Foreign Minister;Petar Jilemnicky;1945;1964;1999;PA;Apologetic Clerk;Very High;M31040;X
280020;Foreign Minister;Jozef Kubin;1946;1964;1999;SC;Apologetic Clerk;Low;M31019;X
280021;Minister of Armament;Mikulás Pruzinský;1938;1964;1999;FA;Resource Industrialist;Medium;M31042;X
280022;Minister of Armament;Jaroslav Kratochvil;1944;1964;1999;NS;Military Entrepreneur;High;M31006;X
280023;Minister of Armament;Emil Lendvay;1945;1964;1999;PA;Tank Proponent;High;M31045;X
280024;Minister of Armament;Eduard Bass-Schmidt;1946;1964;1999;ML;laissez-faire capitalist;Medium;M31046;X
280025;Minister of Armament;Jindrich Honzl;1946;1964;1999;ST;Military Entrepreneur;Medium;M31029;X
280026;Minister of Security;Janko Jesensky;1938;1964;1999;FA;Compassionate Gentleman;Low;M31048;X
280027;Minister of Security;Fritz Gejza;1939;1964;1999;FA;Compassionate Gentleman;Low;M31010;X
280028;Minister of Security;Alexander Mach;1940;1964;1999;NS;Efficient Sociopath;Low;M31050;X
280029;Minister of Security;Tido Gaspar;1941;1964;1999;FA;Prince of Terror;Medium;M31051;X
280030;Minister of Security;Karol Sidor;1943;1964;1999;FA;Back Stabber;High;M31033;X
