SOV;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
30001;Head of State;Mikhail I. Kalinin;1922;1964;1999;ST;Weary Stiffneck;High;3176;X
30002;Head of State;Iosif V. Stalin;1930;1964;1999;ST;Paranoid megalomaniac2;High;3177;X
30003;Foreign Minister;Maksim M. Litvinov;1930;1964;1999;ST;Persuader of Democracies;Medium;3178;X
30004;Minister of Armament;Lazar M. Kaganovich;1930;1962;1999;ST;Iron Lazar;High;3179;X
30005;Minister of Security;Genrikh G. Yagoda;1933;1939;1999;ST;Purged Purger;Low;3180;X
30006;Head of Military Intelligence;Yan K. Berzin;1930;1964;1999;ST;Technical Specialist;Medium;3181;X
30007;Chief of Staff;Mikhail N. Tukhatchevskiy;1933;1964;1999;LE;Deep Battle Proponent;Low;3182;X
30008;Chief of Army;Kliment Y. Voroshilov;1933;1970;1999;ST;Guns and Butter Doctrine;Very High;3183;X
30009;Chief of Navy;Vladimir M. Orlov;1930;1964;1999;LE;Indirect Approach Doctrine;Very Low;M4009;X
30010;Chief of Air Force;Yakov I. Alksnis;1922;1939;1999;LE;Air Superiority Doctrine;High;3184;X
30011;Head of State;Iosif V. Stalin;1933;1964;1999;ST;Ruthless Powermonger;Very High;3177;X
30012;Head of State;Vyacheslav M. Molotov;1933;1964;1999;ST;Autocratic Charmer;High;3185;X
30013;Head of State;Nikolay M. Shvernik;1946;1964;1999;ST;Insignificant Layman;High;3186;X
30014;Head of State;Alexander F. Kerensky;1933;1964;1999;SL;Die-hard Reformer;High;3187;X
30015;Head of State;Nikolai I. Yezhov;1933;1940;1999;PA;Barking Buffoon;High;3188;X
30016;Head of Government;Vyacheslav M. Molotov;1930;1964;1999;ST;collectivizer;High;3185;X
30017;Head of Government;Lavrentiy P. Beria;1938;1964;1999;ST;Guardian of Socialist justice;High;3189;X
30018;Head of Government;Alexander F. Kerensky;1933;1964;1999;SL;Happy Amateur;High;3187;X
30019;Head of Government;Nikolai I. Yezhov;1933;1940;1999;PA;Corporate Suit;High;3188;X
30020;Foreign Minister;Andrey J. Vyshinsky;1933;1964;1999;ST;The Cloak N Dagger Schemer;Very High;3190;X
30021;Foreign Minister;Vyacheslav M. Molotov;1938;1964;1999;ST;Iron Fisted Brute;High;3185;X
30022;Foreign Minister;Ivan M. Maisky;1943;1964;1999;ST;Apologetic Clerk;High;3191;X
30023;Minister of Armament;Georgiy D. Bazilevich;1938;1964;1999;ST;Infantry Proponent;High;M4036;X
30024;Minister of Armament;Dimitry F. Ustinov;1941;1964;1999;ST;Theoretical Scientist;High;3192;X
30025;Minister of Armament;Boris L. Vannikov;1942;1964;1999;ST;Military Entrepreneur;Very High;M4038;X
30026;Minister of Security;Nikolai I. Yezhov;1933;1940;1999;ST;Secret police chief;Medium;3188;X
30027;Minister of Security;Sergej Uritskiy;1937;1964;1999;ST;Crime Fighter;Medium;M4040;X
30028;Minister of Security;Lavrentiy P. Beria;1938;1964;1999;ST;Secret police chief;Very High;3189;X
30029;Minister of Security;Alexander G. Orlov;1938;1964;1999;ST;Silent Lawyer;Medium;M4042;X
30030;Minister of Security;Sergiy G. Gendin;1938;1964;1999;ST;Efficient Sociopath;Medium;M4043;X
30031;Minister of Security;Alexey P. Panfilov;1941;1964;1999;ST;Man of the People;Medium;M4044;X
30032;Head of Military Intelligence;Nikolai I. Yezhov;1933;1940;1999;PA;Technical Specialist;Undying;3188;X
30033;Head of Military Intelligence;Ivan I.Proskurov;1937;1964;1999;ST;Dismal Enigma;High;3193;X
30034;Head of Military Intelligence;Filip I. Golikov;1940;1964;1999;ST;Political Specialist;Very High;3194;X
30035;Head of Military Intelligence;Alexey P. Panfilov;1941;1964;1999;ST;Logistics Specialist;High;M4044;X
30036;Head of Military Intelligence;Igor I. Ilichev;1942;1964;1999;ST;Industrial Specialist;Very High;M4049;X
30037;Head of Military Intelligence;Fedor F. Kuznetsov;1945;1964;1999;ST;Technical Specialist;Very High;M4050;X
30038;Chief of Staff;Boris M. Shaposhnikov;1937;1964;1999;ST;School of Mass Combat;Very High;3195;X
