SPR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
255001;Head of State;Niceto Alcalá-Zamora;1933;1964;1999;SC;Weary Stiffneck;High;7381;X
255002;Head of Government;Manuel Portela Valladares;1933;1964;1999;SC;Naive Optimist;High;7384;X
255003;Foreign Minister;Joaquín Urzaiz Cadaval;1933;1964;1999;ML;Apologetic Clerk;Low;M11003;X
255004;Minister of Armament;José Mendizábal y Bonilla;1933;1964;1999;SC;Infantry Proponent;Medium;M11004;X
255005;Minister of Security;Manuel Portela Valladares;1933;1964;1999;SC;Silent Lawyer;High;7384;X
255006;Head of Military Intelligence;Juan Hernández Sarabia;1933;1964;1999;ML;Technical Specialist;Medium;7385;X
255007;Chief of Staff;José Miaja Menant;1933;1964;1999;SC;School of Mass Combat;Medium;7386;X
255008;Chief of Army;Nicolás Molero Lobo;1933;1964;1999;SC;Static Defence Doctrine;Very High;M11008;X
255009;Chief of Navy;Antonio Azarola Gresillón;1933;1964;1999;SL;Indirect Approach Doctrine;High;7444;X
255010;Chief of Air Force;Miguel Nuñez de Prado;1933;1964;1999;SL;Naval Aviation Doctrine;Medium;7446;X
255011;Head of State;Manuel Azaña Díaz;1930;1940;1999;SL;Pig-headed Isolationist;High;7996;X
255012;Head of State;Augusto Barcia Trelles;1933;1964;1999;SD;Insignificant Layman;High;7997;X
255013;Head of State;Álvaro de Albornoz Liminiana;1938;1964;1999;LWR;Powerhungry Demagogue;High;M11038;X
255014;Head of State;Francisco Largo Caballero;1938;1964;1999;SD;Barking Buffoon;High;M11039;X
255015;Head of State;Comité Central de la CNT-FAI;1938;1964;1999;LE;Insignificant Layman;High;M11040;X
255016;Head of State;Diego Martínez Barrio;1939;1964;1999;SD;Benevolent Gentleman;High;M11041;X
255017;Head of State;José Díaz Ramos;1939;1964;1999;ST;Barking Buffoon;High;M11021;X
255018;Head of State;Julián Besteiro Fernández;1945;1964;1999;LWR;Insignificant Layman;High;M11044;X
255019;Head of State;Juan Negrín López;1933;1964;1999;LWR;Die-hard Reformer;High;7998;X
255020;Head of State;Dolores Ibáurri Gómez;1942;1964;1999;ST;Ruthless Powermonger;High;M11049;X
255021;Head of State;Alejandro Lerroux García;1942;1964;1999;SD;Insignificant Layman;High;M11051;X
255022;Head of State;Juan III;1944;1964;1999;SC;Benevolent Gentleman;High;M11011;X
255023;Head of State;Juan III;1933;1964;1999;PA;Benevolent Gentleman;High;M11011;X
255024;Head of Government;José Díaz Ramos;1933;1964;1999;ST;Ambitious Union Boss;High;M11021;X
255025;Head of Government;Santiago Carrillo Solares;1942;1964;1999;ST;Political Protege;High;M11059;X
255026;Head of Government;Juan Negrín López;1937;1964;1999;LWR;Naive Optimist;High;8139;X
255027;Head of Government;Joaquín Ascaso Budriá;1938;1964;1999;LE;Happy Amateur;High;M11061;X
255028;Head of Government;Francisco Largo Caballero;1933;1964;1999;LWR;Smiling Oilman;High;M11039;X
255029;Head of Government;Luis Jiménez de Asúa;1939;1964;1999;LWR;Ambitious Union Boss;High;M11063;X
255030;Head of Government;Manuel Azaña Díaz;1930;1940;1999;SD;Silent Workhorse;High;7996;X
255031;Head of Government;Indalencio Prieto Tuero;1939;1964;1999;SD;Political Protege;High;M11065;X
255032;Head of Government;Santiago Casares Quiroga;1933;1964;1999;SD;Corporate Suit;High;M11066;X
255033;Head of Government;José Giral Pereira;1933;1964;1999;SD;Naive Optimist;High;M11067;X
255034;Head of Government;Manuel Portela Valladares;1933;1964;1999;SL;Naive Optimist;High;7384;X
255035;Head of Government;Diego Martínez Barrio;1944;1964;1999;SL;Backroom Backstabber;High;M11069;X
255036;Head of Government;José María Gil-Robles Quiñones;1933;1964;1999;SC;Political Protege;High;M11012;X
255037;Head of Government;Claudio Sánchez Albornoz;1939;1964;1999;SC;Smiling Oilman;High;M11072;X
255038;Head of Government;Miguel Maura Gamazo;1942;1964;1999;SC;Corporate Suit;High;M11073;X
255039;Head of Government;José María Gil-Robles Quiñones;1933;1964;1999;PA;Flamboyant Tough Guy;NA;M11012;X
255040;Foreign Minister;Jesús Hernández y Tomás;1933;1964;1999;ST;Ideological Crusader;High;M11023;X
255041;Foreign Minister;Dolores Ibáurri Gómez;1937;1964;1999;ST;Iron Fisted Brute;High;M11049;X
255042;Foreign Minister;Margarita Nelken;1939;1964;1999;ST;Biased Intellectual;Medium;M11077;X
255043;Foreign Minister;Julio Álvarez del Vayo;1940;1964;1999;ST;Ideological Crusader;High;M11078;X
255044;Foreign Minister;Santiago Carrillo Solares;1944;1964;1999;ST;The Cloak N Dagger Schemer;Very High;M11059;X
255045;Foreign Minister;Andreu Nin i Pérez;1933;1964;1999;LE;The Cloak N Dagger Schemer;High;M11080;X
255046;Foreign Minister;Joaquin Maurín Juliá;1937;1964;1999;LE;Ideological Crusader;High;M11081;X
255047;Foreign Minister;Eduardo de Guzmán;1938;1964;1999;LE;Great Compromiser;High;M11082;X
255048;Foreign Minister;José Peirats;1939;1964;1999;LE;Apologetic Clerk;High;M11083;X
255049;Foreign Minister;Diego Abad de Santillán;1940;1964;1999;LE;Biased Intellectual;High;M11084;X
255050;Foreign Minister;Fernando de los Ríos Urruti;1933;1964;1999;LWR;The Cloak N Dagger Schemer;High;M11085;X
255051;Foreign Minister;Victoria Kent;1938;1964;1999;LWR;Great Compromiser;High;M11086;X
255052;Foreign Minister;Julián Besteiro Fernández;1939;1964;1999;LWR;Apologetic Clerk;High;M11044;X
255053;Foreign Minister;Alvaro de Albornoz Liminiana;1940;1964;1999;LWR;Biased Intellectual;Medium;M11045;X
255054;Foreign Minister;Julio Álvarez del Vayo;1938;1964;1999;LWR;Ideological Crusader;High;M11078;X
255055;Foreign Minister;Manuel Azaña Díaz;1930;1940;1999;SD;Iron Fisted Brute;High;M11090;X
255056;Foreign Minister;Lluis Companys i Jover;1937;1964;1999;SD;Iron Fisted Brute;High;M11091;X
255057;Foreign Minister;José Giral Pereira;1937;1964;1999;SD;Biased Intellectual;High;M11092;X
255058;Foreign Minister;Sebastián Pozas Perea;1939;1964;1999;SD;General Staffer;High;M11093;X
255059;Foreign Minister;Santiago Casares Quiroga;1939;1964;1999;SD;Apologetic Clerk;High;M11066;X
255060;Foreign Minister;Bibiano Fernández Ossorio;1940;1964;1999;SD;Great Compromiser;High;M11095;X
255061;Foreign Minister;Augusto Barcia Trelles;1933;1964;1999;SD;Ideological Crusader;High;7997;X
255062;Foreign Minister;Diego Martínez Barrio;1933;1964;1999;SL;The Cloak N Dagger Schemer;High;M11069;X
255063;Foreign Minister;Diego Hidalgo Dúran;1939;1964;1999;SL;General Staffer;High;M11101;X
255064;Foreign Minister;Salvador de Madariaga;1940;1964;1999;SL;Great Compromiser;Medium;M11102;X
255065;Foreign Minister;F. López Goicoechea Inchaurrandieta;1941;1964;1999;SL;Ideological Crusader;High;M11103;X
255066;Foreign Minister;Ricardo Samper Ibáñez;1943;1964;1999;SL;Biased Intellectual;Medium;M11104;X
