SWE;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
40001;Head of State;Gustav V;1933;1964;1999;SC;Pig-headed Isolationist;High;M7001;X
40002;Head of Government;Axel Pehrsson-Bramstorp;1933;1964;1999;SL;Happy Amateur;High;M7002;X
40003;Foreign Minister;Karl G. Westman;1933;1964;1999;SL;Apologetic Clerk;Very High;M7003;X
40004;Minister of Armament;Vilmar Ljungdahl;1933;1964;1999;SL;Tank Proponent;Very High;M7004;X
40005;Minister of Security;Thorwald Bergquist;1933;1964;1999;SL;Compassionate Gentleman;Very High;M7005;X
40006;Head of Military Intelligence;Carlos Adlercreutz;1933;1964;1999;SC;Political Specialist;High;M7068;X
40007;Chief of Staff;Oscar Nygren;1933;1964;1999;SC;School of Defence;Medium;M7007;X
40008;Chief of Army;Oscar Nygren;1933;1964;1999;SC;Guns and Butter Doctrine;Medium;M7007;X
40009;Chief of Navy;Charles de Champs;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Very Low;M7009;X
40010;Chief of Air Force;Torsten Friis;1933;1964;1999;ML;Army Aviation Doctrine;Very High;M7010;X
40011;Head of State;Gustav V;1933;1964;1999;SD;Pig-headed Isolationist;High;M7001;X
40012;Head of Government;Per Albin Hansson;1932;1964;1999;SD;Ambitious Union Boss;High;M7033;X
40013;Head of Government;Tage Erlander;1946;1964;1999;SD;Political Protege;High;M7034;X
40014;Head of Government;Gösta Bagge;1942;1964;1999;ML;Smiling Oilman;High;M7035;X
40015;Head of Government;Axel Pehrsson-Bramstorp;1938;1964;1999;SL;Happy Amateur;High;M7002;X
40016;Head of Government;Bertil Ohlin;1945;1964;1999;SL;Corporate Suit;High;M7037;X
40017;Foreign Minister;Richard Sandler;1933;1964;1999;SD;Biased Intellectual;Low;M7038;X
40018;Foreign Minister;Christian Günther;1940;1964;1999;SC;Apologetic Clerk;High;M7039;X
40019;Foreign Minister;Östen Undén;1945;1964;1999;SD;Great Compromiser;High;M7040;X
40020;Foreign Minister;Per Edvin Sköld;1933;1964;1999;SD;Ideological Crusader;Medium;M7041;X
40021;Foreign Minister;Vilhelm Göran Lundvik;1937;1964;1999;SL;Biased Intellectual;High;M7042;X
40022;Foreign Minister;R. Reson Sohlmann;1938;1964;1999;SL;Iron Fisted Brute;High;M7043;X
40023;Foreign Minister;Per E.G. Insulander;1939;1964;1999;SL;General Staffer;High;M7044;X
40024;Foreign Minister;Georg Andrén;1945;1964;1999;SC;Ideological Crusader;High;M7045;X
