SYR;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
430001;Head of State;Muhammed Bey al-Abid;1932;1964;1999;SL;Stern Imperialist;High;M528001;X
430002;Head of Government;Damien Comte de Martel;1933;1964;1999;SL;Ambitious Union Boss;High;M528002;X
430003;Foreign Minister;Jamil Mardam Bay;1933;1964;1999;SL;Great Compromiser;High;M528003;X
430004;Minister of Armament;Faris al-Khouri;1933;1964;1999;SL;Air to Ground Proponent;Medium;M528004;X
430005;Minister of Security;Yves Morandat;1933;1964;1999;SL;Crooked Kleptocrat;Medium;M528005;X
430006;Head of Military Intelligence;Damien Comte de Martel;1933;1964;1999;SL;Logistics Specialist;Medium;M528002;X
430007;Chief of Staff;Henri Amiel;1933;1964;1999;SL;School of Manoeuvre;Medium;M528007;X
430008;Chief of Army;Gabriel Puaux;1933;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M528008;X
430009;Chief of Navy;Yves Carré de Lusancay;1933;1964;1999;SL;Base Control Doctrine;Medium;M528009;X
430010;Chief of Air Force;Christian Coudray;1933;1964;1999;SL;Naval Aviation Doctrine;Medium;M528010;X
430011;Head of State;Shaykh Muhammed al-Zawahri;1933;1964;1999;PA;Autocratic Charmer;High;M528011;X
430012;Head of State;Hassim al-Atassi;1933;1964;1999;SL;Insignificant Layman;High;M528012;X
430013;Head of State;Bahij ad din al-Khatib;1939;1964;1999;SL;Barking Buffoon;High;M528013;X
430014;Head of State;Shaykh Taj ad-din al-Hasani;1928;1964;1999;SC;Weary Stiffneck;High;M528014;X
430015;Head of State;Shukri al-Kuwaitli;1943;1964;1999;SL;Benevolent Gentleman;High;M528015;X
430016;Head of State;Lufti al-Haffar;1933;1964;1999;SC;Die-hard Reformer;High;M528016;X
430017;Head of Government;Henri Dentz;1933;1964;1999;PA;Old General;High;L24059;X
430018;Head of Government;Gabriel Puaux;1938;1964;1999;SL;Silent Workhorse;High;M528008;X
430019;Head of Government;Georges Catroux;1941;1964;1999;SL;Old General;High;L24029;X
430020;Head of Government;Yves Chataigneau;1943;1964;1999;SL;Corporate Suit;High;M528020;X
430021;Head of Government;Shukri al-Kuwaitli;1945;1964;1999;SL;Backroom Backstabber;High;M528015;X
430022;Head of Government;Jamil Mardam Bay;1933;1964;1999;ML;Political Protege;High;M528003;X
430023;Foreign Minister;Faris al-Khouri;1933;1964;1999;PA;The Cloak N Dagger Schemer;High;M528004;X
430024;Foreign Minister;Shaykh Muhammed al-Gawzi;1941;1964;1999;SL;General Staffer;High;M528024;X
430025;Foreign Minister;Lufti al-Haffar;1943;1964;1999;SL;Iron Fisted Brute;High;M528016;X
430026;Foreign Minister;Saadallah al-Jabiri;1945;1964;1999;SL;The Cloak N Dagger Schemer;High;M528026;X
430027;Foreign Minister;Shaykh Mustafa al-Maraghi;1933;1964;1999;SC;Great Compromiser;High;M528027;X
430028;Minister of Armament;Yves Morandat;1933;1964;1999;PA;Air Superiority Proponent;Medium;M528005;X
430029;Minister of Armament;Shaykh Muhammed al-Shinnawi;1938;1964;1999;SL;Infantry Proponent;Medium;M528029;X
430030;Minister of Armament;Shaykh Abd al-Alim Selim;1941;1964;1999;SL;Military Entrepreneur;Medium;M528030;X
430031;Minister of Armament;Michel Maurice-Bokanowski;1944;1964;1999;SL;Tank Proponent;Medium;M528031;X
430032;Minister of Armament;Paul Leistenschneider;1946;1964;1999;SL;laissez-faire capitalist;Medium;M528032;X
430033;Minister of Armament;Shaykh Mustafa al-Maraghi;1939;1964;1999;SC;Air to Ground Proponent;Medium;M528027;X
430034;Minister of Security;Shaykh Mustafa al-Maraghi;1933;1964;1999;PA;Back Stabber;Medium;M528027;X
430035;Minister of Security;Mustafa al-Atassi;1939;1964;1999;SL;Man of the People;Medium;M528035;X
