TAJ;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
530001;Head of State;Dimitry Protopopov;1933;1964;1999;LE;Die-hard Reformer;High;M524001;X
530002;Head of Government;Bobodzhan Gafurov;1933;1964;1999;LE;Flamboyant Tough Guy;High;M524002;X
530003;Foreign Minister;Urunboy Ushorov;1933;1964;1999;LE;General Staffer;High;M524003;X
530004;Minister of Armament;Mirza ogly Husseynov;1933;1964;1999;LE;Tank Proponent;Medium;M524004;X
530005;Minister of Security;Grigorij Broydo;1933;1964;1999;LE;Back Stabber;Medium;M524005;X
530006;Head of Military Intelligence;Suren Shchadunts;1933;1964;1999;LE;Dismal Enigma;Medium;M524006;X
530007;Chief of Staff;Ara Gafurov;1933;1964;1999;LE;School of Fire Support;Medium;M524007;X
530008;Chief of Army;Veniamin Protopopov;1933;1964;1999;LE;Decisive Battle Doctrine;Medium;M524008;X
530009;Chief of Navy;Pendar Ryndenko;1933;1964;1999;LE;Indirect Approach Doctrine;Medium;M524009;X
530010;Chief of Air Force;Mikhail Barsukov;1933;1964;1999;LE;Vertical Envelopment Doctrine;Medium;M524010;X
530011;Head of State;Gasan Abdullaiev;1933;1964;1999;SL;Stern Imperialist;High;M524011;X
530012;Head of State;Behrang Seleznev;1933;1964;1999;PA;Insignificant Layman;High;M524012;X
530013;Head of Government;Shadan Lavrenets;1933;1964;1999;SL;Corporate Suit;High;M524013;X
530014;Head of Government;Yevgenij Mamedov;1933;1964;1999;PA;Backroom Backstabber;High;M524014;X
530015;Foreign Minister;Shirinsho Shotemor;1933;1964;1999;LE;Iron Fisted Brute;High;M524015;X
530016;Foreign Minister;Feda Ronzin;1933;1964;1999;SL;Ideological Crusader;High;M524016;X
530017;Foreign Minister;Garri Abelev;1933;1964;1999;SL;Biased Intellectual;High;M524017;X
530018;Foreign Minister;Paghahan Asanov;1933;1964;1999;PA;Ideological Crusader;High;M524018;X
530019;Foreign Minister;Freba Pashkov;1933;1964;1999;PA;Iron Fisted Brute;High;M524019;X
530020;Minister of Armament;Kamshad Genkin;1933;1964;1999;LE;Resource Industrialist;Medium;M524020;X
530021;Minister of Armament;Abdullo Rakhimbayev;1933;1964;1999;LE;Military Entrepreneur;Medium;M524021;X
530022;Minister of Armament;Aleksandr Baikov;1933;1964;1999;LE;Theoretical Scientist;Medium;M524022;X
530023;Minister of Armament;Zand Korzh;1933;1964;1999;SL;Military Entrepreneur;Medium;M524023;X
530024;Minister of Armament;Naz Gindis;1933;1964;1999;SL;Tank Proponent;Medium;M524024;X
530025;Minister of Armament;Ivan Prosit;1933;1964;1999;PA;Air to Ground Proponent;Medium;M524025;X
530026;Minister of Armament;Ilya Chernyaev;1933;1964;1999;PA;Theoretical Scientist;Medium;M524026;X
530027;Minister of Security;Mamdali Kurbanov;1933;1964;1999;LE;Compassionate Gentleman;Medium;M524027;X
530028;Minister of Security;Mamtun Kurbanov;1933;1964;1999;SL;Silent Lawyer;Medium;M524028;X
530029;Minister of Security;Grigorij Balanchine;1933;1964;1999;SL;Compassionate Gentleman;Medium;M524029;X
530030;Minister of Security;Alexander Berkmann;1933;1964;1999;PA;Prince of Terror;Medium;M524030;X
530031;Minister of Security;Mahasti Gafurov;1933;1964;1999;PA;Silent Lawyer;Medium;M524031;X
530032;Minister of Security;Father Gennadij;1933;1964;1999;PA;Crime Fighter;Medium;M524032;X
530033;Head of Military Intelligence;Mumtoz Raseltov;1933;1964;1999;LE;Logistics Specialist;Medium;M524033;X
530034;Head of Military Intelligence;Shayan Barishnikov;1933;1964;1999;SL;Dismal Enigma;Medium;M524034;X
530035;Head of Military Intelligence;Igor Balienkov;1933;1964;1999;SL;Technical Specialist;Medium;M524035;X
530036;Head of Military Intelligence;Valerij Barsukov;1933;1964;1999;PA;Technical Specialist;Medium;M524036;X
530037;Head of Military Intelligence;Feliks Ilyan;1933;1964;1999;PA;Political Specialist;Medium;M524037;X
530038;Chief of Staff;Nikilai Provotvorov;1933;1964;1999;LE;School of Mass Combat;Medium;M524038;X
530039;Chief of Staff;Yurij Perminov;1933;1964;1999;SL;School of Manoeuvre;Medium;M524039;X
530040;Chief of Staff;Urunboy Ushorov;1933;1964;1999;PA;School of Psychology;Medium;M524003;X
530041;Chief of Army;Neelufar Kazachestevo;1933;1964;1999;LE;Guns and Butter Doctrine;Medium;M524041;X
530042;Chief of Army;Nikita Proskuriakov;1933;1964;1999;SL;Armoured Spearhead Doctrine;Medium;M524042;X
530043;Chief of Army;Ara Gafurov;1933;1964;1999;PA;Static Defence Doctrine;Medium;M524007;X
530044;Chief of Navy;Siamak Sinaiski;1933;1964;1999;SL;Open Seas Doctrine;Medium;M524044;X
530045;Chief of Navy;Urunboy Ushorov;1933;1964;1999;PA;Decisive Naval Battle Doctrine;Medium;M524003;X
530046;Chief of Air Force;Pendar Ryndenko;1933;1964;1999;SL;Army Aviation Doctrine;Medium;M524009;X
530047;Chief of Air Force;Walter Surén;1933;1964;1999;PA;Carpet Bombing Doctrine;Medium;M524047;X
