TAN;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
435001;Head of State;Salchak Toka;1933;1964;1999;ST;Local tyrant2;High;3365;X
435002;Head of Government;Kemchik-ool;1933;1964;1999;ST;Smiling Oilman;High;M71002;X
435003;Foreign Minister;Kemchik-ool;1933;1964;1999;ST;Ideological Crusader;Medium;M71002;X
435004;Minister of Armament;S.T. Perilenko;1933;1964;1999;ST;Corrupt Kleptocrat;Medium;M71004;X
435005;Minister of Security;A.D. Kravchenko;1933;1964;1999;ST;Back Stabber;Low;M71005;X
435006;Head of Military Intelligence;Valerie Mejlauk;1933;1964;1999;ST;Political Specialist;Low;M71006;X
435007;Chief of Staff;Tanchak Shoma;1933;1964;1999;ST;School of Defence;Medium;M71007;X
435008;Chief of Army;Tanchak Shoma;1933;1964;1999;ST;Static Defence Doctrine;Medium;M71007;X
435009;Chief of Navy;V.I. Kulikovskij;1933;1964;1999;ST;Indirect Approach Doctrine;Medium;M71009;X
435010;Chief of Air Force;I.P. Rugalinskij;1933;1964;1999;ST;Army Aviation Doctrine;Medium;M71010;X
435011;Foreign Minister;Vladimir Potemkine;1941;1964;1999;ST;Iron Fisted Brute;Medium;M71011;X
435012;Foreign Minister;Salchak Gyrmittai;1945;1964;1999;ST;Apologetic Clerk;High;3365;X
435013;Foreign Minister;Sodmon Balchor;1938;1964;1999;ST;Great Compromiser;Medium;M71013;X
435014;Minister of Armament;Vladimir Sokoline;1941;1964;1999;ST;Resource Industrialist;Medium;M71014;X
435015;Minister of Security;Vladimir Oroskevich;1933;1964;1999;ST;Silent Lawyer;Low;M71015;X
