TEX;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
780001;Head of State;James Burr V. Allred;1933;1964;1999;PA;Ruthless Powermonger;High;M571001;X
780002;Head of Government;William Lee O'Daniel;1933;1964;1999;PA;Political Protege;High;M571002;X
780003;Foreign Minister;J.T. Renfrew;1933;1964;1999;PA;The Cloak N Dagger Schemer;High;M571003;X
780004;Minister of Armament;Jesse H. Jones;1933;1964;1999;PA;Construction magnate;Medium;M571004;X
780005;Minister of Security;Oscar F. Holcomb;1933;1964;1999;PA;Man of the People;Medium;M571005;X
780006;Head of Military Intelligence;Otis Massey;1933;1964;1999;PA;Dismal Enigma;Medium;M571006;X
780007;Chief of Staff;Harry Knox Jr.;1933;1964;1999;PA;School of Fire Support;Medium;M571007;X
780008;Chief of Army;John B. Ricketts;1933;1964;1999;PA;Decisive Battle Doctrine;Medium;M571008;X
780009;Chief of Navy;Lee Hugh Pollard III;1933;1964;1999;PA;Open Seas Doctrine;Medium;M571009;X
780010;Chief of Air Force;Donal W. Armington;1933;1964;1999;PA;Carpet Bombing Doctrine;Medium;M571010;X
780011;Foreign Minister;Lee O. Willard;1941;1964;1999;PA;General Staffer;High;M571011;X
780012;Foreign Minister;Coke R. Stevenson;1943;1964;1999;PA;Iron Fisted Brute;High;M571012;X
780013;Minister of Armament;Robert L. Dillard;1939;1964;1999;PA;Theoretical Scientist;Medium;M571013;X
780014;Minister of Armament;Arthur Tenney Emerson;1943;1964;1999;PA;Battle Fleet Proponent;Medium;M571014;X
780015;Minister of Armament;Roy Hofheinz;1944;1964;1999;PA;Administrative Genius;Medium;M571015;X
780016;Minister of Armament;John E. Anderson;1946;1964;1999;PA;Military Entrepreneur;Medium;M571016;X
780017;Minister of Security;Cornelius Pickett;1937;1964;1999;PA;Efficient Sociopath;Medium;M571017;X
780018;Minister of Security;Woodall Rodgers;1944;1964;1999;PA;Compassionate Gentleman;Medium;M571018;X
780019;Minister of Security;Michael Alldredge Harlan;1945;1964;1999;PA;Crime Fighter;Medium;M571019;X
780020;Minister of Security;George Seargeant;1946;1964;1999;PA;Prince of Terror;Medium;M571020;X
780021;Head of Military Intelligence;Sam J. Ervin Jr.;1942;1964;1999;PA;Political Specialist;Medium;M571021;X
780022;Head of Military Intelligence;Robert Earl Sherman;1945;1964;1999;PA;Industrial Specialist;Medium;M571022;X
780023;Chief of Staff;Larry K. Arnold;1942;1964;1999;PA;School of Manoeuvre;Medium;M571023;X
780024;Chief of Staff;Lee O. Willard;1944;1964;1999;PA;School of Psychology;Medium;M571011;X
780025;Chief of Army;R.J. Stockman;1939;1964;1999;PA;Static Defence Doctrine;Medium;M571025;X
780026;Chief of Army;Myron G. Ashcroft;1943;1964;1999;PA;Armoured Spearhead Doctrine;Medium;M571026;X
780027;Chief of Navy;Philip R. Bush;1941;1964;1999;PA;Indirect Approach Doctrine;Medium;M571027;X
780028;Chief of Air Force;Richard C. Collins;1943;1964;1999;PA;Army Aviation Doctrine;Medium;M571028;X
