TIB;Ruling Cabinet - Start;Name;Start Year;End Year;Retirement Year;Ideology;Personality;Loyalty;Picturename;X
;Replacements;;;;;;;;;X
440001;Head of State;Dalai Lama Lhamo Tondup;1933;1964;1999;PA;Benevolent Gentleman;High;M73001;X
440002;Head of Government;Reting Rimpoche;1933;1964;1999;PA;Old General;High;M73002;X
440003;Foreign Minister;Reting Rimpoche;1933;1964;1999;PA;Apologetic Clerk;High;M73002;X
440004;Minister of Armament;Tsepon Shakabpa;1933;1964;1999;PA;Corrupt Kleptocrat;High;M73004;X
440005;Minister of Security;Reting Rimpoche;1933;1964;1999;PA;Compassionate Gentleman;High;M73002;X
440006;Head of Military Intelligence;W.G. Kundeling;1933;1964;1999;PA;Logistics Specialist;High;M73006;X
440007;Chief of Staff;Gyato Wangdu;1933;1964;1999;PA;School of Manoeuvre;High;M73007;X
440008;Chief of Army;Tenpa Jamyang;1933;1964;1999;PA;Elastic Defence Doctrine;High;M73008;X
440009;Chief of Navy;Chama Samphe;1933;1964;1999;PA;Decisive Naval Battle Doctrine;High;M73009;X
440010;Chief of Air Force;Sampo Tsewang Rigzin;1933;1964;1999;PA;Army Aviation Doctrine;High;M73010;X
440011;Head of Government;Taktra Rinpoche;1941;1964;1999;SC;Backroom Backstabber;Medium;M73041;X
440012;Foreign Minister;Gedun Choephel;1933;1964;1999;SC;Biased Intellectual;Medium;M73012;X
440013;Foreign Minister;Kuntsig Shamar Rimpoche;1933;1964;1999;PA;Ideological Crusader;Medium;M73043;X
440014;Foreign Minister;Taktra Rinpoche;1941;1964;1999;PA;Great Compromiser;Medium;M73041;X
440015;Foreign Minister;Jigme Taring;1943;1964;1999;SC;Apologetic Clerk;Medium;M73045;X
440016;Foreign Minister;Gyato Wangdu;1943;1964;1999;PA;General Staffer;Medium;M73007;X
440017;Foreign Minister;Gangdhjom Tharchin;1944;1964;1999;PA;The Cloak N Dagger Schemer;Medium;M73047;X
440018;Foreign Minister;Dudjom Rimpoche;1945;1964;1999;SC;Iron Fisted Brute;Medium;M73048;X
440019;Minister of Armament;Reting Rimpoche;1937;1964;1999;PA;laissez-faire capitalist;High;M73002;X
440020;Minister of Armament;Khilsin Tchansal;1938;1964;1999;PA;Theoretical Scientist;Medium;M73050;X
440021;Minister of Armament;Chama Samphe;1938;1964;1999;PA;Battle Fleet Proponent;High;M73009;X
